Date,Open,High,Low,Close,Volume
2021-11-18,21120.39720000,21417.44920000,20251.52010000,20466.88280000,56176.83100000
2021-11-17,20652.54030000,21380.31770000,19865.35250000,21127.82350000,130514.08500000
2021-11-16,22405.14710000,22412.57340000,19583.15310000,20659.96660000,226930.15600000
2021-11-15,23415.12390000,23563.64990000,22212.06330000,22405.14710000,119735.53400000
2021-11-14,23214.61380000,23585.92880000,22991.82480000,23400.27130000,84935.86400000
2021-11-13,22910.13550000,23355.71350000,22486.83640000,23214.61380000,79659.77400000
2021-11-12,23155.20340000,23303.72940000,21974.42170000,22917.56180000,117436.98600000
2021-11-11,23199.76120000,23704.74960000,22806.16730000,23162.62970000,97829.48000000
2021-11-10,24989.49950000,25746.98210000,21922.43760000,23214.61380000,262918.80400000
2021-11-09,24670.16860000,25984.62370000,24232.01690000,24989.49950000,260663.84300000
2021-11-08,23756.73370000,24907.81020000,23652.76550000,24655.31600000,123587.06500000
2021-11-07,23637.91290000,24046.35940000,23481.96060000,23756.73370000,65511.14500000
2021-11-06,24239.44320000,24306.27990000,22806.16730000,23630.48660000,114167.60300000
2021-11-05,24714.72640000,25769.26100000,24053.78570000,24239.44320000,171235.49400000
2021-11-04,24150.32760000,24930.08910000,23244.31900000,24714.72640000,160758.02200000
2021-11-03,24128.04870000,24232.01690000,23103.21930000,24150.32760000,150808.62600000
2021-11-02,24076.06460000,24373.11660000,23578.50250000,24120.62240000,84076.80300000
2021-11-01,23340.86090000,24090.91720000,22419.99970000,24068.63830000,125073.51600000
2021-10-31,23682.47070000,23986.94900000,22301.17890000,23333.43460000,113464.75300000
2021-10-30,24365.69030000,24402.82180000,23199.76120000,23689.89700000,138900.95600000
2021-10-29,25182.58330000,25836.09770000,24113.19610000,24365.69030000,197835.86900000
2021-10-28,24105.76980000,25969.77110000,23548.79730000,25182.58330000,349511.77800000
2021-10-27,24447.37960000,34086.71700000,23972.09640000,24090.91720000,1345047.82810000
2021-10-26,23229.46640000,25657.86650000,23184.90860000,24417.67440000,200765.33500000
2021-10-25,22850.72510000,23533.94470000,22754.18320000,23229.46640000,65895.45200000
2021-10-24,24068.63830000,24157.75390000,22264.04740000,22858.15140000,74284.83400000
2021-10-23,23036.38260000,24083.49090000,22821.01990000,24061.21200000,53868.19100000
2021-10-22,23377.99240000,24276.57470000,22709.62540000,23036.38260000,80197.24900000
