Date,Open,High,Low,Close,Volume
2021-11-18,139.39165100,141.61954100,134.86160800,135.82702700,79760133.00000000
2021-11-17,139.16886200,140.57985900,133.30208500,139.31738800,207985172.00000000
2021-11-16,149.86273400,149.86273400,130.62861700,139.16886200,268941429.22000003
2021-11-15,151.49652000,155.58098500,149.34289300,149.78847100,93079577.90000001
2021-11-14,152.23915000,153.72441000,149.19436700,151.49652000,59859608.60000000
2021-11-13,151.94209800,154.46704000,150.08552300,152.23915000,82511465.50000000
2021-11-12,154.39277700,155.87803700,147.85763300,151.86783500,160252178.80000001
2021-11-11,155.72951100,159.88823900,152.83325400,154.39277700,151168963.59999999
2021-11-10,168.50274700,173.10705300,143.47611600,155.72951100,479840587.60000002
2021-11-09,157.88313800,176.59741400,156.32361500,168.57701000,581074544.20000005
2021-11-08,150.01126000,158.92282000,149.12010400,157.80887500,189974471.09999999
2021-11-07,148.82305200,151.12520500,146.59516200,150.08552300,82637102.70000000
2021-11-06,147.18926600,151.49652000,144.21874600,148.89731500,105480654.30000000
2021-11-05,147.26352900,149.78847100,145.48121700,147.18926600,108180863.70000000
2021-11-04,153.20456900,156.17508900,143.55037900,147.26352900,174549100.40000001
2021-11-03,146.37237300,159.21987200,144.81285000,153.20456900,335561983.69999999
2021-11-02,144.73858700,148.22894800,143.55037900,146.37237300,124263204.00000000
2021-11-01,145.92679500,149.93699700,141.91659300,144.73858700,144061135.40000001
2021-10-31,145.33269100,150.67962700,142.43643400,145.85253200,146413161.50000000
2021-10-30,149.71420800,149.93699700,142.88201200,145.18416500,122995185.80000000
2021-10-29,147.56058100,152.09062400,146.96647700,149.63994500,154761692.90000001
2021-10-28,141.99085600,152.83325400,141.47101500,147.56058100,253879713.50000000
2021-10-27,158.77429400,160.11102800,133.97045200,141.99085600,397889032.10000002
2021-10-26,159.29413500,163.52712600,157.58608600,158.70003100,142897864.50000000
2021-10-25,157.36329700,161.74481400,156.99198200,159.21987200,105874037.90000001
2021-10-24,160.92792100,161.07644700,155.43245900,157.43756000,97230595.40000001
2021-10-23,160.18529100,161.52202500,158.25445300,160.85365800,74106470.80000000
2021-10-22,158.62576800,164.12123000,157.80887500,160.11102800,130738721.40000001
2021-10-21,162.63597000,170.65637400,158.25445300,158.70003100,265787667.09999999
2021-10-20,156.69493000,163.97270400,155.35819600,162.63597000,135969738.80000001
2021-10-19,157.95740100,160.18529100,155.43245900,156.69493000,94391775.59999999
2021-10-18,160.25955400,161.59628800,156.32361500,158.03166400,96988762.80000000
2021-10-17,161.74481400,162.56170700,155.13540700,160.25955400,109914412.09999999
2021-10-16,164.64107100,167.09175000,161.07644700,161.81907700,103000332.90000001
2021-10-15,161.29923600,166.57190900,158.62576800,164.71533400,205811006.80000001
2021-10-14,162.56170700,165.23517500,160.03676500,161.29923600,109132237.40000001
2021-10-13,157.21477100,163.37860000,154.31851400,162.63597000,133035035.40000001
2021-10-12,161.22497300,161.37349900,153.79867300,157.28903400,150529530.19999999
2021-10-11,162.56170700,167.09175000,156.47214100,161.22497300,124908952.09999999
2021-10-10,168.50274700,169.09685100,160.40808000,162.56170700,110373473.09999999
2021-10-09,166.20059400,170.80490000,164.86386000,168.42848400,108667313.30000000
2021-10-08,169.17111400,171.77031900,164.34401900,166.12633100,138317391.40000001
2021-10-07,164.04696700,176.37462500,159.66545000,169.17111400,254708498.40000001
2021-10-06,165.75501600,167.16601300,156.76919300,164.04696700,192646609.50000000
2021-10-05,162.71023300,167.68585400,161.52202500,165.82927900,131834376.00000000
2021-10-04,167.16601300,167.31453900,159.66545000,162.71023300,149496124.59999999
2021-10-03,166.86896100,171.47326700,164.93812300,167.16601300,136980609.80000001
2021-10-02,167.46306500,172.43868600,162.78449600,166.86896100,147408004.50000000
2021-10-01,157.06624500,168.94832500,155.35819600,167.53732800,197157573.90000001
2021-09-30,153.42735800,158.70003100,152.31341300,157.06624500,124916940.90000001
2021-09-29,151.27373100,159.66545000,150.01126000,153.42735800,136138441.19999999
2021-09-28,158.10592700,161.37349900,150.67962700,151.27373100,151911770.19999999
2021-09-27,163.82417800,169.09685100,158.03166400,158.18019000,150915484.19999999
2021-09-26,170.73063700,170.87916300,159.44266100,163.89844100,231090029.90000001
2021-09-25,169.09685100,182.61271700,165.97780500,170.80490000,328389858.73000002
2021-09-24,172.81000100,174.14673500,153.20456900,169.09685100,382004501.60000002
2021-09-23,167.61159100,174.22099800,161.81907700,172.81000100,190056984.80000001
2021-09-22,147.48631800,168.42848400,146.07532100,167.61159100,262894741.00000000
2021-09-21,154.46704000,165.53222700,141.84975630,147.48631800,450988800.97000003
2021-09-20,169.54242900,170.28505900,146.29811000,154.39277700,458599973.02999997
2021-09-19,176.07757300,178.00841100,167.76011700,169.54242900,127205837.00000000
2021-09-18,174.51805000,181.12745700,171.54753000,176.07757300,115231963.90000001
2021-09-17,179.49367100,181.35024600,171.77031900,174.51805000,130098585.40000001
2021-09-16,185.95455200,190.11328000,176.82020300,179.49367100,196390696.80000001
2021-09-15,177.93414800,191.74706600,174.88936500,186.02881500,276853578.30000001
2021-09-14,178.30546300,181.05319400,172.29016000,177.93414800,214309623.19999999
2021-09-13,191.59854000,192.56395900,171.47326700,178.37972600,378841930.80000001
2021-09-12,195.83153100,207.11950700,185.73176300,191.67280300,466822310.10000002
2021-09-11,177.04299200,207.93640000,175.78052100,195.90579400,561119335.07000005
2021-09-10,186.99423400,192.04411800,168.50274700,176.96872900,322102115.00000000
2021-09-09,183.42961000,194.79184900,177.48857000,186.99423400,411631907.80000001
2021-09-08,186.69718200,190.41033200,163.37860000,183.42961000,547581870.50000000
2021-09-07,210.38707900,213.50612500,148.52600000,186.69718200,964890684.79999995
2021-09-06,216.17959300,217.36780100,207.93640000,210.38707900,186970542.19999999
2021-09-05,210.23855300,219.52142800,208.90181900,216.10533000,169097774.59999999
2021-09-04,220.18979500,220.33832100,207.93640000,210.16429000,192271347.00000000
2021-09-03,219.81848000,225.01689000,215.36270000,220.26405800,203828698.40000001
2021-09-02,213.13481000,230.28956300,210.46134200,219.81848000,397432179.47000003
2021-09-01,205.55998400,215.65975200,201.99536000,213.06054700,196563544.09999999
2021-08-31,203.10930500,213.95170300,200.65862600,205.48572100,251908426.30000001
2021-08-30,211.64955000,214.17449200,201.99536000,203.03504200,240691753.90000001
2021-08-29,211.42676100,217.96190500,201.92109700,211.72381300,274365688.00000000
2021-08-28,218.85306100,219.07585000,205.85703600,211.42676100,243063514.38999999
2021-08-27,187.81112700,218.87533990,185.21192200,218.77879800,472662823.38999999
2021-08-26,203.39893070,206.82245500,183.42961000,187.73686400,407754722.32999998
2021-08-25,201.92852330,207.71361100,193.08380000,203.40635700,460928567.06000000
2021-08-24,216.49149760,218.85306100,192.13323360,201.89881810,641652294.22000003
2021-08-23,200.88141500,220.70220970,199.38872870,216.49149760,653707062.88000000
2021-08-22,180.80812610,202.08447560,180.50364780,200.87398870,485497408.99000001
2021-08-21,182.36764910,187.79627440,176.78307150,180.76356830,297136052.16000003
2021-08-20,181.28340930,191.72478710,175.75081580,182.36764910,619099859.32000005
2021-08-19,156.28648350,182.31566500,151.95695060,181.28340930,661367609.97000003
2021-08-18,142.88201200,160.72741090,138.87181000,156.27163090,486614298.89999998
2021-08-17,153.85065710,159.02678820,141.53785170,142.87458570,361700269.73000002
2021-08-16,160.90564210,163.37860000,151.96437690,153.82837820,313643255.52999997
2021-08-15,162.45031250,167.08432370,150.75389000,160.90564210,370249371.14999998
2021-08-14,158.81885180,167.09175000,154.72696050,162.47259140,599325581.50000000
2021-08-13,136.12407900,159.62831850,135.24777560,158.81885180,589994492.02999997
2021-08-12,133.18326420,138.79754700,124.70242960,136.07952120,431637639.19999999
2021-08-11,124.61331400,140.72838500,124.01921000,133.18326420,488863450.17000002
