Date,Open,High,Low,Close,Volume
2021-11-18,123.16518550,222.04637000,122.31858730,143.46868970,412354694.80400002
2021-11-17,127.81404930,130.77714300,118.46433760,123.18746440,60452454.00000000
2021-11-16,140.44618560,140.44618560,115.90226410,127.94772270,94911065.00000000
2021-11-15,147.36749720,149.23149850,137.85440690,140.43875930,52164268.00000000
2021-11-14,154.02146200,156.59838810,142.47356550,147.37492350,52677349.00000000
2021-11-13,159.22729830,160.61601640,150.88756340,154.04374090,46007264.00000000
2021-11-12,150.01868630,175.48346900,148.71165750,159.30898760,179772290.00000000
2021-11-11,143.46868970,153.13773230,139.02033600,150.01126000,61945049.00000000
2021-11-10,144.47866650,170.32219050,135.90129000,143.48354230,129908674.00000000
2021-11-09,151.97180320,152.72928580,143.26817960,144.52322430,38832143.00000000
2021-11-08,138.59703690,155.20967000,136.28745760,152.00150840,62851768.00000000
2021-11-07,136.33944170,138.87181000,135.10667590,138.60446320,15574711.00000000
2021-11-06,136.82215120,138.58218430,131.98762990,136.36172060,17041991.00000000
2021-11-05,138.02521180,142.13195570,135.78989550,136.79987230,22420371.00000000
2021-11-04,143.63949460,145.74113750,135.06211810,138.03263810,29086864.00000000
2021-11-03,138.47821610,147.30808680,135.01013400,143.63949460,46887650.00000000
2021-11-02,136.11665270,142.02798750,135.90871630,138.47821610,30408300.00000000
2021-11-01,135.76019030,138.64902100,131.92821950,136.06466860,26280705.00000000
2021-10-31,135.22549670,137.84698060,130.25730200,135.78246920,32469714.00000000
2021-10-30,139.32481430,139.48076660,131.60888860,135.15123370,23948805.00000000
2021-10-29,136.94097200,142.43643400,136.23547350,139.28768280,38285174.00000000
2021-10-28,133.16841160,139.63671890,129.96767630,136.99295610,54284530.00000000
2021-10-27,151.74901420,155.09084920,125.50447000,133.28723240,83909882.00000000
2021-10-26,152.19459220,155.95230000,144.59748730,151.83070350,62903283.00000000
2021-10-25,134.80219760,154.09572500,134.20066730,152.20944480,63775171.00000000
2021-10-24,141.67152510,142.57753370,132.20299260,134.79477130,30010316.00000000
2021-10-23,138.20344300,144.27815640,137.08949800,141.66409880,37807947.00000000
2021-10-22,132.45548680,144.16676190,131.54205190,138.19601670,62694242.00000000
2021-10-21,133.03473820,139.97832870,126.34364190,132.52232350,54346617.00000000
2021-10-20,127.02686150,135.37402270,125.22969690,133.00503300,29074074.00000000
2021-10-19,128.96512580,131.36382070,125.17771280,127.02686150,21496531.00000000
2021-10-18,131.39352590,132.78967030,125.82380090,128.98740470,20548443.00000000
2021-10-17,133.58428440,140.57243270,128.02941200,131.38609960,42183099.00000000
2021-10-16,130.28700720,137.38655000,128.82402610,133.54715290,37815059.00000000
2021-10-15,134.46801410,134.48286670,128.25962730,130.27958090,31342009.00000000
