Date,Open,High,Low,Close,Volume
2021-11-18,361.06670600,380.52361200,357.13076700,358.69029000,389015.70000000
2021-11-17,372.57747100,374.87962400,351.33825300,361.51228400,595155.30000000
2021-11-16,432.21066000,432.21066000,360.91818000,372.72599700,1268034.10000000
2021-11-15,404.80761300,451.51904000,401.09446300,432.21066000,2339087.90000000
2021-11-14,414.31327700,417.28379700,394.03947800,404.88187600,763818.60000000
2021-11-13,422.70499600,475.28320000,412.60522800,414.01622500,6684347.60000000
2021-11-12,371.83484100,431.54229300,368.93858400,422.40794400,2585251.60000000
2021-11-11,358.02192300,381.19197900,349.77873000,371.68631500,681130.90000000
2021-11-10,391.14322100,397.38131300,343.16932300,358.17044900,820836.90000000
2021-11-09,380.37508600,422.55647000,378.29572200,391.14322100,1632864.70000000
2021-11-08,367.37906100,381.63755700,363.29459600,380.74640100,661406.50000000
2021-11-07,367.15627200,371.31500000,363.51738500,367.08200900,327358.10000000
2021-11-06,374.13699400,375.91930600,352.97203900,367.08200900,478989.60000000
2021-11-05,387.35580800,394.55931900,371.38926300,374.13699400,747628.30000000
2021-11-04,375.62225400,482.63523700,372.13189300,387.05875600,8107939.20000000
2021-11-03,357.35355600,377.92440700,354.01172100,375.77078000,1079623.30000000
2021-11-02,349.40741500,369.68121400,347.99641800,358.17044900,762749.20000000
2021-11-01,348.51625900,359.87849800,339.53043600,349.55594100,562693.40000000
2021-10-31,331.58429500,353.26909100,327.57409300,348.66478500,634633.30000000
2021-10-30,340.19880300,348.73904800,327.57409300,331.65855800,543907.20000000
2021-10-29,330.61887600,351.18972700,326.97998900,339.38191000,646389.60000000
2021-10-28,326.38588500,335.37170800,318.95958500,330.69313900,402201.80000000
2021-10-27,356.90797800,360.54686500,324.82636200,325.79178100,604995.80000000
2021-10-26,338.56501700,377.25604000,336.70844200,356.90797800,1579853.70000000
2021-10-25,335.59449700,349.03610000,335.14891900,339.30764700,319455.10000000
2021-10-24,351.85809400,355.71977000,330.76740200,335.96581200,345561.70000000
2021-10-23,345.47147600,352.37793500,341.90685200,351.63530500,212615.40000000
2021-10-22,353.64040600,363.14607000,341.31274800,345.17442400,431799.00000000
2021-10-21,359.65570900,363.36885900,343.16932300,353.19482800,506791.40000000
2021-10-20,342.72374500,362.47770300,338.19370200,359.50718300,402680.90000000
2021-10-19,346.36263200,355.27419200,329.50493100,342.72374500,457790.70000000
2021-10-18,359.58144600,363.36885900,340.49585500,346.28836900,760722.70000000
2021-10-17,356.31387400,386.16760000,353.86319500,358.91307900,761729.60000000
2021-10-16,373.76567900,375.77078000,353.41761700,357.27929300,713313.90000000
2021-10-15,339.45617300,384.90512900,332.99529200,373.09731200,1663255.60000000
2021-10-14,342.57521900,348.36773300,332.40118800,339.53043600,386169.70000000
2021-10-13,333.66365900,345.47147600,322.74699800,342.12964100,328548.70000000
2021-10-12,338.63928000,341.68406300,317.40006200,333.81218500,415595.30000000
2021-10-11,341.46127400,355.12566600,332.69824000,338.63928000,375557.50000000
2021-10-10,365.22543400,385.27644400,339.97601400,340.94143300,1000463.90000000
2021-10-09,361.73507300,393.59390000,356.53666300,365.37396000,1207085.00000000
2021-10-08,351.41251600,370.57237000,349.18462600,361.51228400,780916.70000000
2021-10-07,348.14494400,365.81953800,339.38191000,350.96693800,766306.80000000
2021-10-06,365.81953800,366.78495700,331.65855800,349.03610000,647013.90000000
2021-10-05,354.23451000,384.68234000,352.22940900,365.96806400,605262.80000000
