Date,Open,High,Low,Close,Volume
2021-11-28,673.50000000,678.00000000,660.00000000,662.25000000,38770.17000000
2021-11-27,672.75000000,690.75000000,668.25000000,672.00000000,63626.30000000
2021-11-26,732.00000000,738.75000000,666.75000000,671.25000000,148030.68200000
2021-11-25,721.50000000,747.00000000,716.25000000,732.00000000,110031.64000000
2021-11-24,759.00000000,765.00000000,717.00000000,723.75000000,196777.16100000
2021-11-23,786.75000000,806.25000000,753.75000000,759.00000000,377828.94800000
2021-11-22,788.25000000,828.75000000,769.50000000,786.75000000,133158.48000000
2021-11-21,798.00000000,825.00000000,784.50000000,788.25000000,124002.02000000
2021-11-20,804.00000000,830.25000000,774.00000000,795.00000000,110674.87000000
2021-11-19,771.00000000,822.75000000,765.00000000,803.25000000,132833.75000000
2021-11-18,822.00000000,834.75000000,758.25000000,771.00000000,112243.42500000
2021-11-17,833.25000000,846.75000000,816.00000000,823.50000000,83577.14000000
2021-11-16,912.00000000,912.00000000,813.75000000,833.25000000,170626.33000000
2021-11-15,870.75000000,934.50000000,851.25000000,912.75000000,249515.61000000
2021-11-14,873.00000000,882.00000000,858.00000000,870.75000000,65745.94000000
2021-11-13,872.25000000,892.50000000,863.25000000,872.25000000,98353.45000000
2021-11-12,879.00000000,885.00000000,855.00000000,873.00000000,95782.67000000
2021-11-11,864.75000000,899.25000000,853.50000000,879.00000000,108718.31000000
2021-11-10,876.75000000,937.50000000,840.75000000,864.00000000,272812.04000000
2021-11-09,886.50000000,891.00000000,870.00000000,875.25000000,117997.40000000
2021-11-08,917.25000000,918.00000000,877.50000000,886.50000000,200956.65000000
2021-11-07,896.25000000,1042.50000000,881.25000000,917.25000000,575733.14000000
2021-11-06,906.75000000,921.75000000,868.50000000,896.25000000,426219.90000000
2021-11-05,887.25000000,908.25000000,869.25000000,906.75000000,172763.69000000
2021-11-04,885.75000000,904.50000000,866.25000000,887.25000000,210545.10000000
2021-11-03,919.50000000,926.25000000,879.00000000,885.00000000,233981.37000000
2021-11-02,918.00000000,939.00000000,909.00000000,918.00000000,137007.75000000
2021-11-01,909.00000000,933.00000000,892.50000000,918.00000000,127097.88000000
2021-10-31,934.50000000,940.50000000,886.50000000,907.50000000,191799.61000000
2021-10-30,953.25000000,957.00000000,913.50000000,936.00000000,185202.95000000
2021-10-29,936.00000000,963.75000000,931.50000000,950.25000000,139782.48000000
2021-10-28,936.00000000,963.00000000,919.50000000,937.50000000,142322.80000000
2021-10-27,1023.00000000,1040.25000000,926.25000000,938.25000000,177634.25000000
2021-10-26,1052.25000000,1063.50000000,1014.75000000,1023.00000000,122919.04000000
2021-10-25,1028.25000000,1057.50000000,1025.25000000,1052.25000000,126265.57000000
2021-10-24,1065.75000000,1068.75000000,1026.00000000,1028.25000000,129471.81000000
