Date,Open,High,Low,Close,Volume
2021-11-28,8516.25000000,8547.75000000,7796.25000000,8156.25000000,1052220.77000000
2021-11-27,7822.50000000,8850.00000000,7741.50000000,8514.00000000,2842064.96000000
2021-11-26,8943.75000000,8990.25000000,7598.25000000,7820.25000000,4575826.59000000
2021-11-25,8643.75000000,9750.00000000,8566.50000000,8945.25000000,4680745.85000000
2021-11-24,9287.25000000,9351.00000000,8448.00000000,8643.00000000,4577775.34000000
2021-11-23,10113.00000000,10236.75000000,9131.25000000,9287.25000000,4209995.63000000
2021-11-22,9639.00000000,10875.00000000,9432.00000000,10113.00000000,6564376.00000000
2021-11-21,9439.50000000,11025.00000000,9242.25000000,9635.25000000,7608661.93400000
2021-11-20,8393.25000000,9745.50000000,8367.75000000,9437.25000000,5546998.32000000
2021-11-19,7540.50000000,8426.25000000,7191.75000000,8394.75000000,4039089.13000000
2021-11-18,8071.50000000,8280.75000000,6900.00000000,7547.25000000,5656362.44700000
2021-11-17,7335.00000000,8250.00000000,6862.50000000,8072.25000000,7144221.09800000
2021-11-16,7039.50000000,7636.50000000,6262.50000000,7338.00000000,5618799.05000000
2021-11-15,7155.00000000,7627.50000000,6900.00000000,7042.50000000,3770997.00400000
2021-11-14,7317.00000000,7492.50000000,6873.75000000,7155.00000000,3548704.67900000
2021-11-13,6360.75000000,7401.75000000,6359.25000000,7315.50000000,3519352.27800000
2021-11-12,6589.50000000,6741.00000000,6083.25000000,6358.50000000,2247279.59000000
2021-11-11,6389.25000000,6717.00000000,6279.75000000,6591.00000000,2085731.80000000
2021-11-10,6626.25000000,7050.00000000,5873.25000000,6392.25000000,4363326.07000000
2021-11-09,6838.50000000,6861.75000000,6525.00000000,6624.75000000,2716240.59000000
2021-11-08,6567.00000000,7269.00000000,6270.75000000,6838.50000000,6890764.66100000
2021-11-07,5902.50000000,6666.00000000,5850.00000000,6567.75000000,4847020.51600000
2021-11-06,5564.25000000,5904.00000000,5424.00000000,5904.00000000,1708791.07000000
2021-11-05,5922.00000000,6075.00000000,5409.75000000,5564.25000000,2367154.90000000
2021-11-04,5667.00000000,6068.25000000,5543.25000000,5922.75000000,4700338.46500000
2021-11-03,5081.25000000,5667.75000000,5031.75000000,5666.25000000,4504183.21000000
2021-11-02,4870.50000000,5103.00000000,4819.50000000,5080.50000000,1746644.56000000
2021-11-01,4837.50000000,5013.75000000,4664.25000000,4869.75000000,2515107.85000000
2021-10-31,4674.75000000,4837.50000000,4506.75000000,4837.50000000,1531085.26000000
2021-10-30,4865.25000000,4872.00000000,4566.75000000,4676.25000000,1483432.23000000
2021-10-29,4825.50000000,4964.25000000,4757.25000000,4865.25000000,1513107.96000000
2021-10-28,4618.50000000,4873.50000000,4608.00000000,4825.50000000,2484514.38000000
2021-10-27,5151.00000000,5236.50000000,4276.50000000,4617.75000000,4273308.61000000
2021-10-26,5230.50000000,5475.75000000,5070.75000000,5149.50000000,3840473.40000000
2021-10-25,4839.75000000,5242.50000000,4826.25000000,5229.75000000,2270486.65000000
2021-10-24,4904.25000000,5070.75000000,4645.50000000,4839.75000000,2184761.84000000
2021-10-23,4915.50000000,5188.50000000,4838.25000000,4903.50000000,2978489.66000000
2021-10-22,4611.00000000,5162.25000000,4602.00000000,4915.50000000,5522607.50000000
2021-10-21,4474.50000000,4826.25000000,4408.50000000,4611.00000000,3959021.69000000
2021-10-20,4260.75000000,4623.00000000,4252.50000000,4474.50000000,2707834.23000000
2021-10-19,4160.25000000,4357.50000000,4134.00000000,4260.00000000,1873629.97000000
2021-10-18,4208.25000000,4234.50000000,4053.75000000,4161.00000000,1553173.47000000
2021-10-17,4321.50000000,4391.25000000,3995.25000000,4207.50000000,2134508.30000000
2021-10-16,4224.75000000,4658.25000000,4176.00000000,4320.75000000,3914987.29000000
2021-10-15,4213.50000000,4320.75000000,4083.00000000,4227.00000000,2963326.33000000
2021-10-14,4125.00000000,4384.50000000,4119.00000000,4213.50000000,3000941.32000000
2021-10-13,4074.75000000,4281.75000000,3992.25000000,4125.75000000,3632007.14000000
2021-10-12,4147.50000000,4148.25000000,3828.00000000,4075.50000000,4070051.40000000
2021-10-11,4237.50000000,4442.25000000,4032.00000000,4147.50000000,3407191.20000000
2021-10-10,4547.25000000,4575.75000000,4154.25000000,4238.25000000,2515959.37000000
2021-10-09,4539.00000000,4653.00000000,4477.50000000,4547.25000000,1985268.84000000
2021-10-08,4614.75000000,4870.50000000,4482.00000000,4538.25000000,4392451.39000000
2021-10-07,4500.00000000,4671.75000000,4304.25000000,4614.00000000,4761648.55000000
2021-10-06,4845.00000000,4932.00000000,4362.00000000,4500.75000000,5068720.14000000
2021-10-05,4894.50000000,5008.50000000,4702.50000000,4845.00000000,3831519.71000000
2021-10-04,5151.75000000,5157.00000000,4747.50000000,4896.75000000,4826593.69000000
2021-10-03,5181.75000000,5370.75000000,5066.25000000,5151.75000000,4467356.39000000
2021-10-02,5074.50000000,5505.75000000,4935.00000000,5181.00000000,6536616.52000000
2021-10-01,4998.00000000,5218.50000000,4734.00000000,5075.25000000,6973676.03000000
2021-09-30,4909.50000000,5168.25000000,4821.00000000,4997.25000000,5085384.45000000
2021-09-29,4613.25000000,5212.50000000,4594.50000000,4909.50000000,6780246.71000000
2021-09-28,4975.50000000,5208.00000000,4583.25000000,4613.25000000,4765761.77000000
2021-09-27,5007.75000000,5451.75000000,4898.25000000,4974.75000000,5974772.52000000
2021-09-26,5121.00000000,5358.00000000,4619.25000000,5007.75000000,6395395.40000000
2021-09-25,5422.50000000,5445.00000000,5062.50000000,5121.00000000,4943069.71000000
2021-09-24,5732.25000000,5914.50000000,4994.25000000,5423.25000000,11472906.45000000
2021-09-23,5553.00000000,5985.00000000,5457.00000000,5733.00000000,11366707.86000000
2021-09-22,4425.00000000,5601.75000000,4329.00000000,5555.25000000,13033656.10000000
2021-09-21,4300.50000000,4968.00000000,3941.25000000,4423.50000000,15940591.44000000
2021-09-20,5254.50000000,5283.75000000,4125.00000000,4299.75000000,15410116.45000000
2021-09-19,5176.50000000,5720.25000000,4981.50000000,5255.25000000,9524488.55100000
2021-09-18,5261.25000000,5669.25000000,5037.00000000,5176.50000000,10521283.48800000
2021-09-17,5069.25000000,5317.50000000,4527.00000000,5258.25000000,10905615.52500000
2021-09-16,4337.25000000,5124.75000000,4287.75000000,5067.00000000,15000080.37400000
2021-09-15,3863.25000000,4363.50000000,3772.50000000,4338.00000000,6756093.54000000
2021-09-14,3985.50000000,4322.25000000,3660.00000000,3862.50000000,8170590.05000000
2021-09-13,4440.75000000,4569.00000000,3574.50000000,3986.25000000,17195092.80000000
2021-09-12,4276.50000000,4867.50000000,4019.25000000,4441.50000000,16140497.30900000
2021-09-11,3699.75000000,4443.75000000,3608.25000000,4276.50000000,16295853.41600000
2021-09-10,3056.25000000,3727.50000000,3028.50000000,3697.50000000,17253541.93000000
2021-09-09,2777.25000000,3345.00000000,2715.75000000,3057.75000000,10152448.67400000
2021-09-08,2847.75000000,2962.50000000,2481.00000000,2775.00000000,7464147.83000000
2021-09-07,3533.25000000,3540.00000000,2417.25000000,2844.75000000,12849059.61700000
2021-09-06,3610.50000000,3852.00000000,3183.75000000,3532.50000000,7931732.22000000
2021-09-05,3539.25000000,3705.00000000,3408.00000000,3611.25000000,5904540.19000000
2021-09-04,3442.50000000,3741.00000000,3305.25000000,3536.25000000,6077749.28000000
2021-09-03,3570.00000000,3874.50000000,3333.75000000,3441.75000000,9097559.66000000
2021-09-02,3187.50000000,3598.50000000,3075.00000000,3568.50000000,6481497.68000000
2021-09-01,2963.25000000,3428.25000000,2891.25000000,3185.25000000,7820541.21700000
2021-08-31,3106.50000000,3316.50000000,2862.75000000,2962.50000000,6855430.91600000
2021-08-30,3557.25000000,3624.75000000,3075.00000000,3108.00000000,6827433.15000000
2021-08-29,3765.00000000,3930.00000000,3499.50000000,3554.25000000,5176181.90100000
2021-08-28,3759.00000000,3884.25000000,3459.00000000,3765.00000000,7177328.36400000
2021-08-27,3099.00000000,3785.25000000,3022.50000000,3760.50000000,10990447.09800000
2021-08-26,3465.82500000,3634.72500000,3090.00000000,3099.00000000,9280721.69600000
2021-08-25,4160.62500000,4318.80000000,3423.75000000,3465.60000000,11480697.36900000
2021-08-24,3480.52500000,4423.27500000,3311.32500000,4160.55000000,13474170.15600000
2021-08-23,3276.15000000,4021.72500000,3271.05000000,3483.82500000,11058622.43600000
2021-08-22,3276.97500000,3377.25000000,3040.27500000,3274.72500000,8717113.46000000
2021-08-21,2936.10000000,3770.25000000,2825.70000000,3275.70000000,13275218.25300000
2021-08-20,2298.97500000,2942.17500000,2245.72500000,2936.62500000,8246852.13700000
2021-08-19,2249.40000000,2531.62500000,2153.55000000,2298.97500000,11884539.98900000
2021-08-18,1758.90000000,2316.37500000,1609.05000000,2249.47500000,12872464.95300000
2021-08-17,1430.32500000,1909.50000000,1381.35000000,1758.45000000,10172036.37400000
2021-08-16,1407.15000000,1584.75000000,1383.07500000,1430.32500000,3800908.89000000
2021-08-15,1356.75000000,1414.12500000,1279.35000000,1407.15000000,1404168.53300000
2021-08-14,1353.30000000,1382.47500000,1287.67500000,1356.97500000,1428803.97100000
2021-08-13,1243.05000000,1371.82500000,1229.17500000,1352.32500000,1519296.77700000
2021-08-12,1250.55000000,1315.35000000,1157.17500000,1243.12500000,1704787.84100000
2021-08-11,1232.25000000,1316.02500000,1228.35000000,1251.60000000,1849892.04500000
2021-08-10,1212.52500000,1288.80000000,1185.07500000,1231.50000000,2076458.19800000
2021-08-09,1112.25000000,1256.92500000,1081.80000000,1212.67500000,2569371.61400000
2021-08-08,1188.75000000,1207.50000000,1091.77500000,1111.95000000,1318372.02700000
2021-08-07,1108.05000000,1196.40000000,1095.90000000,1187.55000000,2346816.42200000
2021-08-06,1037.55000000,1131.00000000,1004.10000000,1107.75000000,2108094.94900000
2021-08-05,1027.20000000,1050.00000000,963.67500000,1037.55000000,1372439.96700000
2021-08-04,942.60000000,1033.50000000,930.75000000,1027.20000000,1246721.96400000
2021-08-03,974.40000000,1014.15000000,924.37500000,941.77500000,1198368.48400000
2021-08-02,963.45000000,1003.05000000,946.20000000,974.47500000,928801.98900000
2021-08-01,1015.12500000,1055.77500000,946.27500000,963.97500000,1860616.43800000
2021-07-31,973.35000000,1022.25000000,943.87500000,1014.37500000,1248768.22100000
2021-07-30,932.47500000,975.00000000,894.75000000,973.35000000,1572248.75600000
2021-07-29,924.82500000,948.75000000,898.50000000,932.47500000,1634174.61000000
2021-07-28,894.07500000,936.37500000,876.82500000,924.00000000,1510307.38400000
2021-07-27,859.12500000,926.40000000,838.12500000,893.77500000,977794.90100000
2021-07-26,843.52500000,952.50000000,840.97500000,859.50000000,2057987.32500000
2021-07-25,835.65000000,850.42500000,807.37500000,843.52500000,601383.14900000
2021-07-24,831.90000000,858.52500000,821.55000000,835.65000000,839109.69100000
2021-07-23,813.00000000,838.05000000,789.75000000,831.45000000,695996.73200000
2021-07-22,783.00000000,822.00000000,767.85000000,812.47500000,879782.50300000
2021-07-21,723.52500000,806.40000000,710.47500000,781.87500000,994914.75500000
2021-07-20,763.95000000,777.45000000,699.52500000,722.92500000,784232.56600000
2021-07-19,801.75000000,806.77500000,750.75000000,763.72500000,613091.68900000
2021-07-18,821.70000000,845.62500000,798.75000000,801.75000000,669471.27800000
2021-07-17,811.20000000,835.80000000,803.70000000,821.85000000,588168.81000000
2021-07-16,854.32500000,886.50000000,810.00000000,811.05000000,869808.84700000
2021-07-15,884.32500000,907.65000000,834.60000000,854.32500000,799151.21700000
2021-07-14,893.70000000,908.25000000,833.32500000,884.47500000,916149.50400000
2021-07-13,912.15000000,932.55000000,880.80000000,893.25000000,937209.08100000
2021-07-12,932.77500000,963.07500000,877.50000000,911.77500000,1105226.31200000
2021-07-11,901.72500000,936.75000000,893.40000000,932.47500000,574831.74000000
2021-07-10,941.92500000,963.82500000,887.85000000,901.12500000,729693.40300000
2021-07-09,906.97500000,966.00000000,872.92500000,941.40000000,1365886.91300000
2021-07-08,981.82500000,983.85000000,887.85000000,907.35000000,1467700.32200000
2021-07-07,1002.67500000,1065.00000000,978.00000000,982.87500000,2048553.78800000
2021-07-06,903.07500000,1066.95000000,901.95000000,1003.80000000,2391422.13300000
2021-07-05,925.65000000,933.00000000,863.92500000,903.15000000,1408712.78800000
2021-07-04,862.42500000,967.50000000,840.75000000,925.87500000,1361790.03300000
2021-07-03,833.77500000,875.70000000,815.85000000,863.17500000,737397.36800000
2021-07-02,839.25000000,851.62500000,792.90000000,833.40000000,979100.75500000
2021-07-01,895.50000000,906.00000000,825.00000000,838.57500000,717086.76700000
2021-06-30,894.07500000,912.45000000,827.62500000,896.17500000,1137246.75100000
2021-06-29,849.97500000,926.10000000,830.77500000,894.00000000,1388415.12300000
2021-06-28,821.47500000,860.17500000,802.05000000,849.15000000,1022964.87400000
2021-06-27,773.77500000,823.50000000,756.52500000,820.57500000,692604.82900000
2021-06-26,767.85000000,795.00000000,733.80000000,773.85000000,1136001.57900000
2021-06-25,862.42500000,881.70000000,765.00000000,767.62500000,1369495.41900000
2021-06-24,860.02500000,881.77500000,811.65000000,861.97500000,1288733.89600000
2021-06-23,793.87500000,892.42500000,761.25000000,859.20000000,2090766.33300000
2021-06-22,839.25000000,882.30000000,699.37500000,793.35000000,3283390.30100000
2021-06-21,1043.55000000,1055.17500000,830.77500000,840.00000000,2203255.62700000
2021-06-20,1003.05000000,1064.10000000,958.72500000,1043.77500000,1178226.51400000
2021-06-19,1022.62500000,1053.00000000,990.67500000,1003.72500000,677502.97500000
2021-06-18,1114.35000000,1147.50000000,982.50000000,1023.00000000,1646645.54800000
2021-06-17,1056.07500000,1162.35000000,1051.50000000,1113.30000000,2176578.34100000
2021-06-16,1103.62500000,1121.32500000,1043.47500000,1055.85000000,1593156.60500000
2021-06-15,1133.32500000,1172.40000000,1093.57500000,1103.55000000,1618961.45400000
2021-06-14,1107.15000000,1156.42500000,1077.82500000,1133.47500000,1753753.57900000
2021-06-13,1016.32500000,1124.92500000,993.07500000,1107.07500000,1905070.73600000
2021-06-12,1006.72500000,1050.00000000,947.85000000,1015.87500000,1721108.68900000
