Date,Open,High,Low,Close,Volume
2021-11-28,636.67500000,646.57500000,593.17500000,613.65000000,920824.30000000
2021-11-27,551.10000000,710.25000000,550.65000000,637.20000000,6481754.50000000
2021-11-26,570.97500000,601.27500000,494.47500000,552.37500000,2815991.56400000
2021-11-25,538.35000000,572.85000000,534.07500000,571.05000000,1043932.80000000
2021-11-24,563.77500000,568.20000000,524.92500000,538.87500000,936736.90000000
2021-11-23,537.97500000,574.42500000,529.65000000,563.62500000,827611.90000000
2021-11-22,570.45000000,571.42500000,528.00000000,537.90000000,760116.50000000
2021-11-21,598.65000000,599.17500000,561.60000000,570.37500000,1007189.20000000
2021-11-20,575.17500000,618.90000000,567.37500000,598.57500000,1082814.70000000
2021-11-19,539.25000000,580.80000000,524.02500000,575.85000000,625877.70000000
2021-11-18,586.42500000,594.67500000,518.32500000,540.00000000,924755.70000000
2021-11-17,583.65000000,593.40000000,558.52500000,586.72500000,703729.50000000
2021-11-16,649.20000000,649.80000000,539.25000000,584.55000000,1905588.60000000
2021-11-15,658.27500000,692.62500000,639.45000000,649.20000000,1472182.30000000
2021-11-14,667.57500000,683.02500000,640.95000000,657.82500000,870581.80000000
2021-11-13,641.47500000,672.75000000,633.67500000,668.02500000,694368.50000000
2021-11-12,659.55000000,679.27500000,618.82500000,641.70000000,923171.80000000
2021-11-11,646.27500000,683.17500000,635.77500000,659.85000000,833163.50000000
2021-11-10,691.65000000,716.77500000,618.37500000,646.95000000,1670096.10000000
2021-11-09,734.17500000,756.52500000,687.52500000,691.05000000,1411769.60000000
2021-11-08,696.22500000,737.77500000,689.55000000,734.32500000,658899.50000000
2021-11-07,697.80000000,707.32500000,688.35000000,696.15000000,506777.20000000
2021-11-06,715.12500000,720.00000000,673.87500000,698.10000000,538434.40000000
2021-11-05,736.20000000,765.00000000,709.87500000,715.20000000,854181.90000000
2021-11-04,774.15000000,788.62500000,715.12500000,736.50000000,960087.70000000
2021-11-03,717.37500000,791.40000000,701.17500000,774.07500000,1711078.80000000
2021-11-02,722.92500000,752.77500000,713.10000000,716.40000000,1038231.30000000
2021-11-01,737.47500000,775.87500000,674.40000000,723.30000000,1658654.80000000
2021-10-31,646.87500000,744.67500000,644.70000000,738.00000000,2131715.40000000
2021-10-30,639.07500000,650.55000000,619.42500000,646.95000000,651788.60000000
2021-10-29,616.95000000,648.75000000,606.07500000,638.70000000,1216451.90000000
2021-10-28,633.75000000,665.62500000,614.85000000,616.95000000,1044744.20000000
2021-10-27,718.65000000,744.37500000,623.85000000,634.35000000,1359755.00000000
2021-10-26,675.90000000,748.57500000,671.92500000,719.17500000,1401502.70000000
2021-10-25,651.30000000,682.50000000,648.15000000,675.15000000,610125.10000000
2021-10-24,680.85000000,695.17500000,638.02500000,651.07500000,597684.00000000
2021-10-23,659.92500000,685.42500000,654.00000000,681.00000000,500258.40000000
2021-10-22,649.72500000,692.55000000,647.62500000,660.00000000,804228.10000000
2021-10-21,661.05000000,684.22500000,633.97500000,649.65000000,959368.10000000
2021-10-20,630.15000000,682.42500000,627.37500000,660.97500000,997843.60000000
2021-10-19,630.15000000,646.50000000,619.27500000,630.30000000,498830.30000000
2021-10-18,628.80000000,652.27500000,614.17500000,630.45000000,705792.30000000
2021-10-17,647.40000000,661.95000000,602.32500000,628.80000000,605975.90000000
2021-10-16,629.10000000,685.50000000,612.60000000,647.25000000,1484413.90000000
2021-10-15,608.70000000,646.20000000,580.95000000,629.32500000,1203027.90000000
2021-10-14,577.80000000,621.00000000,574.42500000,608.10000000,647416.40000000
2021-10-13,565.20000000,580.27500000,550.50000000,578.02500000,410122.30000000
2021-10-12,575.17500000,575.55000000,529.72500000,565.42500000,636322.10000000
2021-10-11,580.65000000,602.85000000,556.95000000,575.40000000,551372.70000000
2021-10-10,626.02500000,628.87500000,577.57500000,581.40000000,588487.70000000
2021-10-09,619.80000000,636.00000000,611.40000000,626.25000000,621145.90000000
2021-10-08,630.82500000,679.65000000,614.62500000,619.65000000,1088273.90000000
2021-10-07,625.20000000,650.47500000,602.25000000,630.97500000,1016795.30000000
2021-10-06,634.42500000,641.70000000,589.65000000,625.80000000,1062748.10000000
2021-10-05,613.05000000,656.92500000,607.50000000,633.97500000,1260792.90000000
2021-10-04,632.47500000,634.80000000,588.45000000,613.65000000,773146.30000000
2021-10-03,615.30000000,654.75000000,601.95000000,633.00000000,755854.10000000
2021-10-02,604.87500000,645.00000000,593.40000000,615.67500000,723458.70000000
2021-10-01,537.60000000,606.97500000,531.15000000,604.65000000,998342.10000000
2021-09-30,520.95000000,548.92500000,517.72500000,537.60000000,556283.40000000
2021-09-29,507.22500000,545.70000000,505.27500000,520.72500000,540708.80000000
2021-09-28,528.07500000,543.75000000,504.15000000,507.82500000,438448.80000000
2021-09-27,553.80000000,584.25000000,526.72500000,529.05000000,733731.10000000
2021-09-26,561.45000000,567.90000000,511.65000000,555.07500000,712002.10000000
2021-09-25,553.57500000,566.47500000,531.82500000,561.37500000,533171.00000000
2021-09-24,602.70000000,624.00000000,526.87500000,554.25000000,1160978.10000000
2021-09-23,584.85000000,604.42500000,565.05000000,602.55000000,995046.10000000
2021-09-22,523.05000000,587.17500000,510.60000000,585.30000000,1148213.00000000
2021-09-21,568.65000000,590.25000000,507.37500000,523.05000000,898133.91400000
2021-09-20,668.47500000,669.67500000,551.85000000,569.70000000,1278257.70000000
2021-09-19,697.57500000,706.35000000,658.27500000,668.77500000,542559.20000000
2021-09-18,682.87500000,717.52500000,666.90000000,696.30000000,598542.70000000
2021-09-17,732.82500000,746.10000000,669.90000000,682.87500000,946067.50000000
2021-09-16,728.02500000,764.02500000,704.25000000,732.52500000,1622933.50000000
2021-09-15,696.22500000,760.87500000,694.95000000,728.02500000,1795939.20000000
2021-09-14,663.22500000,706.57500000,650.32500000,696.52500000,1265739.00000000
2021-09-13,697.50000000,700.95000000,600.00000000,663.00000000,1337080.30000000
2021-09-12,640.95000000,711.00000000,624.22500000,697.87500000,1373360.20000000
2021-09-11,632.55000000,682.35000000,620.47500000,640.80000000,1082043.00000000
2021-09-10,675.00000000,711.75000000,613.57500000,632.70000000,1796395.70000000
2021-09-09,622.87500000,712.50000000,607.57500000,674.32500000,1719137.60000000
2021-09-08,633.45000000,650.17500000,566.77500000,622.20000000,1438669.50000000
2021-09-07,812.55000000,846.75000000,525.00000000,632.92500000,3691533.16200000
2021-09-06,798.90000000,857.77500000,729.30000000,812.62500000,2788527.43300000
2021-09-05,790.35000000,808.12500000,775.72500000,798.90000000,953970.20000000
2021-09-04,784.87500000,821.70000000,771.90000000,790.20000000,1340745.07400000
2021-09-03,727.80000000,798.60000000,708.90000000,784.65000000,1657218.90600000
2021-09-02,738.90000000,787.35000000,722.02500000,728.32500000,1336456.72600000
2021-09-01,692.77500000,752.25000000,675.22500000,739.35000000,1428570.34400000
2021-08-31,653.92500000,727.27500000,645.67500000,692.85000000,1853409.69300000
2021-08-30,686.92500000,706.27500000,647.40000000,653.85000000,1371672.80000000
2021-08-29,670.50000000,718.72500000,645.15000000,687.07500000,1445474.00800000
2021-08-28,671.02500000,697.20000000,660.00000000,670.42500000,908394.25600000
2021-08-27,633.22500000,674.77500000,608.25000000,670.05000000,980196.31400000
2021-08-26,704.77500000,720.75000000,632.02500000,633.00000000,1111015.57600000
2021-08-25,670.80000000,710.17500000,645.30000000,704.92500000,1510531.75700000
2021-08-24,749.55000000,772.12500000,661.50000000,671.62500000,1864948.84800000
2021-08-23,738.22500000,764.85000000,714.97500000,749.55000000,1810990.22800000
2021-08-22,665.02500000,787.50000000,658.27500000,739.35000000,3749824.35600000
2021-08-21,639.97500000,703.57500000,625.80000000,665.62500000,2509348.60500000
2021-08-20,610.42500000,651.07500000,602.85000000,639.22500000,1339833.74400000
2021-08-19,574.80000000,612.97500000,558.30000000,610.72500000,1246197.44400000
2021-08-18,585.22500000,604.35000000,555.82500000,573.97500000,1373507.98100000
2021-08-17,631.80000000,687.07500000,574.65000000,585.22500000,2412710.37700000
2021-08-16,616.57500000,673.72500000,606.30000000,631.50000000,2346210.78000000
2021-08-15,621.15000000,630.82500000,582.37500000,616.80000000,1146678.32900000
2021-08-14,625.57500000,636.45000000,593.40000000,620.77500000,1045838.30900000
2021-08-13,587.47500000,625.80000000,581.85000000,625.05000000,748983.25600000
2021-08-12,603.45000000,625.42500000,561.60000000,587.55000000,1365010.61700000
2021-08-11,614.47500000,645.37500000,594.82500000,604.12500000,1651726.49200000
2021-08-10,549.90000000,659.70000000,539.62500000,614.55000000,3160858.90200000
2021-08-09,519.67500000,556.95000000,505.50000000,550.05000000,1272220.27000000
2021-08-08,555.82500000,567.75000000,513.37500000,519.45000000,1306546.31200000
2021-08-07,546.90000000,579.52500000,531.82500000,555.52500000,1569470.11400000
2021-08-06,531.52500000,566.10000000,516.52500000,546.67500000,1430035.38500000
2021-08-05,485.70000000,543.30000000,474.37500000,531.30000000,1992303.67800000
2021-08-04,478.42500000,497.62500000,461.55000000,486.15000000,902135.65500000
2021-08-03,465.75000000,498.37500000,447.00000000,478.12500000,1370633.79900000
2021-08-02,463.05000000,482.70000000,455.32500000,465.07500000,765624.54300000
2021-08-01,485.92500000,508.20000000,455.70000000,463.12500000,1253676.56000000
2021-07-31,473.10000000,494.10000000,458.55000000,485.70000000,783084.63300000
2021-07-30,475.27500000,478.12500000,435.75000000,473.02500000,1227199.11800000
2021-07-29,424.42500000,490.42500000,414.45000000,475.05000000,2047943.02500000
2021-07-28,432.30000000,442.65000000,414.60000000,424.80000000,633783.12400000
2021-07-27,406.27500000,438.67500000,394.42500000,433.20000000,939389.07900000
2021-07-26,405.60000000,454.80000000,403.27500000,406.50000000,1625583.32700000
2021-07-25,406.27500000,409.80000000,382.12500000,405.90000000,636918.85900000
2021-07-24,397.50000000,422.17500000,391.50000000,406.42500000,998099.97700000
2021-07-23,379.72500000,398.47500000,366.07500000,397.05000000,884191.07600000
2021-07-22,382.50000000,390.00000000,367.57500000,379.72500000,821620.10200000
2021-07-21,329.40000000,388.12500000,321.22500000,382.50000000,788060.21700000
2021-07-20,356.10000000,364.05000000,316.72500000,329.10000000,878823.95500000
2021-07-19,372.52500000,386.77500000,348.52500000,356.25000000,796680.19900000
2021-07-18,382.42500000,399.07500000,370.42500000,372.37500000,687952.92200000
2021-07-17,380.32500000,388.95000000,370.87500000,382.20000000,579142.53800000
2021-07-16,415.95000000,425.92500000,377.92500000,380.25000000,1047661.47300000
2021-07-15,449.10000000,459.37500000,409.27500000,416.02500000,1033717.05200000
2021-07-14,476.32500000,479.62500000,430.12500000,449.25000000,1069682.86900000
2021-07-13,478.95000000,518.55000000,467.17500000,476.62500000,1704635.31500000
2021-07-12,502.50000000,502.57500000,462.52500000,478.87500000,910703.31000000
2021-07-11,471.67500000,521.25000000,464.62500000,502.35000000,1306484.03200000
2021-07-10,494.62500000,513.22500000,460.57500000,472.20000000,1027042.34200000
2021-07-09,457.87500000,506.40000000,436.87500000,494.10000000,1097007.95600000
2021-07-08,502.35000000,506.10000000,450.22500000,457.95000000,1435817.25700000
2021-07-07,478.72500000,537.22500000,468.67500000,502.35000000,1602646.76500000
2021-07-06,449.92500000,507.00000000,449.02500000,479.10000000,1472338.48300000
2021-07-05,467.85000000,475.12500000,433.35000000,449.62500000,1293340.75000000
2021-07-04,432.75000000,486.00000000,423.82500000,467.85000000,1417403.15100000
2021-07-03,417.45000000,437.25000000,409.27500000,432.90000000,685830.85400000
2021-07-02,413.02500000,420.45000000,391.80000000,417.37500000,644655.69700000
2021-07-01,447.15000000,447.22500000,400.50000000,413.32500000,1210925.23400000
2021-06-30,454.20000000,458.62500000,415.27500000,446.77500000,1535252.00300000
2021-06-29,394.72500000,456.22500000,393.00000000,454.20000000,1957575.61200000
2021-06-28,387.75000000,415.50000000,376.42500000,394.65000000,1445751.98100000
2021-06-27,366.75000000,391.50000000,350.47500000,387.60000000,1070599.22700000
2021-06-26,379.57500000,391.80000000,342.00000000,367.12500000,2280179.63100000
2021-06-25,423.30000000,433.05000000,377.10000000,379.65000000,1650428.53800000
2021-06-24,409.20000000,428.32500000,380.70000000,423.30000000,1363897.05400000
2021-06-23,355.72500000,410.17500000,339.75000000,408.97500000,2002300.62900000
2021-06-22,364.65000000,393.67500000,304.80000000,355.42500000,2553162.41000000
2021-06-21,463.27500000,468.15000000,363.75000000,364.57500000,1631624.15500000
2021-06-20,454.95000000,473.85000000,428.92500000,463.27500000,987093.33000000
2021-06-19,477.97500000,487.50000000,454.72500000,455.32500000,839103.28600000
2021-06-18,523.05000000,527.40000000,459.75000000,478.12500000,1194763.36500000
2021-06-17,514.87500000,543.52500000,499.27500000,523.35000000,896322.48100000
2021-06-16,546.75000000,557.62500000,507.37500000,514.42500000,1291117.53600000
2021-06-15,547.20000000,599.17500000,542.32500000,546.75000000,1822057.16900000
2021-06-14,522.07500000,547.72500000,503.47500000,546.97500000,1256039.70500000
2021-06-13,489.15000000,524.40000000,462.45000000,521.62500000,1158083.35300000
2021-06-12,491.92500000,509.17500000,455.62500000,488.77500000,1375396.94900000
2021-06-11,533.25000000,544.95000000,481.57500000,492.22500000,1107113.20700000
2021-06-10,581.70000000,585.15000000,526.87500000,533.62500000,967242.72700000
2021-06-09,530.47500000,591.67500000,507.75000000,581.55000000,1702287.52100000
2021-06-08,545.10000000,556.87500000,480.52500000,529.87500000,1820561.78900000
2021-06-07,606.45000000,628.80000000,538.65000000,545.47500000,1193982.31200000
2021-06-06,594.90000000,610.05000000,585.75000000,606.90000000,662368.83200000
2021-06-05,615.37500000,652.50000000,573.60000000,595.35000000,1353571.85400000
2021-06-04,685.72500000,685.72500000,596.62500000,616.05000000,1247499.65300000
2021-06-03,644.17500000,708.00000000,634.57500000,685.20000000,1879751.20700000
2021-06-02,642.00000000,681.97500000,609.90000000,644.25000000,1878484.81000000
2021-06-01,672.97500000,686.25000000,616.35000000,642.00000000,3103514.86000000
2021-05-31,553.95000000,749.10000000,522.82500000,672.37500000,11320204.79300000
2021-05-30,509.55000000,572.32500000,474.75000000,554.32500000,1131658.45000000
2021-05-29,563.25000000,588.52500000,480.07500000,509.85000000,1426163.29800000
2021-05-28,650.62500000,659.70000000,536.55000000,563.32500000,1808249.36400000
2021-05-27,688.50000000,716.85000000,611.17500000,650.10000000,1703126.16300000
2021-05-26,605.25000000,705.97500000,591.52500000,688.35000000,1775139.22900000
2021-05-25,615.00000000,646.87500000,542.62500000,606.00000000,1871750.75000000
2021-05-24,511.95000000,626.55000000,494.25000000,615.00000000,2430707.50400000
2021-05-23,599.02500000,620.55000000,393.00000000,511.95000000,3509828.22700000
2021-05-22,632.70000000,647.85000000,550.50000000,599.85000000,1645059.54400000
2021-05-21,769.12500000,804.75000000,536.47500000,633.60000000,3310639.83900000
2021-05-20,669.82500000,813.30000000,585.00000000,769.80000000,3260590.71800000
2021-05-19,1029.67500000,1048.57500000,412.50000000,669.82500000,6922979.05800000
2021-05-18,938.40000000,1073.25000000,928.57500000,1031.85000000,1682418.83700000
2021-05-17,1052.77500000,1057.50000000,907.05000000,937.27500000,1753975.49300000
2021-05-16,1036.87500000,1144.05000000,978.15000000,1054.87500000,1495000.82900000
2021-05-15,1141.35000000,1163.02500000,1030.35000000,1037.85000000,1333987.51100000
2021-05-14,1096.80000000,1195.12500000,1081.27500000,1142.47500000,1416086.48100000
2021-05-13,1076.10000000,1203.60000000,986.25000000,1096.42500000,2621874.21100000
2021-05-12,1263.52500000,1348.50000000,1044.52500000,1076.17500000,3102130.64200000
2021-05-11,1209.82500000,1272.75000000,1170.07500000,1261.95000000,1429274.57800000
2021-05-10,1328.62500000,1382.62500000,1134.00000000,1208.92500000,2542906.43000000
2021-05-09,1329.07500000,1356.97500000,1238.70000000,1328.47500000,2154800.61600000
2021-05-08,1340.40000000,1381.80000000,1290.82500000,1329.07500000,1422442.64700000
2021-05-07,1374.75000000,1445.85000000,1302.82500000,1340.40000000,2379040.02500000
2021-05-06,1451.47500000,1483.50000000,1328.17500000,1373.77500000,2615405.91300000
2021-05-05,1369.95000000,1550.47500000,1340.32500000,1450.27500000,4445053.04400000
2021-05-04,1373.32500000,1475.77500000,1183.80000000,1372.20000000,5319134.56400000
2021-05-03,1322.17500000,1421.25000000,1321.57500000,1373.17500000,1769947.23900000
2021-05-02,1389.00000000,1393.57500000,1275.00000000,1321.05000000,1595162.80200000
2021-05-01,1293.75000000,1407.82500000,1263.75000000,1388.77500000,2141735.69900000
2021-04-30,1236.00000000,1312.42500000,1203.45000000,1293.75000000,1653756.24300000
2021-04-29,1307.55000000,1319.85000000,1189.42500000,1236.52500000,1908600.05800000
2021-04-28,1258.50000000,1345.27500000,1163.25000000,1310.02500000,3130610.34100000
2021-04-27,1132.05000000,1299.22500000,1105.57500000,1258.20000000,3076924.91200000
2021-04-26,1010.25000000,1164.00000000,1001.32500000,1133.17500000,2033702.30000000
2021-04-25,1028.52750000,1101.45000000,943.50000000,1009.95000000,1502022.27000000
2021-04-24,1140.69750000,1144.85250000,1004.06250000,1030.18500000,1838809.31000000
2021-04-23,1193.83500000,1239.70500000,1022.18250000,1144.02000000,3705942.59000000
2021-04-22,1194.05250000,1450.08000000,1164.82500000,1192.50750000,4804743.77000000
2021-04-21,1218.48750000,1309.94250000,1150.87500000,1194.17250000,2263800.81000000
2021-04-20,1147.73250000,1270.24500000,1017.82500000,1218.41250000,2494175.97000000
2021-04-19,1283.91000000,1355.45250000,1103.55000000,1146.22500000,3061734.43000000
2021-04-18,1485.38250000,1500.00000000,825.68250000,1285.05000000,5101329.25000000
2021-04-17,1570.88250000,1715.95500000,1393.36500000,1485.29250000,3063235.61000000
2021-04-16,1565.32500000,1653.84000000,1439.25000000,1572.35250000,3956025.18000000
2021-04-15,1318.17750000,1747.84500000,1311.81750000,1565.31750000,9346604.45000000
