Date,Open,High,Low,Close,Volume
2018-11-20,33652.50000000,33652.50000000,33652.50000000,33652.50000000,0.00000000
2018-11-15,33940.50000000,35174.25000000,29175.00000000,33652.50000000,103980.90483000
2018-11-14,38963.25000000,39936.75000000,31500.00000000,33955.50000000,124861.36451000
2018-11-13,39065.25000000,41549.25000000,38100.00000000,38963.25000000,101768.45420000
2018-11-12,40150.50000000,40770.00000000,37741.50000000,39080.25000000,81887.87256000
2018-11-11,41932.50000000,42294.00000000,38811.75000000,40152.00000000,61103.92952000
2018-11-10,41002.50000000,43500.00000000,40035.75000000,41926.50000000,61789.90190000
2018-11-09,43388.25000000,45274.50000000,39750.00000000,40990.50000000,93325.54298000
2018-11-08,46570.50000000,46886.25000000,43110.00000000,43389.00000000,87830.75030000
2018-11-07,47525.25000000,48523.50000000,45778.50000000,46570.50000000,100325.25957000
2018-11-06,42269.25000000,47803.50000000,41050.50000000,47435.25000000,99738.12915000
2018-11-05,42812.25000000,43875.00000000,40574.25000000,42276.75000000,91123.51518000
2018-11-04,36062.25000000,44623.50000000,36021.00000000,42812.25000000,119393.25621000
2018-11-03,34912.50000000,36630.00000000,34362.75000000,36033.75000000,28159.51270000
2018-11-02,32063.25000000,35847.75000000,31968.00000000,34941.00000000,38425.65422000
2018-11-01,32028.75000000,32232.75000000,31807.50000000,32063.25000000,6940.69361000
2018-10-31,31761.75000000,32463.00000000,30750.00000000,32052.75000000,14315.15208000
2018-10-30,31418.25000000,31912.50000000,31275.00000000,31758.75000000,7356.90764000
2018-10-29,33168.75000000,33222.75000000,31053.75000000,31392.75000000,17199.20986000
2018-10-28,33033.75000000,33331.50000000,32859.75000000,33194.25000000,8600.37468000
2018-10-27,33322.50000000,33342.00000000,32604.00000000,33009.00000000,5841.52237000
2018-10-26,33411.00000000,33816.75000000,33110.25000000,33297.75000000,8143.09180000
2018-10-25,33601.50000000,33833.25000000,33262.50000000,33375.00000000,7493.41407000
2018-10-24,33677.25000000,34237.50000000,33501.75000000,33579.00000000,9051.81828000
2018-10-23,34230.00000000,34371.75000000,33270.75000000,33677.25000000,12681.79524000
2018-10-22,34168.50000000,34602.00000000,33735.00000000,34229.25000000,23796.47469000
2018-10-21,34142.25000000,35019.75000000,34020.75000000,34170.75000000,37722.30882000
2018-10-20,33499.50000000,34445.25000000,33166.50000000,34167.75000000,32420.52232000
2018-10-19,33518.25000000,33973.50000000,32750.25000000,33522.00000000,31752.14386000
2018-10-18,34656.00000000,35367.00000000,32976.75000000,33454.50000000,44460.04543000
2018-10-17,35247.00000000,35475.00000000,34331.25000000,34656.00000000,39547.48563000
2018-10-16,35257.50000000,36261.75000000,34677.00000000,35246.25000000,37612.07146000
2018-10-15,33294.00000000,39075.00000000,32724.00000000,35258.25000000,81898.84246000
2018-10-14,34016.25000000,34368.75000000,33066.75000000,33344.25000000,37841.91268000
2018-10-13,33414.00000000,34259.25000000,33279.75000000,34043.25000000,36828.18183000
2018-10-12,32520.00000000,34371.75000000,32142.00000000,33414.75000000,41085.23194000
2018-10-11,38727.00000000,38745.00000000,32149.50000000,32562.75000000,78891.70243000
2018-10-10,39027.75000000,39164.25000000,38230.50000000,38717.25000000,42197.63986000
2018-10-09,39862.50000000,39918.00000000,38415.75000000,39027.75000000,44036.45471000
2018-10-08,39084.75000000,40151.25000000,38913.00000000,39885.00000000,46855.12992000
2018-10-07,38304.75000000,39411.75000000,37957.50000000,39067.50000000,40190.30105000
2018-10-06,39122.25000000,39225.00000000,37692.75000000,38283.00000000,39206.39604000
2018-10-05,38600.25000000,39674.25000000,38298.00000000,39122.25000000,41428.99381000
2018-10-04,38787.75000000,40014.00000000,38107.50000000,38601.00000000,52012.67604000
2018-10-03,39915.75000000,40050.75000000,38000.25000000,38772.00000000,46984.05007000
2018-10-02,40014.75000000,41550.00000000,39241.50000000,39916.50000000,50085.38225000
