Date,Open,High,Low,Close,Volume
2021-11-28,42180.00000000,42300.00000000,40710.00000000,41227.50000000,17257.99700000
2021-11-27,41782.50000000,43005.00000000,41617.50000000,42202.50000000,55251.04200000
2021-11-26,46252.50000000,46402.50000000,40500.00000000,41797.50000000,238191.96100000
2021-11-25,46395.00000000,47692.50000000,45562.50000000,46260.00000000,119004.64300000
2021-11-24,42825.00000000,46515.00000000,41880.00000000,46410.00000000,147972.63500000
2021-11-23,41767.50000000,43170.00000000,40965.00000000,42832.50000000,77026.05100000
2021-11-22,43102.50000000,43372.50000000,40995.00000000,41767.50000000,79429.49800000
2021-11-21,43837.50000000,43905.00000000,42652.50000000,43080.00000000,43043.00100000
2021-11-20,43072.50000000,44122.50000000,42345.00000000,43837.50000000,55870.12100000
2021-11-19,41580.00000000,43275.00000000,41107.50000000,43072.50000000,70640.87000000
2021-11-18,44632.50000000,45142.50000000,40687.50000000,41580.00000000,112696.84000000
2021-11-17,44850.00000000,45277.50000000,43305.00000000,44625.00000000,95949.71200000
2021-11-16,49920.00000000,49927.50000000,42825.00000000,44835.00000000,184354.63200000
2021-11-15,50970.00000000,51472.50000000,49822.50000000,49920.00000000,72500.05600000
2021-11-14,49927.50000000,50970.00000000,49297.50000000,50962.50000000,65643.81500000
2021-11-13,50115.00000000,50310.00000000,49155.00000000,49920.00000000,59366.55800000
2021-11-12,50685.00000000,51337.50000000,48502.50000000,50107.50000000,107119.81900000
2021-11-11,49702.50000000,51060.00000000,49380.00000000,50685.00000000,93440.46900000
2021-11-10,53805.00000000,54697.50000000,48292.50000000,49717.50000000,290490.42600000
2021-11-09,47880.00000000,54855.00000000,47737.50000000,53812.50000000,337609.00800000
2021-11-08,45030.00000000,48225.00000000,44902.50000000,47880.00000000,131609.54900000
2021-11-07,44055.00000000,45037.50000000,43935.00000000,45030.00000000,37065.57000000
2021-11-06,44820.00000000,45180.00000000,43215.00000000,44055.00000000,51914.27600000
2021-11-05,44655.00000000,47460.00000000,44370.00000000,44827.50000000,163703.64100000
2021-11-04,45840.00000000,45990.00000000,43965.00000000,44670.00000000,64670.83600000
2021-11-03,44887.50000000,46500.00000000,44160.00000000,45825.00000000,117461.92600000
2021-11-02,44025.00000000,45645.00000000,43657.50000000,44880.00000000,64432.65200000
2021-11-01,44767.50000000,44970.00000000,43387.50000000,44017.50000000,62284.44900000
2021-10-31,43897.50000000,45367.50000000,43042.50000000,44767.50000000,84296.58700000
2021-10-30,44617.50000000,45082.50000000,43200.00000000,43897.50000000,49042.95200000
2021-10-29,43402.50000000,44745.00000000,43065.00000000,44610.00000000,57143.76100000
2021-10-28,41130.00000000,44925.00000000,40785.00000000,43402.50000000,133464.87700000
2021-10-27,45900.00000000,46440.00000000,39840.00000000,41130.00000000,137606.38700000
2021-10-26,46597.50000000,47415.00000000,45000.00000000,45892.50000000,68384.25100000
2021-10-25,46290.00000000,47137.50000000,46110.00000000,46597.50000000,58271.08200000
2021-10-24,47175.00000000,47482.50000000,45420.00000000,46290.00000000,66362.21200000
2021-10-23,46785.00000000,47820.00000000,46110.00000000,47182.50000000,50173.93900000
2021-10-22,46747.50000000,47775.00000000,45937.50000000,46792.50000000,66136.18700000
2021-10-21,48345.00000000,49192.50000000,46582.50000000,46755.00000000,116045.59500000
2021-10-20,46387.50000000,48667.50000000,45382.50000000,48352.50000000,93634.90100000
2021-10-19,45847.50000000,46875.00000000,44955.00000000,46387.50000000,71717.37800000
2021-10-18,45945.00000000,46447.50000000,44872.50000000,45862.50000000,70874.91000000
2021-10-17,46920.00000000,47152.50000000,44227.50000000,45937.50000000,84225.55700000
2021-10-16,46905.00000000,48705.00000000,46770.00000000,46905.00000000,100802.45600000
2021-10-15,44932.50000000,47790.00000000,43920.00000000,46927.50000000,169544.92600000
2021-10-14,44527.50000000,45577.50000000,44272.50000000,44932.50000000,75123.44700000
2021-10-13,44092.50000000,44617.50000000,42855.00000000,44527.50000000,91096.30600000
2021-10-12,45082.50000000,45097.50000000,42577.50000000,44092.50000000,98138.06200000
2021-10-11,43837.50000000,46387.50000000,43252.50000000,45097.50000000,102504.50200000
2021-10-10,46140.00000000,46740.00000000,43657.50000000,43852.50000000,85734.07800000
2021-10-09,44722.50000000,46837.50000000,44347.50000000,46140.00000000,82548.97800000
2021-10-08,45862.50000000,46335.00000000,44062.50000000,44715.00000000,115217.98200000
2021-10-07,46290.00000000,47752.50000000,44820.00000000,45847.50000000,159699.31000000
2021-10-06,44602.50000000,46987.50000000,42157.50000000,46282.50000000,194811.31400000
2021-10-05,41310.00000000,45022.50000000,41160.00000000,44587.50000000,101027.90100000
2021-10-04,42832.50000000,42840.00000000,39765.00000000,41302.50000000,104364.04600000
2021-10-03,41400.00000000,43432.50000000,40837.50000000,42825.00000000,73818.85000000
2021-10-02,40777.50000000,41992.50000000,40230.00000000,41407.50000000,67360.38500000
2021-10-01,37710.00000000,40852.50000000,37522.50000000,40777.50000000,102037.20400000
