Date,Open,High,Low,Close,Volume
2021-11-28,44992.50000000,45300.00000000,42930.00000000,44535.00000000,562365.88000000
2021-11-27,44040.00000000,46597.50000000,43695.00000000,44992.50000000,1183849.36000000
2021-11-26,47932.50000000,49342.50000000,42315.00000000,44047.50000000,2413553.43900000
2021-11-25,44280.00000000,48750.00000000,44055.00000000,47932.50000000,1536194.04200000
2021-11-24,44332.50000000,44572.50000000,43260.00000000,44272.50000000,1079667.80300000
2021-11-23,41955.00000000,45375.00000000,41842.50000000,44332.50000000,1202541.91700000
2021-11-22,43800.00000000,43912.50000000,41535.00000000,41947.50000000,1141002.75500000
2021-11-21,45330.00000000,45390.00000000,43470.00000000,43800.00000000,970133.80700000
2021-11-20,43575.00000000,45360.00000000,42945.00000000,45322.50000000,1119517.13100000
2021-11-19,39892.50000000,43912.50000000,39292.50000000,43575.00000000,1300787.95800000
2021-11-18,43342.50000000,44115.00000000,38250.00000000,39885.00000000,1750338.42800000
2021-11-17,44160.00000000,44445.00000000,41527.50000000,43350.00000000,1453408.55500000
2021-11-16,47542.50000000,47640.00000000,43027.50000000,44152.50000000,2200954.90300000
2021-11-15,48802.50000000,49462.50000000,47272.50000000,47535.00000000,953989.63400000
2021-11-14,48712.50000000,49575.00000000,47587.50000000,48810.00000000,933689.13900000
2021-11-13,47010.00000000,49125.00000000,46470.00000000,48712.50000000,900107.75700000
2021-11-12,47130.00000000,47587.50000000,45202.50000000,47017.50000000,1012909.08800000
2021-11-11,46065.00000000,47640.00000000,45427.50000000,47130.00000000,1019740.94900000
2021-11-10,47625.00000000,49717.50000000,42975.00000000,46057.50000000,1814654.08600000
2021-11-09,49020.00000000,49252.50000000,47392.50000000,47625.00000000,879119.39800000
2021-11-08,48712.50000000,49177.50000000,47325.00000000,49012.50000000,1290096.38400000
2021-11-07,47827.50000000,50197.50000000,47287.50000000,48720.00000000,1476373.24870000
2021-11-06,45547.50000000,47835.00000000,44632.50000000,47827.50000000,1366385.95700000
2021-11-05,41910.00000000,46267.50000000,41557.50000000,45547.50000000,1989945.54330000
2021-11-04,42630.00000000,42667.50000000,40770.00000000,41902.50000000,1052950.03300000
2021-11-03,41580.00000000,42757.50000000,40312.50000000,42630.00000000,1262766.59960000
2021-11-02,41347.50000000,42300.00000000,40305.00000000,41580.00000000,1153919.13990000
2021-11-01,39345.00000000,41392.50000000,38325.00000000,41347.50000000,1274272.08510000
2021-10-31,39630.00000000,40125.00000000,38167.50000000,39345.00000000,1018991.81900000
2021-10-30,39772.50000000,40537.50000000,38265.00000000,39622.50000000,1095033.12640000
2021-10-29,36900.00000000,40020.75000000,36570.00000000,39772.50000000,1411851.43940000
2021-10-28,33652.50000000,37110.00000000,33480.00000000,36892.50000000,1523900.00600000
2021-10-27,35865.00000000,36480.00000000,32647.50000000,33652.50000000,1370950.21400000
2021-10-26,36382.50000000,36735.00000000,35512.50000000,35857.50000000,702610.18400000
2021-10-25,35685.00000000,36645.00000000,35602.50000000,36382.50000000,632116.76100000
2021-10-24,36412.50000000,36487.50000000,35085.00000000,35685.00000000,590939.03100000
2021-10-23,35947.50000000,36427.50000000,35445.00000000,36412.50000000,521970.79500000
2021-10-22,35317.50000000,37350.00000000,35302.50000000,35947.50000000,1118876.63800000
2021-10-21,37597.50000000,37867.50000000,34950.00000000,35317.50000000,1851835.92900000
2021-10-20,36607.50000000,37942.50000000,36097.50000000,37597.50000000,946412.94000000
2021-10-19,36375.00000000,37320.00000000,36022.50000000,36607.50000000,912494.96900000
2021-10-18,35325.00000000,36570.00000000,34980.00000000,36367.50000000,1091006.03100000
2021-10-17,34935.00000000,35430.00000000,34065.00000000,35317.50000000,890609.84900000
2021-10-16,35587.50000000,36352.50000000,31725.00000000,34935.00000000,1040477.57100000
2021-10-15,35452.50000000,35850.00000000,33810.00000000,35587.50000000,1508188.78700000
2021-10-14,35302.50000000,36210.00000000,34590.00000000,35452.50000000,1431305.92500000
2021-10-13,33307.50000000,35385.00000000,32422.50000000,35310.00000000,3383303.43900000
2021-10-12,30990.00000000,33337.50000000,29415.00000000,33315.00000000,1966630.18300000
2021-10-11,30300.00000000,31800.00000000,29985.00000000,30982.50000000,759924.88400000
2021-10-10,31642.50000000,31672.50000000,30150.00000000,30307.50000000,729380.96300000
2021-10-09,31447.50000000,31950.00000000,31200.00000000,31642.50000000,632123.52600000
2021-10-08,32887.50000000,33120.00000000,31177.50000000,31440.00000000,1505999.18800000
2021-10-07,32617.50000000,33750.00000000,31770.00000000,32887.50000000,1159098.74470000
2021-10-06,33150.00000000,33210.00000000,31102.50000000,32617.50000000,1245088.68300000
2021-10-05,31980.00000000,33300.00000000,31800.00000000,33157.50000000,883699.82800000
2021-10-04,32287.50000000,32317.50000000,30817.50000000,31972.50000000,974423.35900000
2021-10-03,32025.00000000,32790.00000000,31612.50000000,32287.50000000,820910.79200000
2021-10-02,31605.00000000,32865.00000000,30795.00000000,32032.50000000,1039006.51800000
2021-10-01,29062.50000000,31755.00000000,28612.50000000,31612.50000000,1440336.04100000
2021-09-30,27577.50000000,29160.00000000,27480.00000000,29062.50000000,1163674.20600000
2021-09-29,24967.50000000,28155.00000000,24840.00000000,27577.50000000,1696420.04500000
2021-09-28,25162.50000000,25845.00000000,24750.00000000,24975.00000000,922077.22700000
2021-09-27,25800.00000000,26820.00000000,25125.00000000,25162.50000000,956544.06900000
2021-09-26,26220.00000000,26475.00000000,24000.00000000,25800.00000000,1538759.16180000
2021-09-25,26625.00000000,27060.00000000,25740.00000000,26220.00000000,916797.61700000
2021-09-24,28762.50000000,28897.50000000,25020.00000000,26625.00000000,1718950.21900000
2021-09-23,28417.50000000,28845.00000000,27675.00000000,28762.50000000,992215.17600000
2021-09-22,25830.00000000,28492.50000000,25672.50000000,28425.00000000,1085212.97200000
2021-09-21,27307.50000000,28200.00000000,25260.00000000,25830.00000000,1577059.12610000
2021-09-20,30637.50000000,30757.50000000,26527.50000000,27307.50000000,1865673.94010000
2021-09-19,30810.00000000,31425.00000000,30210.00000000,30645.00000000,743095.72100000
2021-09-18,30510.00000000,31500.00000000,30112.50000000,30802.50000000,733479.73900000
2021-09-17,31815.00000000,31950.00000000,30030.00000000,30495.00000000,844137.72700000
2021-09-16,32340.00000000,32625.00000000,31170.00000000,31822.50000000,1037049.02000000
2021-09-15,31072.50000000,32850.00000000,30720.00000000,32347.50000000,1182055.63100000
2021-09-14,29932.50000000,31102.50000000,29677.50000000,31072.50000000,930635.79200000
2021-09-13,31230.00000000,31477.50000000,28725.00000000,29932.50000000,1531654.71900000
2021-09-12,30375.00000000,31612.50000000,29805.00000000,31222.50000000,981402.88300000
2021-09-11,30105.00000000,31147.50000000,29947.50000000,30382.50000000,922767.05500000
