Date,Open,High,Low,Close,Volume
2021-11-28,4103735.25000000,4111575.00000000,4057312.50000000,4060791.75000000,3936.29616000
2021-11-27,4029279.00000000,4146000.00000000,4020750.00000000,4104077.25000000,29716.99957000
2021-11-26,4422027.75000000,4436250.00000000,4012500.00000000,4029489.75000000,65927.87066000
2021-11-25,4285371.75000000,4454917.50000000,4275000.00000000,4422027.00000000,42153.51522000
2021-11-24,4315594.50000000,4330125.00000000,4187775.00000000,4285371.75000000,39612.04964000
2021-11-23,4218287.25000000,4350749.25000000,4148775.00000000,4315595.25000000,49917.85017000
2021-11-22,4396327.50000000,4458300.00000000,4170750.00000000,4218538.50000000,51724.32047000
2021-11-21,4478064.00000000,4502232.00000000,4386498.75000000,4396651.50000000,31902.22785000
2021-11-20,4354282.50000000,4488375.00000000,4301475.00000000,4478063.25000000,33811.59010000
2021-11-19,4266871.50000000,4374000.00000000,4170000.00000000,4353918.00000000,50715.88726000
2021-11-18,4525864.50000000,4573200.00000000,4235569.50000000,4266871.50000000,62146.99931000
2021-11-17,4504415.25000000,4563017.25000000,4377975.00000000,4525865.25000000,46289.38491000
2021-11-16,4770504.75000000,4771298.25000000,4393055.25000000,4504415.25000000,77455.15609000
2021-11-15,4913933.25000000,4980136.50000000,4755000.00000000,4770505.50000000,37829.37124000
2021-11-14,4828500.75000000,4916288.25000000,4768220.25000000,4913932.50000000,25705.07347000
2021-11-13,4809166.50000000,4875000.00000000,4752016.50000000,4828500.00000000,22504.97383000
2021-11-12,4858068.75000000,4908802.50000000,4670850.00000000,4809167.25000000,44490.10816000
2021-11-11,4866181.50000000,4920005.25000000,4807500.00000000,4858069.50000000,37237.98058000
2021-11-10,5021075.25000000,5175000.00000000,4711717.50000000,4866182.25000000,65171.50404600
2021-11-09,5064436.50000000,5139318.75000000,4966680.00000000,5021074.50000000,44661.37806800
2021-11-08,4745518.50000000,5084175.00000000,4745518.50000000,5064437.25000000,54442.09455400
2021-11-07,4610296.50000000,4746476.25000000,4599208.50000000,4745519.25000000,25515.68830000
2021-11-06,4570513.50000000,4617036.75000000,4503750.00000000,4610295.75000000,25590.57408000
2021-11-05,4604625.75000000,4694679.00000000,4554075.00000000,4570284.00000000,31604.48749000
2021-11-04,4717236.75000000,4731473.25000000,4550775.75000000,4604625.75000000,35930.93314000
2021-11-03,4741542.75000000,4762500.00000000,4528707.00000000,4717236.00000000,43336.09049000
2021-11-02,4568334.00000000,4820250.00000000,4546851.00000000,4741499.25000000,46368.28410000
2021-11-01,4597485.75000000,4682830.50000000,4455375.00000000,4568333.25000000,44687.66672000
