Date,Open,High,Low,Close,Volume
2021-11-28,4045.50000000,4056.75000000,3933.75000000,3970.50000000,3117.07000000
2021-11-27,4017.00000000,4128.00000000,3994.50000000,4050.00000000,8515.69000000
2021-11-26,4369.50000000,4385.25000000,3976.50000000,4017.00000000,20694.30000000
2021-11-25,4269.75000000,4617.75000000,4194.00000000,4368.00000000,29220.48000000
2021-11-24,4271.25000000,4284.00000000,4133.25000000,4275.00000000,14722.17000000
2021-11-23,4252.50000000,4324.50000000,4146.75000000,4269.75000000,13316.27000000
2021-11-22,4431.00000000,4431.00000000,4221.00000000,4252.50000000,14805.93000000
2021-11-21,4476.75000000,4506.00000000,4374.75000000,4419.00000000,15842.46000000
2021-11-20,4402.50000000,4503.00000000,4311.75000000,4473.00000000,16838.06000000
2021-11-19,4255.50000000,4444.50000000,4164.75000000,4405.50000000,32066.43000000
2021-11-18,4612.50000000,4680.75000000,4191.75000000,4245.75000000,127305.82000000
2021-11-17,4532.25000000,4672.50000000,4425.00000000,4622.25000000,17348.09000000
2021-11-16,4855.50000000,4860.00000000,4398.75000000,4538.25000000,33955.51000000
2021-11-15,5019.00000000,5055.75000000,4845.00000000,4860.75000000,11840.48000000
2021-11-14,4947.00000000,5083.50000000,4869.00000000,5010.75000000,11667.41000000
2021-11-13,4888.50000000,4995.75000000,4815.00000000,4938.75000000,9885.61000000
2021-11-12,5017.50000000,5058.00000000,4746.00000000,4897.50000000,23672.39000000
2021-11-11,5050.50000000,5136.75000000,4905.75000000,5007.75000000,19274.88000000
2021-11-10,5322.00000000,5697.00000000,4923.75000000,5055.75000000,76333.00000000
2021-11-09,5192.25000000,5417.25000000,5103.75000000,5329.50000000,48971.19000000
2021-11-08,4821.00000000,5244.00000000,4801.50000000,5187.00000000,57910.86000000
2021-11-07,4749.00000000,4824.00000000,4731.75000000,4815.75000000,10007.52000000
2021-11-06,4779.00000000,4812.75000000,4644.00000000,4755.00000000,8363.18000000
2021-11-05,4822.50000000,4950.00000000,4760.25000000,4785.00000000,16614.00000000
2021-11-04,4950.75000000,4962.00000000,4765.50000000,4821.00000000,18051.42000000
2021-11-03,4965.75000000,5036.25000000,4773.75000000,4950.75000000,22624.95000000
2021-11-02,4821.75000000,5100.00000000,4767.00000000,4957.50000000,29448.62000000
2021-11-01,4908.00000000,4916.25000000,4710.00000000,4814.25000000,20347.62000000
2021-10-31,4753.50000000,5055.00000000,4701.75000000,4907.25000000,25840.14000000
2021-10-30,4890.75000000,4896.75000000,4710.00000000,4753.50000000,10339.61000000
2021-10-29,4794.75000000,4952.25000000,4758.75000000,4890.75000000,13070.46000000
2021-10-28,4462.50000000,4888.50000000,4406.25000000,4795.50000000,25724.14000000
2021-10-27,5034.75000000,5076.00000000,4389.00000000,4453.50000000,26384.66000000
2021-10-26,5154.00000000,5192.25000000,5009.25000000,5031.75000000,11045.53000000
2021-10-25,5036.25000000,5175.00000000,5017.50000000,5155.50000000,12879.15000000
2021-10-24,5124.75000000,5140.50000000,4945.50000000,5037.00000000,11089.40000000
2021-10-23,5121.00000000,5160.75000000,5043.00000000,5124.75000000,9041.17000000
2021-10-22,5138.25000000,5263.50000000,5061.00000000,5119.50000000,11558.60000000
2021-10-21,5352.75000000,5471.25000000,5127.75000000,5137.50000000,36183.89000000
2021-10-20,5216.25000000,5397.75000000,5069.25000000,5360.25000000,40176.19000000
2021-10-19,5104.50000000,5250.00000000,5043.00000000,5208.00000000,120783.97000000
2021-10-18,5094.00000000,5385.00000000,5039.25000000,5113.50000000,22051.95000000
2021-10-17,5172.75000000,5243.25000000,4932.75000000,5093.25000000,19053.09000000
2021-10-16,5362.50000000,5365.50000000,5154.00000000,5173.50000000,17343.90000000
2021-10-15,5129.25000000,5621.25000000,5037.75000000,5377.50000000,81861.08000000
2021-10-14,5162.25000000,5238.00000000,5083.50000000,5133.75000000,14702.83000000
2021-10-13,5207.25000000,5259.00000000,4964.25000000,5163.00000000,23084.60000000
2021-10-12,5252.25000000,5587.50000000,5079.00000000,5199.00000000,52853.16000000
2021-10-11,4912.50000000,5640.00000000,4884.00000000,5238.75000000,84411.71000000
2021-10-10,5129.25000000,5292.75000000,4885.50000000,4908.75000000,17074.33000000
2021-10-09,4949.25000000,5318.25000000,4878.00000000,5129.25000000,28536.65000000
2021-10-08,5109.00000000,5290.50000000,4842.00000000,4949.25000000,42638.40000000
2021-10-07,5550.00000000,5829.75000000,5086.50000000,5109.00000000,103290.90000000
2021-10-06,4669.50000000,5714.25000000,4318.50000000,5550.00000000,283211.39000000
2021-10-05,4523.25000000,4674.00000000,4398.75000000,4668.00000000,26947.24000000
2021-10-04,4420.50000000,4530.00000000,4185.00000000,4530.00000000,14457.58000000
2021-10-03,4387.50000000,4499.25000000,4238.25000000,4426.50000000,11574.29000000
2021-10-02,4274.25000000,4512.75000000,4209.00000000,4386.00000000,16030.40000000
2021-10-01,3876.75000000,4308.75000000,3819.75000000,4272.00000000,16296.79000000
2021-09-30,3707.25000000,3891.00000000,3697.50000000,3872.25000000,12992.80000000
2021-09-29,3657.00000000,3860.25000000,3648.00000000,3708.75000000,17404.11000000
