Date,Open,High,Low,Close,Volume
2021-11-28,3.58125000,3.61650000,3.33150000,3.44250000,38131138.60000000
2021-11-27,3.55050000,3.75000000,3.52575000,3.58125000,64980507.30000000
2021-11-26,4.00275000,4.05825000,3.49725000,3.55200000,94661678.00000000
2021-11-25,3.89925000,4.04550000,3.85350000,3.99675000,61391001.50000000
2021-11-24,4.01475000,4.05825000,3.77400000,3.90075000,69485697.59999999
2021-11-23,3.92925000,4.11075000,3.81075000,4.01325000,107715833.00000000
2021-11-22,3.69675000,4.12500000,3.53325000,3.92925000,302740773.60000002
2021-11-21,3.71475000,3.89400000,3.66600000,3.69900000,135223929.69999999
2021-11-20,3.59775000,3.82200000,3.52875000,3.71625000,64647250.70000000
2021-11-19,3.42525000,3.66075000,3.40050000,3.59325000,45963203.90000000
2021-11-18,3.72375000,3.75750000,3.33975000,3.42525000,73665681.09999999
2021-11-17,3.86100000,3.89400000,3.67575000,3.72300000,59374958.90000000
2021-11-16,4.34850000,4.35300000,3.69000000,3.85425000,104314699.00000000
2021-11-15,4.52925000,4.69500000,4.33050000,4.35075000,117313199.40000001
2021-11-14,4.38600000,4.65000000,4.27650000,4.52700000,157307369.90000001
2021-11-13,3.97800000,4.50000000,3.96300000,4.39200000,222342146.69999999
2021-11-12,4.16325000,4.40925000,3.79350000,3.98700000,139639243.09999999
2021-11-11,3.62850000,4.39800000,3.56850000,4.15950000,381189515.89999998
2021-11-10,3.98025000,4.04100000,3.37500000,3.63075000,75481253.40000001
2021-11-09,3.98925000,4.13175000,3.90000000,3.97350000,72623829.59999999
2021-11-08,3.84750000,4.03125000,3.79950000,3.99000000,80710274.20000000
2021-11-07,3.79575000,4.04775000,3.75225000,3.84900000,162064060.30000001
2021-11-06,3.69900000,3.93750000,3.58275000,3.80325000,86548745.80000000
2021-11-05,3.74100000,3.78975000,3.64500000,3.70050000,74569390.09999999
2021-11-04,3.94425000,4.00125000,3.65325000,3.74325000,73028559.20000000
2021-11-03,4.11450000,4.23225000,3.88050000,3.94425000,76687346.09999999
2021-11-02,3.98850000,4.12500000,3.94425000,4.11150000,76381839.00000000
2021-11-01,3.81900000,4.12500000,3.63525000,3.98400000,107178892.20000000
2021-10-31,3.65625000,3.95850000,3.56325000,3.81825000,92001931.09999999
2021-10-30,3.52275000,3.66300000,3.44400000,3.65625000,49589305.30000000
2021-10-29,3.40425000,3.59025000,3.39750000,3.53025000,50882765.20000000
2021-10-28,3.27000000,3.47250000,3.22875000,3.40275000,60183905.50000000
2021-10-27,3.73350000,3.87675000,3.17775000,3.26775000,107766926.09999999
2021-10-26,3.70425000,3.87900000,3.62925000,3.73200000,101365154.70000000
2021-10-25,3.57075000,3.86100000,3.55725000,3.70575000,69541890.00000000
2021-10-24,3.62025000,3.64650000,3.47400000,3.57375000,37917861.60000000
2021-10-23,3.58800000,3.62250000,3.52650000,3.61950000,24079763.60000000
2021-10-22,3.66150000,3.73725000,3.53475000,3.58500000,50923629.60000000
2021-10-21,3.81750000,3.94500000,3.64050000,3.65850000,80772128.90000001
2021-10-20,3.72900000,3.92550000,3.70800000,3.82200000,75174366.59999999
2021-10-19,3.69150000,3.91650000,3.67125000,3.72975000,114548173.80000000
2021-10-18,3.74850000,3.88875000,3.60900000,3.69000000,136370488.30000001
2021-10-17,3.76950000,4.02975000,3.62100000,3.74850000,106213476.59999999
2021-10-16,3.67725000,4.42050000,3.67125000,3.76200000,333152277.60000002
2021-10-15,3.60525000,3.90300000,3.46425000,3.67425000,187467903.09999999
2021-10-14,3.41250000,3.64650000,3.37650000,3.60375000,84984449.50000000
2021-10-13,3.25125000,3.45750000,3.19950000,3.41550000,66503833.50000000
2021-10-12,3.37875000,3.37875000,3.05400000,3.25125000,96774047.70000000
2021-10-11,3.36000000,3.50100000,3.28125000,3.37800000,36989941.50000000
2021-10-10,3.59550000,3.63075000,3.34125000,3.36375000,65691104.20000000
2021-10-09,3.59475000,3.90000000,3.54750000,3.59550000,103573505.20000000
2021-10-08,3.53325000,3.68700000,3.45375000,3.58800000,65246421.10000000
2021-10-07,3.48375000,3.66750000,3.34725000,3.53100000,107328898.80000000
2021-10-06,3.40650000,3.77550000,3.16125000,3.48300000,180556315.19999999
2021-10-05,3.33150000,3.48750000,3.28425000,3.40200000,92108236.09999999
2021-10-04,3.37800000,3.40125000,3.16125000,3.32775000,57139299.70000000
2021-10-03,3.27450000,3.45450000,3.18825000,3.37725000,64728070.90000000
2021-10-02,3.18225000,3.41400000,3.11775000,3.27525000,55322746.30000000
2021-10-01,2.96325000,3.18975000,2.91900000,3.18225000,56374395.10000000
2021-09-30,2.85900000,2.99550000,2.84250000,2.96550000,54219331.10000000
2021-09-29,2.76375000,2.97600000,2.71575000,2.85900000,43562962.70000000
2021-09-28,2.82225000,2.91300000,2.73975000,2.76450000,58410462.40000000
2021-09-27,2.95575000,3.10050000,2.80950000,2.82000000,124327982.59999999
2021-09-26,3.02550000,3.03600000,2.74575000,2.95875000,82018278.09999999
2021-09-25,3.14925000,3.22425000,2.97150000,3.02250000,103091977.70000000
2021-09-24,3.45450000,3.51300000,2.96775000,3.14700000,110233313.40000001
2021-09-23,3.30150000,3.54900000,3.23625000,3.45150000,72914538.59999999
2021-09-22,2.88600000,3.30525000,2.82300000,3.30525000,61308233.30000000
2021-09-21,3.15825000,3.26550000,2.82300000,2.87625000,96913580.70000000
2021-09-20,3.73950000,3.74325000,3.06825000,3.15525000,122587201.59999999
2021-09-19,3.84075000,3.86925000,3.62925000,3.74175000,41313741.50000000
