Date,Open,High,Low,Close,Volume
2021-11-28,984.00000000,990.75000000,936.00000000,969.75000000,1005061.08000000
2021-11-27,963.75000000,1022.25000000,959.25000000,984.00000000,2620849.01000000
2021-11-26,1081.50000000,1101.75000000,900.00000000,963.75000000,6777353.53400000
2021-11-25,1047.00000000,1098.00000000,1035.00000000,1081.50000000,3172863.78000000
2021-11-24,1110.75000000,1116.00000000,1023.00000000,1047.00000000,3645674.95900000
2021-11-23,1119.75000000,1152.75000000,1097.25000000,1109.25000000,2505076.36000000
2021-11-22,1143.00000000,1184.25000000,1095.75000000,1119.75000000,2685728.80000000
2021-11-21,1190.25000000,1205.25000000,1125.00000000,1143.00000000,2794706.34000000
2021-11-20,1197.00000000,1216.50000000,1141.50000000,1189.50000000,1723121.42000000
2021-11-19,1111.50000000,1216.50000000,1093.50000000,1197.00000000,2217357.25000000
2021-11-18,1236.00000000,1261.50000000,1053.75000000,1110.75000000,5657451.44500000
2021-11-17,1262.25000000,1271.25000000,1191.00000000,1236.75000000,3856846.35900000
2021-11-16,1388.25000000,1389.00000000,1241.25000000,1262.25000000,6039607.45800000
2021-11-15,1380.00000000,1434.75000000,1374.75000000,1388.25000000,2032560.32000000
2021-11-14,1383.00000000,1392.00000000,1348.50000000,1379.25000000,1770872.00000000
2021-11-13,1370.25000000,1402.50000000,1352.25000000,1383.00000000,1552927.89000000
2021-11-12,1411.50000000,1425.00000000,1341.75000000,1369.50000000,2008109.03000000
2021-11-11,1376.25000000,1439.25000000,1350.00000000,1411.50000000,2601271.10000000
2021-11-10,1482.00000000,1489.50000000,1312.50000000,1375.50000000,4651313.94000000
2021-11-09,1508.25000000,1516.50000000,1477.50000000,1480.50000000,2641339.50000000
2021-11-08,1516.50000000,1523.25000000,1467.00000000,1508.25000000,3346560.74000000
2021-11-07,1442.25000000,1539.00000000,1428.75000000,1516.50000000,4859471.94000000
2021-11-06,1458.75000000,1472.25000000,1401.75000000,1442.25000000,2446624.46000000
2021-11-05,1411.50000000,1537.50000000,1395.00000000,1458.00000000,5253333.13000000
2021-11-04,1422.00000000,1473.75000000,1384.50000000,1410.75000000,5197777.09000000
2021-11-03,1388.25000000,1430.25000000,1344.75000000,1422.00000000,3139688.42000000
2021-11-02,1383.75000000,1416.00000000,1338.75000000,1389.00000000,3182116.10000000
2021-11-01,1324.50000000,1389.75000000,1296.00000000,1383.00000000,3451795.10000000
2021-10-31,1351.50000000,1362.00000000,1295.25000000,1323.75000000,2548915.88000000
2021-10-30,1395.00000000,1417.50000000,1326.00000000,1351.50000000,2900668.44000000
2021-10-29,1367.25000000,1422.00000000,1314.75000000,1395.00000000,3968269.91000000
2021-10-28,1355.25000000,1399.50000000,1332.00000000,1367.25000000,3619394.53000000
2021-10-27,1452.00000000,1465.50000000,1350.00000000,1355.25000000,4111008.07000000
2021-10-26,1489.50000000,1498.50000000,1448.25000000,1452.00000000,2248295.81000000
2021-10-25,1460.25000000,1509.75000000,1455.00000000,1489.50000000,2051111.98000000
2021-10-24,1491.00000000,1507.50000000,1446.00000000,1460.25000000,1898217.72000000
2021-10-23,1482.75000000,1497.00000000,1462.50000000,1490.25000000,1419308.17000000
2021-10-22,1491.75000000,1545.00000000,1467.00000000,1482.75000000,3274823.54000000
2021-10-21,1531.50000000,1555.50000000,1473.00000000,1491.75000000,3893480.02000000
2021-10-20,1510.50000000,1575.00000000,1480.50000000,1531.50000000,2992996.91000000
2021-10-19,1488.00000000,1529.25000000,1482.00000000,1510.50000000,2494818.79000000
2021-10-18,1462.50000000,1490.25000000,1449.75000000,1488.00000000,1891373.34000000
2021-10-17,1482.00000000,1490.25000000,1425.00000000,1461.75000000,1779699.51000000
2021-10-16,1488.00000000,1507.50000000,1462.50000000,1481.25000000,2022567.90000000
2021-10-15,1494.00000000,1510.50000000,1438.50000000,1488.00000000,3163031.87000000
2021-10-14,1524.00000000,1571.25000000,1477.50000000,1493.25000000,4647207.19000000
2021-10-13,1460.25000000,1587.00000000,1449.00000000,1523.25000000,10552343.36000000
2021-10-12,1410.00000000,1461.75000000,1328.25000000,1460.25000000,5122716.60000000
2021-10-11,1395.75000000,1462.50000000,1380.00000000,1410.00000000,2050080.08000000
2021-10-10,1476.00000000,1476.75000000,1389.00000000,1395.75000000,2095363.87000000
2021-10-09,1468.50000000,1497.75000000,1455.00000000,1475.25000000,1480726.03000000
2021-10-08,1458.00000000,1515.75000000,1402.50000000,1467.75000000,3610542.73000000
2021-10-07,1481.25000000,1596.75000000,1443.75000000,1456.50000000,5300729.44000000
2021-10-06,1497.00000000,1500.00000000,1392.75000000,1481.25000000,3342607.05000000
2021-10-05,1446.75000000,1503.00000000,1425.75000000,1497.00000000,2398101.11000000
2021-10-04,1476.00000000,1477.50000000,1411.50000000,1447.50000000,2187223.78000000
2021-10-03,1496.25000000,1518.00000000,1462.50000000,1476.00000000,2009218.99000000
2021-10-02,1496.25000000,1533.75000000,1455.75000000,1496.25000000,2176767.99000000
2021-10-01,1418.25000000,1507.50000000,1394.25000000,1497.00000000,3391912.85000000
2021-09-30,1391.25000000,1452.75000000,1380.75000000,1418.25000000,2554039.04000000
2021-09-29,1358.25000000,1470.75000000,1348.50000000,1389.75000000,2902330.43000000
2021-09-28,1381.50000000,1403.25000000,1350.00000000,1358.25000000,2406071.09000000
2021-09-27,1397.25000000,1485.00000000,1378.50000000,1380.75000000,3871579.94000000
2021-09-26,1386.75000000,1477.50000000,1266.75000000,1398.00000000,5207815.25800000
