Date,Open,High,Low,Close,Volume
2021-11-28,232.78650000,276.92325000,210.00000000,266.70750000,22595865.00000000
2021-11-27,246.16725000,256.50000000,221.25825000,232.78725000,22737711.00000000
2021-11-26,293.75175000,329.25000000,227.25000000,246.14250000,49902786.00000000
2021-11-25,312.39150000,366.75000000,266.25000000,293.61225000,76277746.00000000
2021-11-24,253.02075000,337.50000000,243.75000000,312.39375000,71015319.00000000
2021-11-23,214.89750000,272.99700000,214.89750000,253.01775000,62962023.00000000
2021-11-22,236.02275000,257.55000000,206.25000000,215.24250000,51712315.00000000
2021-11-21,249.52650000,343.36425000,225.75000000,235.36500000,130081761.00000000
2021-11-20,188.28225000,282.89775000,182.25000000,249.74775000,110639996.00000000
2021-11-19,180.37800000,226.90575000,170.43300000,188.26875000,63976144.00000000
2021-11-18,168.87450000,193.12500000,156.45000000,180.54600000,42465942.00000000
2021-11-17,143.03775000,200.25000000,142.56150000,168.87450000,56051536.00000000
2021-11-16,148.23675000,154.91100000,132.00000000,143.20125000,11709627.00000000
2021-11-15,159.94875000,175.94250000,147.00000000,148.23375000,15613112.00000000
2021-11-14,172.17825000,173.58000000,154.61250000,159.94875000,22783103.00000000
2021-11-13,133.44150000,213.75000000,132.00000000,171.90525000,113516656.00000000
2021-11-12,141.14025000,141.82350000,126.36900000,133.44150000,10459569.00000000
2021-11-11,147.51600000,152.24925000,139.87500000,141.14025000,8345513.00000000
2021-11-10,138.97575000,169.65000000,138.75000000,147.19125000,28448768.00000000
2021-11-09,144.08700000,157.80150000,138.75000000,138.97575000,16667851.00000000
2021-11-08,155.68350000,155.72475000,135.87975000,143.98650000,21982518.00000000
2021-11-07,165.00000000,177.33750000,153.75000000,155.72400000,16428814.00000000
2021-11-06,194.86800000,212.60100000,163.35000000,165.00000000,30882202.00000000
2021-11-05,247.82025000,256.92375000,187.50000000,194.81850000,63669516.00000000
2021-11-04,1.72500000,1259.99925000,1.72500000,247.82025000,253270565.00000000
