Date,Open,High,Low,Close,Volume
2021-11-28,13680.00000000,13732.50000000,12997.50000000,13162.50000000,41513.05800000
2021-11-27,13770.00000000,14242.50000000,13545.00000000,13680.00000000,114192.13000000
2021-11-26,16110.00000000,16162.50000000,13380.00000000,13770.00000000,225797.10600000
2021-11-25,15315.00000000,16170.00000000,15165.00000000,16102.50000000,196362.60200000
2021-11-24,14062.50000000,15375.00000000,13822.50000000,15315.00000000,354140.41500000
2021-11-23,14835.00000000,15067.50000000,13845.00000000,14062.50000000,166510.12400000
2021-11-22,15547.50000000,15675.00000000,14137.50000000,14850.00000000,246454.71000000
2021-11-21,14527.50000000,15652.50000000,14040.00000000,15540.00000000,168082.07000000
2021-11-20,14197.50000000,14857.50000000,13950.00000000,14527.50000000,145122.25200000
2021-11-19,13170.00000000,14205.00000000,13042.50000000,14197.50000000,149341.50600000
2021-11-18,14205.00000000,14325.00000000,12727.50000000,13177.50000000,236570.87900000
2021-11-17,14880.00000000,15052.50000000,13845.00000000,14197.50000000,225305.92900000
2021-11-16,16830.00000000,16837.50000000,14145.00000000,14887.50000000,271549.42700000
2021-11-15,17182.50000000,18022.50000000,16770.00000000,16837.50000000,148586.25000000
2021-11-14,17167.50000000,17400.00000000,16500.00000000,17175.00000000,91549.21400000
2021-11-13,16605.00000000,17445.00000000,16290.00000000,17167.50000000,143445.26700000
2021-11-12,17377.50000000,17715.00000000,15915.00000000,16597.50000000,169481.66100000
2021-11-11,16282.50000000,17625.00000000,15975.00000000,17377.50000000,211886.90700000
2021-11-10,17587.50000000,18585.00000000,15600.00000000,16275.00000000,354254.85700000
2021-11-09,15900.00000000,17925.00000000,15817.50000000,17587.50000000,462387.14400000
2021-11-08,14535.00000000,15990.00000000,14497.50000000,15892.50000000,194631.47400000
2021-11-07,14332.50000000,14542.50000000,14220.00000000,14542.50000000,48314.02700000
2021-11-06,14572.50000000,14842.50000000,13890.00000000,14332.50000000,80479.30000000
2021-11-05,14902.50000000,14985.00000000,14362.50000000,14580.00000000,71073.90600000
2021-11-04,15142.50000000,15337.50000000,14527.50000000,14902.50000000,113462.57200000
2021-11-03,15007.50000000,15412.50000000,14475.00000000,15142.50000000,164545.99100000
2021-11-02,14182.50000000,15210.00000000,14062.50000000,15007.50000000,119924.50800000
2021-11-01,14452.50000000,14602.50000000,13762.50000000,14182.50000000,102977.47000000
2021-10-31,13777.50000000,14970.00000000,13755.00000000,14452.50000000,178819.99100000
