Date,Open,High,Low,Close,Volume
2021-11-28,7642.50000000,7785.00000000,7440.00000000,7627.50000000,7788.12100000
2021-11-27,7050.00000000,7725.00000000,6982.50000000,7650.00000000,11696.10400000
2021-11-26,8167.50000000,8212.50000000,6795.00000000,7012.50000000,61087.33000000
2021-11-25,8017.50000000,8190.00000000,7837.50000000,8167.50000000,7145.26600000
2021-11-24,8257.50000000,8272.50000000,7845.00000000,8025.00000000,8934.19200000
2021-11-23,8047.50000000,8272.50000000,7740.00000000,8250.00000000,11589.15500000
2021-11-22,8370.00000000,8520.00000000,7935.00000000,8062.50000000,9667.42100000
2021-11-21,8317.50000000,8512.50000000,8182.50000000,8370.00000000,9204.60600000
2021-11-20,8107.50000000,8362.50000000,7927.50000000,8317.50000000,6782.55700000
2021-11-19,8055.00000000,8182.50000000,7740.00000000,8107.50000000,8577.48000000
2021-11-18,8257.50000000,8422.50000000,7747.50000000,8077.50000000,10430.96500000
2021-11-17,8062.50000000,8295.00000000,7762.50000000,8265.00000000,7188.56400000
2021-11-16,8497.50000000,8497.50000000,7710.00000000,8055.00000000,20694.23500000
2021-11-15,8925.00000000,9195.00000000,8437.50000000,8505.00000000,19177.94200000
2021-11-14,8572.50000000,9007.50000000,8565.00000000,8925.00000000,23040.37600000
2021-11-13,8482.50000000,8625.00000000,8167.50000000,8580.00000000,16550.00500000
2021-11-12,8122.50000000,8767.50000000,7890.00000000,8475.00000000,23754.01500000
2021-11-11,7650.00000000,8250.00000000,7582.50000000,8152.50000000,11965.09800000
2021-11-10,8055.00000000,8250.00000000,7500.00000000,7657.50000000,13351.37100000
2021-11-09,8137.50000000,8175.00000000,7875.00000000,8040.00000000,14301.53800000
2021-11-08,8085.00000000,8242.50000000,7987.50000000,8137.50000000,11149.39800000
2021-11-07,8002.50000000,8145.00000000,7912.50000000,8085.00000000,9221.51200000
2021-11-06,7807.50000000,8085.00000000,7657.50000000,8025.00000000,10861.30800000
2021-11-05,8070.00000000,8122.50000000,7695.00000000,7815.00000000,13592.28100000
2021-11-04,8370.00000000,8392.50000000,7957.50000000,8070.00000000,11991.71200000
2021-11-03,8505.00000000,8767.50000000,8182.50000000,8377.50000000,16571.84100000
2021-11-02,8400.00000000,8602.50000000,8317.50000000,8497.50000000,9017.45200000
2021-11-01,8610.00000000,8857.50000000,8257.50000000,8392.50000000,15520.26000000
2021-10-31,8730.00000000,8752.50000000,7912.50000000,8595.00000000,11159.86800000
2021-10-30,8767.50000000,8917.50000000,8512.50000000,8730.00000000,7262.21600000
2021-10-29,8347.50000000,8910.00000000,8287.50000000,8782.50000000,14475.92200000
2021-10-28,8190.00000000,8782.50000000,8085.00000000,8347.50000000,9405.46900000
