Date,Open,High,Low,Close,Volume
2021-11-28,3.47700000,3.50100000,3.25125000,3.41400000,57090472.30000000
2021-11-27,3.38700000,3.60225000,3.38025000,3.47850000,136274675.00000000
2021-11-26,3.75600000,3.84825000,3.25950000,3.38700000,274418599.00000000
2021-11-25,3.68250000,3.86700000,3.64650000,3.75150000,170379902.90000001
2021-11-24,3.84450000,3.85275000,3.58575000,3.68325000,133570166.90000001
2021-11-23,3.82875000,3.97425000,3.75375000,3.84000000,112309309.00000000
2021-11-22,3.98550000,3.99600000,3.72525000,3.82875000,119086801.20000000
2021-11-21,4.00950000,4.09650000,3.92625000,3.98100000,148327750.30000001
2021-11-20,3.82200000,4.03200000,3.80475000,4.00875000,126534098.90000001
2021-11-19,3.61350000,3.86400000,3.56025000,3.82125000,109993293.40000001
2021-11-18,4.03125000,4.08225000,3.54825000,3.61275000,147163109.50000000
2021-11-17,4.02300000,4.08600000,3.79875000,4.03050000,132936512.80000000
2021-11-16,4.45800000,4.46175000,3.75225000,4.02375000,222764165.80000001
2021-11-15,4.62000000,4.64625000,4.37700000,4.46100000,127930926.80000000
2021-11-14,4.74075000,4.83000000,4.54500000,4.61625000,104593592.20000000
2021-11-13,4.68600000,4.95825000,4.61175000,4.74150000,220004954.09999999
2021-11-12,5.02200000,5.25675000,4.48275000,4.68975000,481299926.30000001
2021-11-11,4.10175000,5.10000000,4.01925000,5.02425000,639621168.89999998
2021-11-10,4.21950000,4.71375000,3.84450000,4.10250000,361139500.19999999
2021-11-09,4.13775000,4.32750000,4.10250000,4.21950000,172845857.09999999
2021-11-08,4.06500000,4.19175000,4.02375000,4.14000000,169123613.30000001
2021-11-07,3.96450000,4.10700000,3.92175000,4.06425000,101258356.80000000
2021-11-06,3.99075000,4.02600000,3.82275000,3.96375000,140978294.80000001
2021-11-05,4.10925000,4.19700000,3.93225000,3.99225000,183808639.30000001
2021-11-04,4.09275000,4.45950000,4.02075000,4.11225000,250431520.09999999
2021-11-03,4.29825000,4.32675000,3.97575000,4.09500000,165378663.00000000
2021-11-02,4.10700000,4.55325000,4.04925000,4.29750000,341028947.89999998
2021-11-01,4.31250000,4.33425000,3.84600000,4.10700000,370038440.69999999
2021-10-31,3.74175000,5.55000000,3.69225000,4.31175000,2015924017.59999990
2021-10-30,3.53775000,3.81900000,3.42750000,3.74175000,246456806.69999999
2021-10-29,3.45600000,3.59100000,3.42450000,3.53850000,136380560.59999999
2021-10-28,3.33300000,3.63075000,3.30000000,3.45375000,254822090.69999999
2021-10-27,3.82575000,3.91650000,3.24975000,3.32925000,245526278.00000000
2021-10-26,3.75750000,3.97350000,3.71400000,3.82650000,206806076.59999999
2021-10-25,3.65850000,3.78225000,3.64575000,3.75525000,116841415.59999999
2021-10-24,3.85650000,3.85950000,3.60075000,3.65700000,106601014.09999999
2021-10-23,3.86025000,3.89625000,3.78150000,3.85650000,71197035.40000001
2021-10-22,3.93900000,3.97500000,3.79425000,3.85875000,127013417.59999999
2021-10-21,3.82125000,4.12500000,3.70275000,3.93750000,312523358.60000002
2021-10-20,3.62850000,3.90450000,3.57825000,3.82425000,133656093.20000000
2021-10-19,3.65025000,3.68400000,3.56550000,3.62775000,91930060.00000000
2021-10-18,3.76350000,3.80550000,3.58800000,3.65250000,114451008.40000001
