Date,Open,High,Low,Close,Volume
2021-11-28,2637.00000000,2638.50000000,2457.00000000,2520.00000000,4657736.37000000
2021-11-27,2591.25000000,2709.00000000,2582.25000000,2637.00000000,6817533.23000000
2021-11-26,2961.00000000,2971.50000000,2525.25000000,2592.00000000,16596267.73000000
2021-11-25,2870.25000000,3069.75000000,2853.00000000,2960.25000000,7371944.97000000
2021-11-24,3057.00000000,3069.00000000,2853.00000000,2871.00000000,7264687.01000000
2021-11-23,2961.00000000,3110.25000000,2890.50000000,3058.50000000,6985881.02000000
2021-11-22,3146.25000000,3162.00000000,2910.00000000,2961.75000000,8474290.45000000
2021-11-21,3156.75000000,3267.00000000,3048.00000000,3145.50000000,6646315.92000000
2021-11-20,3092.25000000,3157.50000000,2987.25000000,3157.50000000,5821401.36000000
2021-11-19,2927.25000000,3171.00000000,2877.00000000,3093.00000000,8936329.85000000
2021-11-18,3206.25000000,3245.25000000,2814.75000000,2927.25000000,14653376.83000000
2021-11-17,3063.00000000,3208.50000000,2907.00000000,3206.25000000,11336082.44000000
2021-11-16,3358.50000000,3358.50000000,2857.50000000,3063.00000000,19699792.90000000
2021-11-15,3479.25000000,3559.50000000,3337.50000000,3357.75000000,6580865.03000000
2021-11-14,3530.25000000,3587.25000000,3376.50000000,3479.25000000,4667465.13000000
2021-11-13,3442.50000000,3566.25000000,3364.50000000,3530.25000000,6068714.10000000
2021-11-12,3558.00000000,3579.00000000,3303.00000000,3442.50000000,10700975.88000000
2021-11-11,3505.50000000,3708.00000000,3416.25000000,3558.00000000,9323684.55000000
2021-11-10,3809.25000000,3906.00000000,3187.50000000,3505.50000000,19625912.74000000
2021-11-09,4002.00000000,4004.25000000,3789.00000000,3808.50000000,10322506.13000000
2021-11-08,3916.50000000,4040.25000000,3872.25000000,4002.00000000,7797418.81000000
2021-11-07,3902.25000000,4014.75000000,3846.75000000,3916.50000000,7102199.25000000
2021-11-06,3881.25000000,3931.50000000,3675.00000000,3901.50000000,8114011.78000000
2021-11-05,4037.25000000,4044.75000000,3792.00000000,3882.00000000,8742278.80000000
2021-11-04,4001.25000000,4131.75000000,3912.00000000,4036.50000000,14091354.81800000
2021-11-03,3874.50000000,4090.50000000,3680.25000000,4000.50000000,17237167.47000000
2021-11-02,3748.50000000,4001.25000000,3600.75000000,3874.50000000,19822814.52800000
2021-11-01,3208.50000000,3867.75000000,3127.50000000,3748.50000000,23714028.21300000
2021-10-31,3204.75000000,3252.00000000,3075.75000000,3207.75000000,6375433.77000000
2021-10-30,3314.25000000,3323.25000000,3156.00000000,3204.75000000,5254551.32000000
2021-10-29,3136.50000000,3326.25000000,3117.00000000,3315.00000000,8788034.21000000
2021-10-28,3032.25000000,3234.00000000,2985.75000000,3136.50000000,11629300.38000000
2021-10-27,3369.75000000,3432.75000000,2902.50000000,3033.00000000,17560562.15000000
2021-10-26,3341.25000000,3450.00000000,3248.25000000,3369.75000000,9161833.46000000
2021-10-25,3172.50000000,3360.00000000,3158.25000000,3341.25000000,7291785.53000000
2021-10-24,3295.50000000,3312.75000000,3095.25000000,3173.25000000,7260724.06000000
2021-10-23,3262.50000000,3359.25000000,3231.00000000,3296.25000000,6138290.14000000
2021-10-22,3212.25000000,3479.25000000,3201.00000000,3263.25000000,16062749.38000000
2021-10-21,3330.75000000,3414.75000000,3143.25000000,3213.00000000,14782015.91600000
2021-10-20,3101.25000000,3391.50000000,3081.00000000,3331.50000000,13310248.05300000
2021-10-19,3087.00000000,3123.75000000,3000.75000000,3100.50000000,8843904.77000000
2021-10-18,3158.25000000,3243.75000000,3018.75000000,3087.75000000,10911226.84000000
2021-10-17,3130.50000000,3215.25000000,2964.00000000,3159.00000000,10386680.07000000
2021-10-16,3245.25000000,3358.50000000,3094.50000000,3131.25000000,13673173.22900000
2021-10-15,3051.75000000,3318.00000000,2958.75000000,3246.00000000,22085746.42600000
2021-10-14,3126.75000000,3190.50000000,2949.75000000,3053.25000000,20178003.61000000
2021-10-13,2637.00000000,3241.50000000,2517.75000000,3126.75000000,36492731.21300000
2021-10-12,2559.00000000,2657.25000000,2405.25000000,2637.75000000,13326459.40000000
2021-10-11,2581.50000000,2706.75000000,2493.75000000,2559.75000000,11467492.31000000
2021-10-10,2724.75000000,2808.75000000,2559.75000000,2582.25000000,13147574.66000000
2021-10-09,2502.00000000,2767.50000000,2475.00000000,2724.75000000,12546752.37000000
2021-10-08,2548.50000000,2586.75000000,2477.25000000,2501.25000000,11134583.44000000
2021-10-07,2414.25000000,2648.25000000,2319.75000000,2548.50000000,20356598.29000000
2021-10-06,2354.25000000,2481.75000000,2183.25000000,2414.25000000,14373589.09000000
2021-10-05,2336.25000000,2412.00000000,2289.00000000,2354.25000000,8537858.77000000
2021-10-04,2407.50000000,2408.25000000,2253.00000000,2336.25000000,9287969.05000000
2021-10-03,2400.75000000,2451.75000000,2337.75000000,2408.25000000,7871434.22000000
2021-10-02,2395.50000000,2504.25000000,2364.00000000,2400.75000000,8748363.88000000
2021-10-01,2145.75000000,2424.75000000,2137.50000000,2395.50000000,13176348.21000000
2021-09-30,2046.00000000,2174.25000000,2034.75000000,2146.50000000,8201551.44000000
2021-09-29,1973.25000000,2144.25000000,1958.25000000,2046.00000000,10207287.33000000
2021-09-28,2079.00000000,2128.50000000,1960.50000000,1973.25000000,9784154.53000000
2021-09-27,2163.00000000,2269.50000000,2062.50000000,2078.25000000,11094418.10000000
2021-09-26,2237.25000000,2254.50000000,2007.00000000,2163.00000000,18340714.24000000
2021-09-25,2309.25000000,2416.50000000,2205.75000000,2236.50000000,13368526.84000000
2021-09-24,2506.50000000,2515.50000000,2092.50000000,2309.25000000,28521525.89000000
2021-09-23,2368.50000000,2520.00000000,2277.75000000,2505.75000000,13516616.87000000
2021-09-22,1979.25000000,2400.00000000,1943.25000000,2370.00000000,18161430.28000000
2021-09-21,2123.25000000,2278.50000000,1912.50000000,1979.25000000,24316299.56000000
