Date,Open,High,Low,Close,Volume
2021-11-28,32272.50000000,33653.25000000,30900.75000000,31668.00000000,138256.70000000
2021-11-27,29858.25000000,33279.75000000,29647.50000000,32304.75000000,272492.50000000
2021-11-26,32965.50000000,33207.00000000,29142.00000000,29890.50000000,396704.74000000
2021-11-25,34232.25000000,35020.50000000,31800.00000000,32965.50000000,417419.85000000
2021-11-24,35202.75000000,37205.25000000,33045.00000000,34239.75000000,732820.61000000
2021-11-23,36811.50000000,40818.75000000,35093.25000000,35195.25000000,1090957.26420000
2021-11-22,31985.25000000,37087.50000000,30753.00000000,36824.25000000,1048184.54530000
2021-11-21,29420.25000000,33357.75000000,28522.50000000,31960.50000000,782320.60110000
2021-11-20,26046.75000000,29475.00000000,24961.50000000,29426.25000000,558255.40900000
2021-11-19,23130.00000000,27750.00000000,22650.00000000,26056.50000000,486345.59890000
2021-11-18,23239.50000000,24449.25000000,21957.75000000,23130.00000000,287806.72000000
2021-11-17,22736.25000000,23316.00000000,21525.00000000,23225.25000000,160828.83000000
2021-11-16,23614.50000000,23682.75000000,21330.00000000,22736.25000000,256618.34000000
2021-11-15,23985.75000000,24450.00000000,23343.75000000,23610.00000000,111680.56000000
2021-11-14,24143.25000000,24408.00000000,23400.00000000,23991.75000000,81479.38000000
2021-11-13,24429.75000000,24807.00000000,23931.75000000,24152.25000000,104781.21000000
2021-11-12,23802.00000000,24454.50000000,22814.25000000,24423.00000000,142583.10000000
2021-11-11,23465.25000000,25085.25000000,22492.50000000,23802.00000000,181146.42000000
2021-11-10,23768.25000000,25402.50000000,21588.00000000,23475.00000000,337425.86730000
2021-11-09,23183.25000000,24187.50000000,23131.50000000,23762.25000000,124539.43000000
2021-11-08,23691.75000000,23775.00000000,23048.25000000,23186.25000000,117792.73000000
2021-11-07,23718.00000000,24652.50000000,23502.00000000,23689.50000000,127488.69000000
2021-11-06,23670.75000000,23970.00000000,22738.50000000,23697.00000000,121444.95000000
2021-11-05,23862.75000000,24675.00000000,22800.75000000,23670.00000000,219066.92500000
2021-11-04,23072.25000000,24326.25000000,22305.00000000,23883.75000000,397942.88030000
2021-11-03,20418.75000000,23175.00000000,20197.50000000,23052.00000000,311916.34640000
2021-11-02,20183.25000000,20775.00000000,20046.00000000,20415.00000000,108746.35000000
2021-11-01,20334.00000000,20850.00000000,19428.75000000,20186.25000000,148959.21000000
2021-10-31,19490.25000000,20619.00000000,18842.25000000,20328.00000000,127362.42000000
2021-10-30,20217.75000000,20262.75000000,19215.00000000,19500.00000000,89404.64000000
2021-10-29,19270.50000000,20585.25000000,19097.25000000,20217.00000000,128503.23000000
2021-10-28,18442.50000000,21000.00000000,18279.00000000,19258.50000000,175860.01000000
2021-10-27,20472.75000000,20805.00000000,16843.50000000,18432.00000000,330632.29000000
2021-10-26,22125.75000000,22189.50000000,20163.00000000,20463.75000000,189779.17000000
2021-10-25,21261.75000000,22387.50000000,21178.50000000,22124.25000000,145047.45000000
2021-10-24,20338.50000000,22125.00000000,20232.00000000,21265.50000000,244686.26000000
2021-10-23,20596.50000000,21000.00000000,19967.25000000,20337.00000000,121426.17000000
2021-10-22,18698.25000000,20887.50000000,18647.25000000,20596.50000000,366334.01000000
2021-10-21,18003.75000000,19569.00000000,17871.75000000,18694.50000000,252548.07000000
2021-10-20,17220.75000000,18375.00000000,17067.00000000,18011.25000000,130867.04000000
2021-10-19,17272.50000000,17467.50000000,16845.00000000,17234.25000000,113832.16000000
2021-10-18,17712.75000000,17919.00000000,17063.25000000,17266.50000000,97492.32000000
2021-10-17,18086.25000000,18225.00000000,16920.00000000,17711.25000000,95576.87000000
2021-10-16,17791.50000000,18753.00000000,17738.25000000,18100.50000000,112862.09000000
2021-10-15,18164.25000000,18310.50000000,17550.00000000,17793.75000000,124838.88000000
2021-10-14,18147.00000000,18781.50000000,17932.50000000,18164.25000000,100381.78000000
2021-10-13,17711.25000000,18825.00000000,17439.00000000,18147.00000000,177802.61000000
2021-10-12,18604.50000000,18620.25000000,16505.25000000,17712.00000000,231554.55000000
2021-10-11,17985.00000000,20025.00000000,17638.50000000,18633.75000000,206999.97000000
2021-10-10,19427.25000000,19446.00000000,17812.50000000,18002.25000000,157596.78000000
2021-10-09,19342.50000000,20166.75000000,19051.50000000,19409.25000000,124681.26000000
2021-10-08,18226.50000000,20838.75000000,18172.50000000,19320.00000000,510104.65000000
2021-10-07,17289.00000000,18337.50000000,16860.00000000,18224.25000000,215240.36000000
2021-10-06,18353.25000000,18513.75000000,16612.50000000,17285.25000000,267917.86000000
2021-10-05,17997.75000000,19011.00000000,17755.50000000,18337.50000000,246986.14000000
2021-10-04,19071.00000000,19124.25000000,17625.00000000,17995.50000000,290409.53000000
2021-10-03,18380.25000000,19125.00000000,17895.00000000,19074.75000000,240999.57000000
2021-10-02,18130.50000000,19425.00000000,17437.50000000,18381.75000000,351683.92000000
2021-10-01,15751.50000000,18600.00000000,15408.75000000,18129.75000000,435999.09000000
2021-09-30,15235.50000000,15967.50000000,15042.00000000,15746.25000000,235723.97000000
2021-09-29,14989.50000000,16121.25000000,14705.25000000,15236.25000000,309945.31000000
2021-09-28,15922.50000000,16587.00000000,14925.00000000,15011.25000000,307366.08000000
2021-09-27,16745.25000000,17435.25000000,15770.25000000,15926.25000000,237241.95000000
2021-09-26,16362.00000000,17565.00000000,15022.50000000,16762.50000000,367267.19000000
2021-09-25,17844.00000000,17884.50000000,16165.50000000,16369.50000000,291057.26000000
2021-09-24,18399.75000000,18750.00000000,15990.00000000,17845.50000000,624105.83000000
2021-09-23,17254.50000000,19413.75000000,16641.75000000,18418.50000000,537927.28000000
2021-09-22,14982.75000000,17609.25000000,14453.25000000,17254.50000000,679085.33000000
2021-09-21,13919.25000000,17100.75000000,12869.25000000,14983.50000000,1003209.76000000
2021-09-20,16866.75000000,16945.50000000,13576.50000000,13915.50000000,791496.13000000
2021-09-19,18589.50000000,18722.25000000,16695.75000000,16860.75000000,216849.16000000
2021-09-18,18169.50000000,19030.50000000,17692.50000000,18589.50000000,229601.55000000
2021-09-17,19928.25000000,20841.00000000,17792.25000000,18153.00000000,338743.08000000
2021-09-16,19401.75000000,20392.50000000,18375.00000000,19941.75000000,457274.24000000
2021-09-15,21025.50000000,21390.75000000,19140.00000000,19409.25000000,396252.24000000
2021-09-14,19551.75000000,22727.25000000,19323.00000000,21024.75000000,673336.85560000
2021-09-13,19975.50000000,21704.25000000,18768.75000000,19566.75000000,973230.93000000
2021-09-12,17231.25000000,22185.00000000,16847.25000000,19983.00000000,1072269.04210000
2021-09-11,17696.25000000,18675.00000000,16563.00000000,17250.00000000,684305.45740000
2021-09-10,15055.50000000,18000.00000000,14609.25000000,17686.50000000,837761.38680000
2021-09-09,12929.25000000,16350.00000000,12664.50000000,15033.75000000,824601.42250000
2021-09-08,11902.50000000,13190.25000000,10317.00000000,12930.00000000,443871.02000000
2021-09-07,13503.75000000,13650.00000000,9975.00000000,11891.25000000,465533.82000000
2021-09-06,13219.50000000,14016.75000000,12992.25000000,13492.50000000,240688.67600000
2021-09-05,12874.50000000,13357.50000000,12584.25000000,13213.50000000,114677.01000000
2021-09-04,13101.00000000,13467.00000000,12811.50000000,12868.50000000,118306.53000000
2021-09-03,12906.00000000,13433.25000000,12539.25000000,13101.00000000,143792.43000000
2021-09-02,13215.00000000,13573.50000000,12838.50000000,12897.75000000,189941.60000000
2021-09-01,12683.25000000,13934.25000000,12581.25000000,13214.25000000,421128.53050000
2021-08-31,11849.25000000,12827.25000000,11506.50000000,12677.25000000,375579.38760000
2021-08-30,10578.75000000,12727.50000000,10443.00000000,11834.25000000,649299.21830000
2021-08-29,10557.75000000,10780.50000000,10143.75000000,10574.25000000,102080.91000000
2021-08-28,10568.25000000,10800.00000000,10342.50000000,10553.25000000,122765.04000000
2021-08-27,10095.00000000,10582.50000000,9627.00000000,10574.25000000,197890.85470000
2021-08-26,10422.00000000,10945.50000000,9960.00000000,10097.25000000,229395.05450000
2021-08-25,10290.75000000,10557.75000000,9863.25000000,10422.75000000,155473.54210000
2021-08-24,11175.00000000,11389.50000000,9976.50000000,10305.75000000,207235.66660000
2021-08-23,11145.75000000,11616.75000000,10914.75000000,11177.25000000,161194.44280000
2021-08-22,11169.75000000,11437.50000000,10574.25000000,11148.75000000,212228.58080000
2021-08-21,11692.50000000,11695.50000000,11085.00000000,11170.50000000,161132.97760000
2021-08-20,10961.25000000,11992.50000000,10726.50000000,11689.50000000,356094.78470000
2021-08-19,10991.25000000,11490.75000000,10301.25000000,10953.00000000,304819.26260000
2021-08-18,10503.75000000,11456.25000000,9627.00000000,10982.25000000,436126.99080000
2021-08-17,10208.25000000,11965.50000000,9912.00000000,10506.00000000,646369.65080000
2021-08-16,10246.50000000,10677.00000000,9907.50000000,10210.50000000,231822.18750000
2021-08-15,10284.75000000,10500.00000000,9834.75000000,10249.50000000,156355.32980000
2021-08-14,10362.75000000,10605.00000000,10093.50000000,10292.25000000,144906.20910000
2021-08-13,10062.75000000,10447.50000000,9860.25000000,10362.75000000,200100.53930000
2021-08-12,10137.00000000,10707.75000000,9273.75000000,10066.50000000,439009.85110000
2021-08-11,10461.75000000,10762.50000000,10007.25000000,10137.75000000,148586.18360000
2021-08-10,10067.25000000,10710.00000000,9934.50000000,10462.50000000,207375.13660000
2021-08-09,9406.50000000,10125.75000000,8883.00000000,10073.25000000,285328.93830000
2021-08-08,8842.50000000,9675.00000000,8607.75000000,9409.50000000,298485.88270000
2021-08-07,8673.75000000,9051.00000000,8550.00000000,8841.75000000,142639.94490000
