Date,Open,High,Low,Close,Volume
2021-11-28,292.27500000,293.62500000,279.07500000,284.85000000,4440454.80000000
2021-11-27,288.82500000,298.27500000,287.32500000,292.35000000,14378274.60000000
2021-11-26,318.90000000,320.02500000,282.22500000,288.90000000,29782044.80000000
2021-11-25,309.00000000,323.55000000,307.05000000,318.82500000,15019079.50000000
2021-11-24,317.40000000,319.50000000,300.37500000,309.00000000,16577868.40000000
2021-11-23,310.12500000,318.75000000,304.05000000,317.40000000,19767828.60000000
2021-11-22,318.30000000,321.52500000,303.90000000,310.05000000,19316813.50000000
2021-11-21,325.50000000,328.57500000,317.25000000,318.22500000,13647114.50000000
2021-11-20,321.60000000,326.17500000,312.75000000,325.57500000,13125947.80000000
2021-11-19,306.52500000,323.77500000,303.52500000,321.60000000,17197998.60000000
2021-11-18,327.67500000,333.30000000,295.12500000,306.52500000,30364138.50000000
2021-11-17,324.52500000,330.82500000,312.90000000,327.60000000,20470792.80000000
2021-11-16,360.60000000,360.75000000,305.55000000,324.52500000,38791692.90000000
2021-11-15,371.70000000,382.35000000,357.30000000,360.52500000,16281171.60000000
2021-11-14,375.67500000,381.67500000,362.25000000,371.77500000,14510762.50000000
2021-11-13,363.67500000,380.17500000,359.70000000,375.67500000,14628256.70000000
2021-11-12,369.07500000,382.87500000,349.95000000,363.67500000,26107040.30000000
2021-11-11,363.15000000,376.95000000,359.62500000,369.15000000,19002289.00000000
2021-11-10,390.67500000,408.00000000,339.00000000,363.07500000,50489248.50000000
2021-11-09,364.42500000,403.50000000,362.62500000,390.67500000,59359542.40000000
2021-11-08,344.85000000,366.60000000,343.50000000,364.42500000,20652512.90000000
2021-11-07,333.52500000,345.00000000,331.27500000,344.92500000,9720905.50000000
2021-11-06,337.65000000,341.02500000,316.50000000,333.45000000,14213765.90000000
2021-11-05,340.57500000,344.77500000,334.35000000,337.65000000,14024528.80000000
2021-11-04,353.10000000,356.62500000,332.40000000,340.65000000,16252097.60000000
2021-11-03,352.57500000,365.32500000,338.70000000,353.02500000,28218731.10000000
2021-11-02,347.70000000,359.55000000,343.20000000,352.57500000,14808000.50000000
2021-11-01,347.77500000,354.00000000,334.27500000,347.92500000,20145941.40000000
2021-10-31,336.00000000,357.97500000,333.22500000,347.77500000,23251890.90000000
2021-10-30,337.65000000,339.30000000,326.10000000,336.00000000,12769295.90000000
2021-10-29,330.07500000,340.65000000,328.05000000,337.65000000,13111625.60000000
2021-10-28,311.32500000,337.12500000,309.97500000,330.07500000,24985864.10000000
2021-10-27,353.70000000,358.05000000,288.75000000,311.17500000,40607807.00000000
2021-10-26,361.42500000,370.05000000,349.20000000,353.70000000,15429483.40000000
2021-10-25,355.80000000,363.75000000,353.40000000,361.35000000,12763816.10000000
2021-10-24,355.95000000,381.45000000,349.20000000,355.80000000,30399276.00000000
2021-10-23,345.97500000,357.75000000,343.50000000,356.02500000,10514736.00000000
2021-10-22,349.87500000,359.17500000,341.40000000,346.05000000,13932361.00000000
2021-10-21,361.87500000,371.10000000,344.62500000,349.95000000,25051048.60000000
2021-10-20,334.35000000,366.67500000,333.30000000,361.87500000,20887352.80000000
2021-10-19,331.50000000,338.85000000,327.30000000,334.42500000,12650710.60000000
2021-10-18,330.90000000,342.45000000,326.77500000,331.57500000,16999418.30000000
2021-10-17,342.75000000,345.00000000,316.35000000,330.90000000,15230531.40000000
2021-10-16,348.15000000,353.62500000,339.75000000,342.75000000,14738669.20000000
2021-10-15,346.65000000,355.20000000,333.15000000,348.22500000,28078076.20000000
2021-10-14,345.37500000,355.20000000,341.47500000,346.72500000,17639292.30000000
2021-10-13,336.90000000,345.90000000,327.90000000,345.30000000,19455515.80000000
2021-10-12,341.25000000,341.40000000,319.80000000,337.12500000,26667232.60000000
2021-10-11,343.12500000,356.92500000,332.32500000,341.25000000,20889970.00000000
2021-10-10,375.00000000,375.37500000,341.77500000,343.27500000,21944306.10000000
2021-10-09,348.67500000,380.02500000,345.75000000,375.00000000,25713708.50000000
2021-10-08,354.15000000,362.25000000,343.12500000,348.52500000,20709977.30000000
2021-10-07,356.17500000,363.07500000,341.32500000,354.15000000,25271697.40000000
2021-10-06,354.82500000,369.22500000,327.90000000,356.10000000,35779423.70000000
2021-10-05,344.55000000,359.25000000,341.02500000,354.75000000,24827362.90000000
2021-10-04,347.77500000,355.57500000,325.20000000,344.55000000,29861281.90000000
2021-10-03,324.00000000,364.72500000,316.72500000,347.77500000,32308855.20000000
2021-10-02,320.55000000,334.65000000,314.32500000,324.15000000,16433586.90000000
2021-10-01,295.35000000,321.75000000,293.02500000,320.62500000,25546810.90000000
2021-09-30,280.87500000,296.17500000,279.07500000,295.35000000,14072530.40000000
2021-09-29,276.15000000,290.17500000,272.70000000,280.87500000,14602456.40000000
2021-09-28,287.02500000,292.57500000,274.05000000,276.22500000,19207471.38000000
2021-09-27,297.67500000,308.40000000,286.72500000,287.17500000,20144158.50000000
2021-09-26,300.67500000,311.62500000,275.47500000,297.82500000,31792881.19000000
2021-09-25,302.10000000,307.27500000,292.72500000,300.82500000,17591135.60000000
2021-09-24,327.97500000,329.10000000,283.87500000,302.10000000,33853500.00000000
2021-09-23,322.42500000,329.17500000,314.40000000,328.05000000,18849293.90000000
2021-09-22,291.52500000,324.82500000,285.45000000,322.50000000,25447899.70000000
2021-09-21,315.15000000,323.25000000,283.87500000,291.45000000,42840173.92000000
2021-09-20,368.10000000,369.90000000,305.70000000,315.15000000,52772594.27000000
2021-09-19,410.10000000,412.95000000,364.20000000,368.17500000,24530825.90000000
2021-09-18,393.82500000,413.25000000,382.57500000,409.95000000,32809284.80000000
2021-09-17,376.20000000,414.00000000,371.10000000,393.82500000,50141724.70000000
2021-09-16,382.80000000,389.02500000,365.70000000,376.20000000,23139019.90000000
2021-09-15,364.72500000,386.70000000,357.75000000,382.72500000,23099748.80000000
2021-09-14,355.42500000,365.92500000,352.72500000,364.80000000,21272840.30000000
2021-09-13,365.92500000,371.17500000,336.30000000,355.57500000,35828237.10000000
2021-09-12,350.55000000,381.00000000,343.05000000,365.85000000,25603107.90000000
2021-09-11,342.37500000,359.10000000,341.02500000,350.55000000,17358531.00000000
2021-09-10,361.12500000,379.05000000,334.05000000,342.52500000,29959604.50000000
2021-09-09,355.80000000,371.47500000,349.12500000,361.12500000,32137823.70000000
2021-09-08,366.67500000,372.37500000,331.57500000,355.87500000,44544821.90000000
2021-09-07,466.20000000,469.27500000,319.57500000,366.52500000,83993277.50000000
2021-09-06,472.05000000,481.80000000,440.17500000,466.20000000,41343997.86000000
2021-09-05,426.90000000,474.75000000,413.32500000,472.05000000,44796093.93000000
2021-09-04,425.40000000,441.67500000,415.65000000,426.90000000,36202187.64000000
2021-09-03,394.12500000,430.65000000,384.45000000,425.32500000,35918476.99000000
2021-09-02,398.25000000,404.25000000,387.75000000,394.20000000,22117590.56000000
2021-09-01,377.70000000,399.75000000,367.80000000,398.40000000,22888889.70000000
2021-08-31,361.42500000,382.42500000,356.55000000,377.77500000,22327854.90000000
2021-08-30,379.42500000,380.77500000,359.85000000,361.50000000,15171797.80000000
2021-08-29,375.60000000,393.29250000,372.75000000,379.42500000,21113765.88000000
2021-08-28,381.75000000,382.80000000,365.62500000,375.60000000,15245359.41000000
2021-08-27,355.50000000,381.90750000,346.50000000,381.75000000,24504849.80000000
2021-08-26,390.57000000,395.71500000,348.75000000,355.50000000,29201730.43000000
2021-08-25,379.33500000,393.75000000,367.73250000,390.70500000,26365184.13000000
2021-08-24,419.46000000,426.90000000,366.66000000,379.37250000,36116074.22000000
2021-08-23,406.04250000,427.80000000,402.06000000,419.46000000,28113002.24000000
2021-08-22,401.52000000,415.84500000,390.23250000,406.06500000,21369984.16000000
2021-08-21,409.23750000,423.62250000,395.61000000,401.58750000,26318002.33000000
2021-08-20,394.15500000,410.73750000,388.94250000,409.20000000,22338375.62000000
2021-08-19,373.46250000,394.33500000,360.87750000,394.05750000,25039173.98000000
2021-08-18,379.65000000,388.29000000,354.58500000,373.50000000,31200586.13000000
2021-08-17,413.69250000,426.56250000,375.33750000,379.53000000,38526139.31000000
2021-08-16,426.98250000,445.50000000,408.43500000,413.77500000,37569857.42000000
2021-08-15,411.10500000,427.81500000,384.09750000,426.98250000,32565166.88000000
2021-08-14,386.93250000,416.36250000,378.00000000,411.04500000,44497220.88000000
2021-08-13,349.51500000,387.26250000,345.48750000,386.87250000,22510588.50000000
2021-08-12,356.28750000,381.73500000,340.32000000,349.41000000,32495735.94000000
2021-08-11,344.71500000,373.12500000,344.02500000,356.25000000,28345889.78000000
2021-08-10,339.92250000,354.00000000,330.07500000,344.79750000,21691565.56000000
2021-08-09,322.08750000,342.42750000,311.94750000,339.92250000,21594914.53000000
2021-08-08,344.39250000,349.85250000,317.08500000,322.11000000,23641646.78000000
2021-08-07,323.94750000,348.57750000,321.01500000,344.39250000,28826892.38000000
2021-08-06,314.09250000,326.40750000,307.63500000,323.93250000,23041228.73000000
2021-08-05,308.53500000,316.11750000,295.64250000,314.07000000,21476970.70000000
2021-08-04,301.83000000,311.51250000,294.40500000,308.56500000,14852637.52000000
2021-08-03,301.95750000,307.20750000,289.99500000,301.83750000,15676816.82000000
2021-08-02,295.35000000,311.89500000,291.65250000,302.02500000,18508656.81000000
2021-08-01,305.07000000,317.50500000,288.76500000,295.60500000,24901887.74000000
2021-07-31,304.97250000,315.75000000,300.05250000,305.10000000,23193026.08000000
2021-07-30,297.48750000,305.73750000,283.52250000,305.13000000,17389367.22000000
2021-07-29,293.97750000,299.01000000,285.19500000,297.50250000,14221280.62000000
2021-07-28,281.69250000,301.34250000,276.16500000,293.96250000,29423914.89000000
2021-07-27,275.97750000,284.21250000,270.03000000,281.67000000,19660424.16000000
2021-07-26,274.38000000,299.95500000,272.25000000,275.96250000,32958487.05000000
2021-07-25,275.01000000,277.21500000,265.98750000,274.40250000,13735733.16000000
2021-07-24,272.61000000,280.50000000,271.03500000,275.05500000,14909187.23000000
2021-07-23,267.36750000,274.72500000,259.11000000,272.55750000,13940282.75000000
2021-07-22,262.70250000,268.50000000,256.65750000,267.35250000,18133612.16000000
2021-07-21,244.47750000,267.82500000,240.60000000,262.69500000,25471757.42000000
2021-07-20,257.73750000,265.90500000,236.41500000,244.47000000,20408294.90000000
2021-07-19,272.73750000,276.30750000,255.14250000,257.77500000,15850330.78000000
2021-07-18,274.30500000,283.10250000,266.66250000,272.64750000,10740097.12000000
2021-07-17,274.02000000,283.47000000,268.57500000,274.21500000,18956126.91000000
2021-07-16,275.30250000,287.88750000,264.75750000,273.96750000,19626663.37000000
2021-07-15,284.80500000,293.91750000,266.66250000,275.30250000,15566205.81000000
2021-07-14,291.71250000,294.62250000,269.29500000,284.87250000,20869223.41000000
2021-07-13,314.02500000,316.04250000,283.99500000,291.81750000,25083974.82000000
2021-07-12,305.81250000,328.39500000,303.09750000,314.04750000,38217590.79000000
2021-07-11,297.42000000,313.32750000,287.50500000,305.74500000,22936376.52000000
2021-07-10,316.31250000,331.50000000,290.42250000,297.24750000,39271615.66000000
2021-07-09,269.69250000,323.49750000,259.16250000,316.30500000,49803432.92000000
2021-07-08,286.83750000,288.00000000,264.34500000,269.69250000,16308329.05000000
2021-07-07,290.82750000,298.47000000,286.07250000,286.86750000,10925537.03000000
2021-07-06,285.75750000,300.41250000,283.69500000,290.82000000,14528435.95000000
2021-07-05,304.54500000,304.56750000,281.93250000,285.75750000,14667457.05000000
