Date,Open,High,Low,Close,Volume
2021-11-28,3507.75000000,3517.50000000,3376.50000000,3452.25000000,338673.64000000
2021-11-27,3499.50000000,3578.25000000,3478.50000000,3508.50000000,652336.49000000
2021-11-26,3792.00000000,3801.00000000,3352.50000000,3500.25000000,2557480.04000000
2021-11-25,3620.25000000,4011.75000000,3591.00000000,3791.25000000,2355110.97000000
2021-11-24,3716.25000000,3732.75000000,3534.00000000,3621.00000000,1018732.84000000
2021-11-23,3643.50000000,3740.25000000,3588.75000000,3716.25000000,1051039.58000000
2021-11-22,3782.25000000,3787.50000000,3578.25000000,3644.25000000,1266488.48000000
2021-11-21,3830.25000000,3884.25000000,3742.50000000,3780.75000000,866473.51000000
2021-11-20,3798.75000000,3850.50000000,3679.50000000,3829.50000000,906967.69000000
2021-11-19,3631.50000000,3813.00000000,3584.25000000,3799.50000000,1218420.07000000
2021-11-18,3843.00000000,3883.50000000,3510.00000000,3632.25000000,1827745.32000000
2021-11-17,3809.25000000,3860.25000000,3682.50000000,3843.00000000,1218092.86000000
2021-11-16,4109.25000000,4111.50000000,3544.50000000,3811.50000000,3747689.80000000
2021-11-15,4209.75000000,4254.75000000,4063.50000000,4110.75000000,954835.65000000
2021-11-14,4221.75000000,4267.50000000,4107.00000000,4209.00000000,771441.77000000
2021-11-13,4161.75000000,4247.25000000,4109.25000000,4221.75000000,1174141.13000000
2021-11-12,4254.00000000,4335.00000000,4023.75000000,4162.50000000,1879920.66000000
2021-11-11,4246.50000000,4353.75000000,4150.50000000,4255.50000000,1851721.06000000
2021-11-10,4564.50000000,4832.25000000,3900.00000000,4247.25000000,6760805.84000000
2021-11-09,4245.75000000,4898.25000000,4183.50000000,4563.75000000,9080376.50000000
2021-11-08,4056.00000000,4261.50000000,4031.25000000,4244.25000000,1687797.81000000
2021-11-07,3966.00000000,4090.50000000,3938.25000000,4056.00000000,795735.25000000
2021-11-06,3984.00000000,4014.00000000,3795.00000000,3966.00000000,739182.50000000
2021-11-05,4023.00000000,4056.00000000,3938.25000000,3984.00000000,972068.05000000
2021-11-04,4162.50000000,4218.00000000,3936.00000000,4023.75000000,1223614.26000000
2021-11-03,4142.25000000,4287.00000000,3990.75000000,4161.00000000,1833525.65000000
2021-11-02,4038.75000000,4185.00000000,3993.00000000,4140.75000000,1049694.10000000
2021-11-01,4078.50000000,4137.00000000,3918.75000000,4041.00000000,1340156.08000000
2021-10-31,3970.50000000,4409.25000000,3908.25000000,4077.75000000,4020562.27000000
2021-10-30,4045.50000000,4050.00000000,3867.75000000,3971.25000000,922243.84000000
2021-10-29,3914.25000000,4057.50000000,3878.25000000,4045.50000000,1245104.83000000
2021-10-28,3653.25000000,3951.00000000,3622.50000000,3913.50000000,2143842.37000000
2021-10-27,4065.75000000,4149.00000000,3161.25000000,3653.25000000,4032261.71100000
2021-10-26,4156.50000000,4215.00000000,4020.75000000,4065.00000000,1202939.48000000
2021-10-25,4121.25000000,4227.75000000,4098.00000000,4156.50000000,1009150.14000000
2021-10-24,4191.00000000,4204.50000000,4016.25000000,4120.50000000,842500.02000000
2021-10-23,4089.75000000,4206.75000000,4038.00000000,4191.00000000,891081.54000000
2021-10-22,4152.00000000,4275.00000000,4017.00000000,4091.25000000,1608125.29000000
2021-10-21,4168.50000000,4500.00000000,4145.25000000,4151.25000000,2831849.60000000
2021-10-20,3966.00000000,4185.00000000,3917.25000000,4169.25000000,1159437.25000000
2021-10-19,3932.25000000,4012.50000000,3885.75000000,3965.25000000,759794.44000000
2021-10-18,3982.50000000,4034.25000000,3883.50000000,3932.25000000,959572.50000000
2021-10-17,4059.00000000,4102.50000000,3770.25000000,3983.25000000,1004022.24000000
2021-10-16,4072.50000000,4153.50000000,4011.75000000,4059.00000000,1001651.01000000
2021-10-15,4087.50000000,4272.00000000,3935.25000000,4072.50000000,2277895.76000000
2021-10-14,4007.25000000,4123.50000000,3975.00000000,4087.50000000,1150082.98000000
2021-10-13,3954.75000000,4019.25000000,3850.50000000,4007.25000000,1055534.59000000
2021-10-12,4044.75000000,4044.75000000,3812.25000000,3954.75000000,1244896.80000000
2021-10-11,3962.25000000,4151.25000000,3904.50000000,4044.75000000,1066608.74000000
2021-10-10,4173.00000000,4227.00000000,3944.25000000,3963.00000000,1187198.53000000
2021-10-09,4026.75000000,4308.75000000,3989.25000000,4172.25000000,1775526.18000000
2021-10-08,4077.00000000,4134.75000000,3981.00000000,4026.00000000,1310372.68000000
2021-10-07,4112.25000000,4184.25000000,3984.00000000,4075.50000000,1998640.43000000
2021-10-06,4077.75000000,4205.25000000,3825.75000000,4112.25000000,2371514.22000000
2021-10-05,3944.25000000,4115.25000000,3919.50000000,4077.00000000,1554697.47000000
2021-10-04,4026.75000000,4035.00000000,3783.00000000,3943.50000000,1615196.84000000
2021-10-03,3987.00000000,4127.25000000,3885.75000000,4026.00000000,1591970.64000000
2021-10-02,3892.50000000,4141.50000000,3834.75000000,3987.75000000,2166890.99000000
2021-10-01,3527.25000000,3942.75000000,3495.00000000,3892.50000000,2390780.29000000
2021-09-30,3412.50000000,3546.75000000,3395.25000000,3525.75000000,1126321.30000000
2021-09-29,3374.25000000,3513.75000000,3342.75000000,3414.00000000,1235908.55000000
2021-09-28,3401.25000000,3657.00000000,3358.50000000,3374.25000000,1938745.91000000
2021-09-27,3539.25000000,3630.00000000,3396.00000000,3402.75000000,1148693.78000000
2021-09-26,3548.25000000,3622.50000000,3297.75000000,3539.25000000,1606934.44800000
2021-09-25,3573.00000000,3723.00000000,3462.00000000,3550.50000000,1364206.72000000
2021-09-24,3848.25000000,3891.00000000,3305.25000000,3573.00000000,2387824.91200000
2021-09-23,3842.25000000,3867.00000000,3704.25000000,3848.25000000,1062347.99000000
2021-09-22,3435.75000000,3848.25000000,3366.00000000,3844.50000000,1449635.34000000
2021-09-21,3682.50000000,3780.75000000,3351.75000000,3435.75000000,2102363.21800000
2021-09-20,4149.75000000,4157.25000000,3537.75000000,3683.25000000,2594457.87100000
2021-09-19,4289.25000000,4294.50000000,4106.25000000,4149.75000000,753689.61000000
2021-09-18,4251.75000000,4380.75000000,4176.75000000,4289.25000000,855410.11000000
2021-09-17,4350.00000000,4433.25000000,4200.75000000,4252.50000000,1088285.41000000
2021-09-16,4440.00000000,4506.00000000,4259.25000000,4349.25000000,1330568.06000000
2021-09-15,4285.50000000,4451.25000000,4221.00000000,4438.50000000,1183757.02000000
2021-09-14,4180.50000000,4300.50000000,4134.00000000,4285.50000000,956570.32000000
2021-09-13,4355.25000000,4379.25000000,4007.25000000,4179.00000000,1492118.37000000
2021-09-12,4280.25000000,4423.50000000,4205.25000000,4355.25000000,944806.77000000
2021-09-11,4221.75000000,4375.50000000,4167.00000000,4281.00000000,970375.52000000
2021-09-10,4419.75000000,4532.25000000,4110.75000000,4223.25000000,1672182.99000000
2021-09-09,4405.50000000,4533.00000000,4299.75000000,4419.00000000,1999265.33000000
2021-09-08,4454.25000000,4609.50000000,3995.25000000,4403.25000000,4876891.72000000
2021-09-07,5511.00000000,5538.75000000,3572.25000000,4452.00000000,8654965.39500000
2021-09-06,5514.00000000,5802.00000000,5327.25000000,5511.00000000,3632761.27800000
2021-09-05,5160.75000000,5547.00000000,5099.25000000,5515.50000000,2909541.57500000
2021-09-04,5248.50000000,5345.25000000,5097.75000000,5160.75000000,2042558.42000000
2021-09-03,5071.50000000,5433.00000000,4952.25000000,5248.50000000,3425687.84200000
2021-09-02,5155.50000000,5266.57500000,4982.25000000,5070.75000000,2265716.48700000
2021-09-01,4785.00000000,5175.00000000,4660.50000000,5156.25000000,3120544.15300000
2021-08-31,4636.50000000,4875.00000000,4540.50000000,4785.00000000,1990487.98000000
2021-08-30,4743.00000000,4872.00000000,4575.00000000,4637.25000000,1705186.72000000
2021-08-29,4815.00000000,4932.00000000,4710.00000000,4742.25000000,1309403.65000000
2021-08-28,4809.00000000,4998.00000000,4709.25000000,4814.25000000,1923644.21200000
