Date,Open,High,Low,Close,Volume
2021-11-28,307146.75000000,307213.50000000,298256.25000000,305117.25000000,110946.56600000
2021-11-27,303090.00000000,313774.50000000,302125.50000000,307146.75000000,275326.52020000
2021-11-26,339336.00000000,341325.00000000,293475.00000000,303090.00000000,720245.16120000
2021-11-25,320257.50000000,341250.00000000,318620.25000000,339363.75000000,445868.24340000
2021-11-24,325458.75000000,328045.50000000,312573.75000000,320202.00000000,448727.03060000
2021-11-23,306471.00000000,328919.25000000,304471.50000000,325458.00000000,502811.79020000
2021-11-22,319477.50000000,324000.00000000,301705.50000000,306447.75000000,518501.33380000
2021-11-21,330912.75000000,333825.00000000,318180.75000000,319373.25000000,340206.32030000
2021-11-20,322106.25000000,332691.00000000,314989.50000000,330912.75000000,365584.57800000
2021-11-19,299767.50000000,323172.75000000,297975.75000000,322107.00000000,420045.08970000
2021-11-18,321605.25000000,325860.75000000,296733.00000000,299767.50000000,576945.18370000
2021-11-17,315719.25000000,322493.25000000,304761.00000000,321585.00000000,472852.18420000
2021-11-16,342282.75000000,342282.75000000,307725.00000000,315732.00000000,735857.06300000
2021-11-15,346987.50000000,357900.75000000,340500.00000000,342283.50000000,375421.66010000
2021-11-14,348320.25000000,352203.75000000,338559.00000000,346987.50000000,245309.06740000
2021-11-13,349910.25000000,353070.00000000,343806.00000000,348321.00000000,220720.66110000
2021-11-12,353925.00000000,360728.25000000,338088.75000000,349909.50000000,461580.04150000
2021-11-11,347151.00000000,358425.00000000,343235.25000000,353925.00000000,303688.97650000
2021-11-10,354924.75000000,365100.00000000,334644.75000000,347158.50000000,553596.99163000
2021-11-09,360598.50000000,362871.00000000,353541.75000000,354924.75000000,311267.57998000
2021-11-08,345944.25000000,361722.75000000,345900.00000000,360598.50000000,391102.31806000
2021-11-07,338850.00000000,347848.50000000,337677.75000000,345944.25000000,243596.59520000
2021-11-06,335568.00000000,339750.00000000,324462.75000000,338850.00000000,322154.09730000
2021-11-05,339923.25000000,342753.75000000,332910.00000000,335568.00000000,305651.72440000
2021-11-04,345251.25000000,345498.75000000,331506.00000000,339924.00000000,368218.25695000
2021-11-03,344226.00000000,349940.25000000,334125.00000000,345251.25000000,448658.35125000
2021-11-02,323957.25000000,344970.00000000,321332.25000000,344241.75000000,468184.79301000
2021-11-01,321561.00000000,328993.50000000,310972.50000000,323957.25000000,417620.70730000
2021-10-31,324201.00000000,329935.50000000,312326.25000000,321540.75000000,412856.28930000
2021-10-30,331416.75000000,332554.50000000,317415.00000000,324201.00000000,340223.06900000
2021-10-29,321450.75000000,334535.25000000,319947.75000000,331416.75000000,559231.07691000
2021-10-28,294149.25000000,322125.00000000,291762.75000000,321451.50000000,626378.50550000
2021-10-27,309864.00000000,323025.00000000,293175.00000000,294150.00000000,704604.25000000
2021-10-26,316527.00000000,322275.00000000,306765.75000000,309864.00000000,414498.15990000
2021-10-25,306174.75000000,317700.00000000,305078.25000000,316527.75000000,347438.65340000
2021-10-24,312534.75000000,313992.75000000,297112.50000000,306174.75000000,350115.83860000
2021-10-23,297914.25000000,312900.00000000,295313.25000000,312534.00000000,326576.96010000
2021-10-22,303975.00000000,312555.75000000,291600.00000000,297915.00000000,463222.54280000
2021-10-21,312102.75000000,328125.00000000,300984.75000000,303974.25000000,798566.55805000
2021-10-20,290773.50000000,312675.00000000,287103.75000000,312086.25000000,537383.09732000
2021-10-19,280872.00000000,291516.75000000,279900.00000000,290777.25000000,341268.37230000
2021-10-18,288525.00000000,291985.50000000,275700.00000000,280872.00000000,401819.97340000
2021-10-17,287247.00000000,293939.25000000,273000.00000000,288513.75000000,368898.98310000
2021-10-16,290128.50000000,297825.00000000,285267.00000000,287247.00000000,373727.85490000
2021-10-15,284311.50000000,293082.75000000,280057.50000000,290174.25000000,504321.73200000
2021-10-14,270555.75000000,286800.00000000,268953.00000000,284311.50000000,481894.14730000
2021-10-13,261857.25000000,270975.00000000,255952.50000000,270556.50000000,393463.12220000
2021-10-12,265659.00000000,266033.25000000,255240.75000000,261859.50000000,409377.19180000
2021-10-11,256066.50000000,271785.00000000,252825.00000000,265659.00000000,493521.88200000
2021-10-10,268112.25000000,270300.00000000,255375.00000000,256066.50000000,580223.63020000
2021-10-09,267234.75000000,272625.00000000,265355.25000000,268111.50000000,361906.75140000
2021-10-08,269060.25000000,277125.00000000,264900.00000000,267234.75000000,403597.14370000
2021-10-07,268116.00000000,274048.50000000,260310.00000000,269060.25000000,486102.35910000
2021-10-06,263661.00000000,272408.25000000,250650.00000000,268116.75000000,618265.54020000
2021-10-05,253973.25000000,265875.00000000,252283.50000000,263645.25000000,393900.88180000
2021-10-04,256329.75000000,257789.25000000,245250.00000000,253973.25000000,485204.64200000
2021-10-03,254082.75000000,261600.00000000,250688.25000000,256329.75000000,360586.89050000
2021-10-02,248243.25000000,260175.00000000,244275.00000000,254082.00000000,422551.18110000
2021-10-01,225046.50000000,249750.00000000,222680.25000000,248243.25000000,648714.61510000
2021-09-30,213783.75000000,228631.50000000,212789.25000000,225045.75000000,506896.76120000
2021-09-29,210386.25000000,221250.00000000,208650.00000000,213783.75000000,411305.08930000
2021-09-28,219357.00000000,222811.50000000,209175.00000000,210368.25000000,511325.46430000
2021-09-27,229452.00000000,237370.50000000,219203.25000000,219419.25000000,510130.73190000
2021-09-26,219138.00000000,233663.25000000,205362.75000000,229452.75000000,703594.47800000
2021-09-25,219616.50000000,222564.00000000,210117.75000000,219129.75000000,491974.02260000
2021-09-24,236430.75000000,236889.00000000,204975.00000000,219639.75000000,932090.88560000
2021-09-23,230769.00000000,238087.50000000,227538.75000000,236437.50000000,459293.88580000
2021-09-22,207504.00000000,231666.00000000,205315.50000000,230769.00000000,677457.64825000
2021-09-21,223299.00000000,232937.25000000,198900.00000000,207442.50000000,971519.88941000
2021-09-20,249642.75000000,251086.50000000,218504.25000000,223296.00000000,917939.57849000
2021-09-19,257673.00000000,259239.75000000,245830.50000000,249646.50000000,312948.00130000
2021-09-18,254991.75000000,265647.00000000,252666.00000000,257673.00000000,315162.76270000
2021-09-17,267597.75000000,269562.75000000,251255.25000000,254985.75000000,398888.37050000
2021-09-16,271016.25000000,275721.00000000,261085.50000000,267598.50000000,467985.49190000
2021-09-15,257577.75000000,271212.00000000,251833.50000000,271016.25000000,428507.52780000
2021-09-14,246381.75000000,257778.75000000,245246.25000000,257577.75000000,373634.90260000
2021-09-13,255322.50000000,257272.50000000,233136.75000000,246401.25000000,647855.71990000
2021-09-12,245032.50000000,260562.00000000,242332.50000000,255315.75000000,408858.95950000
2021-09-11,240663.75000000,251127.75000000,240000.00000000,245040.75000000,413524.17610000
2021-09-10,256870.50000000,263558.25000000,236250.00000000,240664.50000000,633026.26590000
2021-09-09,262425.75000000,267529.50000000,254280.00000000,256869.75000000,628553.88310000
2021-09-08,257613.00000000,267000.00000000,241137.00000000,262425.00000000,780611.76570000
2021-09-07,294500.25000000,296036.25000000,225375.00000000,257592.75000000,1203536.00209000
2021-09-06,296271.00000000,297750.00000000,289822.50000000,294507.75000000,397768.57830000
2021-09-05,291420.75000000,298500.00000000,287250.00000000,296271.75000000,365759.85970000
2021-09-04,295358.25000000,297750.00000000,287437.50000000,291414.00000000,364478.11930000
2021-09-03,283936.50000000,302091.00000000,277878.75000000,295358.25000000,655903.75739000
2021-09-02,287011.50000000,287760.00000000,278778.00000000,283936.50000000,525165.79960000
2021-09-01,257189.25000000,288150.00000000,253666.50000000,287011.50000000,845759.95868000
2021-08-31,242185.50000000,260700.00000000,239157.75000000,257190.00000000,863071.13092000
2021-08-30,241760.25000000,251096.25000000,235725.00000000,242223.00000000,625347.27541000
2021-08-29,243356.25000000,246375.00000000,236425.50000000,241760.25000000,335806.78270000
2021-08-28,245541.75000000,246525.00000000,240773.25000000,243336.00000000,262360.34921000
2021-08-27,231979.50000000,246000.00000000,229513.50000000,245508.75000000,451027.80711000
2021-08-26,242016.00000000,243750.00000000,228997.50000000,231990.00000000,442298.47372000
2021-08-25,237797.25000000,243600.00000000,231000.00000000,242015.25000000,483697.69444000
2021-08-24,249096.00000000,251838.75000000,236048.25000000,237796.50000000,540480.07853000
2021-08-23,242850.00000000,253341.75000000,242251.50000000,249096.00000000,602103.44614000
2021-08-22,241752.00000000,245400.00000000,234481.50000000,242850.00000000,406479.07654000
2021-08-21,246360.75000000,248187.00000000,240525.00000000,241757.25000000,421156.09084000
2021-08-20,238808.25000000,247500.00000000,238287.00000000,246361.50000000,558127.45540000
2021-08-19,226063.50000000,239100.00000000,221874.75000000,238809.00000000,634769.92174000
2021-08-18,225879.75000000,234435.75000000,221250.00000000,226091.25000000,625103.25568000
2021-08-17,236038.50000000,246750.00000000,224391.75000000,225879.00000000,804996.06971000
2021-08-16,248051.25000000,250125.00000000,235141.50000000,235989.75000000,635667.05422000
2021-08-15,244737.00000000,249000.00000000,233334.75000000,248031.75000000,565579.67765000
2021-08-14,249174.75000000,249823.50000000,240000.00000000,244737.00000000,486102.53787000
2021-08-13,228458.25000000,249587.25000000,227535.00000000,249174.00000000,579333.40323000
2021-08-12,237030.00000000,242925.00000000,223446.75000000,228447.00000000,737628.45808000
2021-08-11,235585.50000000,245550.00000000,234020.25000000,237037.50000000,732546.60433000
2021-08-10,237038.25000000,242475.00000000,228841.50000000,235624.50000000,880675.74443000
2021-08-09,225888.00000000,238950.00000000,216992.25000000,237039.00000000,1129584.61614000
2021-08-08,237036.00000000,239249.25000000,221177.25000000,225888.75000000,966349.70579000
2021-08-07,216865.50000000,237825.00000000,214912.50000000,237023.25000000,1205277.10095000
2021-08-06,212025.75000000,221006.25000000,204004.50000000,216868.50000000,825399.48637000
2021-08-05,204341.25000000,213298.50000000,189743.25000000,212024.25000000,1307720.20654000
2021-08-04,188138.25000000,207953.25000000,184326.00000000,204358.50000000,954590.75360000
2021-08-03,195519.00000000,197433.00000000,183174.00000000,188178.00000000,792960.84375000
2021-08-02,191662.50000000,199950.00000000,188025.00000000,195519.75000000,726701.84952000
