Date,Open,High,Low,Close,Volume
2021-11-28,4330.50000000,4336.50000000,4050.00000000,4145.25000000,2601806.58000000
2021-11-27,3960.00000000,4461.00000000,3942.75000000,4329.75000000,6964536.33000000
2021-11-26,4152.75000000,4461.75000000,3840.00000000,3960.00000000,10313927.01000000
2021-11-25,3796.50000000,4203.75000000,3735.00000000,4152.00000000,4916686.36000000
2021-11-24,3879.75000000,3893.25000000,3646.50000000,3796.50000000,3405895.93000000
2021-11-23,3882.00000000,3909.75000000,3775.50000000,3879.75000000,3303185.78000000
2021-11-22,3987.00000000,4005.75000000,3853.50000000,3882.00000000,4187954.11000000
2021-11-21,4080.00000000,4087.50000000,3975.00000000,3986.25000000,2650407.44000000
2021-11-20,4029.75000000,4142.25000000,3916.50000000,4079.25000000,3050125.30000000
2021-11-19,3878.25000000,4086.00000000,3834.75000000,4029.75000000,4362909.14000000
2021-11-18,4209.75000000,4365.00000000,3639.75000000,3878.25000000,11467744.61330000
2021-11-17,4212.00000000,4262.25000000,4056.00000000,4210.50000000,5019620.79000000
2021-11-16,4570.50000000,4570.50000000,3900.00000000,4211.25000000,9225266.02000000
2021-11-15,4690.50000000,4756.50000000,4512.75000000,4570.50000000,2662947.96000000
2021-11-14,4719.00000000,4761.75000000,4576.50000000,4691.25000000,2055033.90000000
2021-11-13,4716.75000000,4775.25000000,4667.25000000,4719.00000000,2014458.68000000
2021-11-12,4707.00000000,4912.50000000,4583.25000000,4717.50000000,4427610.06000000
2021-11-11,4759.50000000,4837.50000000,4629.75000000,4707.00000000,3213415.05000000
2021-11-10,5003.25000000,5223.00000000,4389.75000000,4759.50000000,7646788.90000000
2021-11-09,4818.75000000,5188.50000000,4761.00000000,5002.50000000,6527662.11000000
2021-11-08,4692.00000000,4867.50000000,4670.25000000,4819.50000000,3303467.72000000
2021-11-07,4642.50000000,4695.75000000,4583.25000000,4692.00000000,2390899.10000000
2021-11-06,4761.75000000,4776.00000000,4350.00000000,4641.75000000,4288703.26000000
2021-11-05,4683.75000000,4830.00000000,4597.50000000,4761.00000000,2921355.03000000
2021-11-04,4800.75000000,4836.75000000,4582.50000000,4683.75000000,2315593.53000000
2021-11-03,4847.25000000,4942.50000000,4612.50000000,4800.75000000,3618156.51000000
2021-11-02,4791.75000000,4984.50000000,4758.00000000,4847.25000000,2853130.66000000
2021-11-01,4830.75000000,4837.50000000,4545.00000000,4791.00000000,2488354.00000000
2021-10-31,4611.00000000,5007.00000000,4442.25000000,4830.00000000,5987084.24000000
2021-10-30,4511.25000000,4611.00000000,4305.00000000,4611.00000000,1623051.07000000
2021-10-29,4360.50000000,4718.25000000,4338.75000000,4515.00000000,2719059.42000000
2021-10-28,4156.50000000,4441.50000000,4096.50000000,4360.50000000,4546373.77000000
2021-10-27,4712.25000000,4741.50000000,3900.00000000,4156.50000000,7414423.98000000
2021-10-26,4794.75000000,4891.50000000,4654.50000000,4712.25000000,2920861.71000000
2021-10-25,4695.00000000,4903.50000000,4672.50000000,4795.50000000,2338102.51000000
2021-10-24,4860.00000000,4882.50000000,4592.25000000,4694.25000000,3966003.08000000
2021-10-23,4946.25000000,4980.00000000,4796.25000000,4860.75000000,1699053.21000000
2021-10-22,4772.25000000,5021.25000000,4770.75000000,4946.25000000,3112564.07000000
2021-10-21,5029.50000000,5112.00000000,4750.50000000,4772.25000000,3631263.83000000
2021-10-20,4720.50000000,5115.00000000,4686.75000000,5029.50000000,3416330.81000000
2021-10-19,4758.75000000,4807.50000000,4650.00000000,4720.50000000,1965416.75000000
2021-10-18,4789.50000000,4880.25000000,4603.50000000,4759.50000000,2912700.13000000
2021-10-17,4989.00000000,5034.00000000,4575.00000000,4789.50000000,3186103.93000000
2021-10-16,5049.00000000,5191.50000000,4957.50000000,4989.00000000,2137734.09000000
2021-10-15,5279.25000000,5280.00000000,4880.25000000,5049.75000000,4707506.11000000
2021-10-14,5124.00000000,5392.50000000,5040.00000000,5278.50000000,4019846.41000000
2021-10-13,5235.75000000,5306.25000000,4552.50000000,5123.25000000,6934760.74000000
2021-10-12,5511.00000000,5512.50000000,4959.75000000,5235.00000000,4776709.70000000
2021-10-11,5236.50000000,5611.50000000,5175.00000000,5510.25000000,4551778.21000000
2021-10-10,5775.75000000,5781.00000000,5181.00000000,5235.75000000,3681308.56000000
2021-10-09,5965.50000000,6048.00000000,5652.75000000,5775.75000000,3958211.78000000
2021-10-08,5360.25000000,6091.50000000,5293.50000000,5965.50000000,6879351.03000000
2021-10-07,5382.00000000,5573.25000000,5170.50000000,5359.50000000,4617739.46000000
2021-10-06,5317.50000000,5614.50000000,4996.50000000,5381.25000000,5421184.17000000
2021-10-05,5232.75000000,5473.50000000,5136.00000000,5316.75000000,4170035.71000000
2021-10-04,5182.50000000,5298.00000000,4924.50000000,5232.00000000,4726949.41000000
2021-10-03,5224.50000000,5313.75000000,5072.25000000,5183.25000000,4228554.53000000
2021-10-02,5360.25000000,5548.50000000,5124.75000000,5224.50000000,5690046.85000000
2021-10-01,4503.75000000,5504.25000000,4470.75000000,5360.25000000,5594246.25940000
2021-09-30,4275.00000000,4590.75000000,4262.25000000,4503.00000000,3364207.82000000
2021-09-29,4146.75000000,4388.25000000,4141.50000000,4275.00000000,3708359.18000000
2021-09-28,4423.50000000,4467.75000000,4130.25000000,4147.50000000,5629628.67000000
2021-09-27,4183.50000000,4720.50000000,4103.25000000,4423.50000000,9074696.80000000
2021-09-26,4529.25000000,4548.00000000,3750.00000000,4182.75000000,13709913.63120000
2021-09-25,4749.00000000,4791.75000000,4408.50000000,4530.00000000,6263245.06730000
