Date,Open,High,Low,Close,Volume
2021-11-28,1.46025000,1.49250000,1.37775000,1.40325000,91742552.00000000
2021-11-27,1.44150000,1.50975000,1.43550000,1.46025000,136828871.00000000
2021-11-26,1.57350000,1.57650000,1.39275000,1.44075000,181456114.00000000
2021-11-25,1.54350000,1.61400000,1.52250000,1.57350000,166539247.00000000
2021-11-24,1.61700000,1.62675000,1.51425000,1.54350000,220460532.00000000
2021-11-23,1.65300000,1.76550000,1.60950000,1.61475000,536964552.00000000
2021-11-22,1.58325000,1.75500000,1.53825000,1.65375000,710337846.00000000
2021-11-21,1.53525000,1.77750000,1.50075000,1.58175000,801301332.00000000
2021-11-20,1.43925000,1.57500000,1.41225000,1.53225000,503265503.00000000
2021-11-19,1.35450000,1.46175000,1.34550000,1.43925000,495246308.00000000
2021-11-18,1.50000000,1.51425000,1.33725000,1.35600000,370313995.00000000
2021-11-17,1.47450000,1.53900000,1.40700000,1.50075000,394439250.00000000
2021-11-16,1.63650000,1.63650000,1.40250000,1.47450000,494441597.00000000
2021-11-15,1.64925000,1.79400000,1.63050000,1.63500000,586663954.00000000
2021-11-14,1.63875000,1.69650000,1.62225000,1.64775000,524933881.00000000
2021-11-13,1.66200000,1.80000000,1.63350000,1.63725000,1115189232.00000000
2021-11-12,1.54725000,1.71300000,1.52775000,1.66050000,788561601.00000000
2021-11-11,1.46025000,1.56300000,1.44450000,1.54575000,441658878.00000000
2021-11-10,1.52325000,1.64925000,1.42875000,1.46025000,921153698.00000000
2021-11-09,1.50900000,1.56600000,1.49025000,1.52250000,820800510.00000000
2021-11-08,1.47300000,1.51575000,1.46550000,1.50900000,662508892.00000000
2021-11-07,1.46025000,1.47900000,1.43700000,1.47300000,435099394.00000000
2021-11-06,1.47000000,1.50900000,1.43175000,1.46025000,561183214.00000000
2021-11-05,1.49025000,1.53225000,1.45575000,1.47075000,534892580.00000000
2021-11-04,1.48350000,1.51350000,1.45650000,1.49025000,484700575.00000000
2021-11-03,1.52850000,1.53225000,1.45500000,1.48275000,434267421.00000000
2021-11-02,1.49325000,1.56225000,1.47000000,1.52775000,517572157.00000000
2021-11-01,1.45125000,1.52250000,1.42725000,1.49250000,423248452.00000000
2021-10-31,1.44825000,1.50750000,1.42275000,1.44975000,547077842.00000000
2021-10-30,1.48275000,1.48875000,1.42575000,1.44675000,415975201.00000000
2021-10-29,1.44150000,1.49550000,1.43850000,1.48275000,452026718.00000000
2021-10-28,1.40550000,1.47300000,1.37325000,1.44150000,814940831.00000000
2021-10-27,1.53600000,1.55250000,1.40325000,1.40625000,829239845.00000000
2021-10-26,1.57350000,1.58400000,1.52625000,1.53600000,876048712.00000000
2021-10-25,1.52625000,1.60425000,1.52250000,1.57275000,1025596351.00000000
2021-10-24,1.58925000,1.59150000,1.50825000,1.52625000,797369106.00000000
2021-10-23,1.58025000,1.63425000,1.57275000,1.58850000,869188054.00000000
2021-10-22,1.65000000,1.66725000,1.56300000,1.57950000,922187165.00000000
2021-10-21,1.52400000,1.72125000,1.51725000,1.65225000,1472225404.00000000
2021-10-20,1.50450000,1.53525000,1.48725000,1.52400000,603061146.00000000
2021-10-19,1.48875000,1.52925000,1.47600000,1.50300000,562365376.00000000
2021-10-18,1.52850000,1.53750000,1.47450000,1.48950000,502439911.00000000
2021-10-17,1.54725000,1.58250000,1.48875000,1.52700000,570568587.00000000
2021-10-16,1.56300000,1.61175000,1.54275000,1.54650000,693950963.00000000
2021-10-15,1.53225000,1.60725000,1.50675000,1.56300000,863307408.00000000
2021-10-14,1.51425000,1.55025000,1.49925000,1.53300000,666215753.00000000
2021-10-13,1.49175000,1.51650000,1.44150000,1.51425000,696822154.00000000
2021-10-12,1.53825000,1.54125000,1.45125000,1.49175000,815946823.00000000
2021-10-11,1.57800000,1.66875000,1.50900000,1.53825000,737437244.00000000
2021-10-10,1.60575000,1.71750000,1.53750000,1.57650000,1070580918.00000000
2021-10-09,1.48500000,1.62450000,1.46625000,1.60500000,875644551.00000000
2021-10-08,1.46475000,1.56525000,1.46250000,1.48500000,914785342.00000000
2021-10-07,1.47900000,1.49850000,1.43850000,1.46400000,831632425.00000000
2021-10-06,1.51200000,1.54425000,1.42125000,1.47825000,913486322.00000000
