Date,Open,High,Low,Close,Volume
2021-11-28,29707.50000000,29857.50000000,28725.00000000,29055.00000000,321.39800000
2021-11-27,29850.00000000,35655.00000000,29325.00000000,29625.00000000,3575.85500000
2021-11-26,32985.00000000,33300.00000000,29355.00000000,29797.50000000,2528.40600000
2021-11-25,30720.00000000,33585.00000000,30645.00000000,32917.50000000,1756.41900000
2021-11-24,31912.50000000,32257.50000000,30225.00000000,30682.50000000,568.59300000
2021-11-23,29715.00000000,32302.50000000,29422.50000000,31830.00000000,783.20800000
2021-11-22,30592.50000000,32235.00000000,29445.00000000,29692.50000000,1379.91400000
2021-11-21,31102.50000000,32175.00000000,28582.50000000,30600.00000000,691.80600000
2021-11-20,30735.00000000,31462.50000000,29722.50000000,31147.50000000,1026.69400000
2021-11-19,28485.00000000,30750.00000000,28200.00000000,30622.50000000,360.81900000
2021-11-18,30885.00000000,31425.00000000,28380.00000000,28582.50000000,700.25600000
2021-11-17,30825.00000000,30960.00000000,29302.50000000,30832.50000000,1069.79500000
2021-11-16,33735.00000000,33907.50000000,29287.50000000,30825.00000000,6197.44700000
2021-11-15,34867.50000000,37492.50000000,33525.00000000,34087.50000000,1819.32600000
2021-11-14,35092.50000000,35317.50000000,33832.50000000,34815.00000000,661.73800000
2021-11-13,35827.50000000,36030.00000000,33300.00000000,35040.00000000,1642.17000000
2021-11-12,36127.50000000,36390.00000000,33952.50000000,35782.50000000,2433.71800000
2021-11-11,35812.50000000,37245.00000000,35152.50000000,36135.00000000,1433.83800000
2021-11-10,38400.00000000,38977.50000000,34275.00000000,35970.00000000,6998.96000000
2021-11-09,44085.00000000,44595.00000000,38250.00000000,38400.00000000,9798.32700000
2021-11-08,40567.50000000,49125.00000000,40095.00000000,44092.50000000,18264.75100000
2021-11-07,36870.00000000,42577.50000000,36817.50000000,40575.00000000,5022.57900000
2021-11-06,36645.00000000,37035.00000000,35250.00000000,36825.00000000,1025.29500000
2021-11-05,36577.50000000,37005.00000000,36082.50000000,36562.50000000,1797.46700000
2021-11-04,36600.00000000,36885.00000000,35625.00000000,36802.50000000,597.85800000
2021-11-03,36337.50000000,37500.00000000,35250.00000000,36630.00000000,2856.64200000
2021-11-02,34260.00000000,36697.50000000,33037.50000000,36337.50000000,1412.21200000
2021-11-01,33577.50000000,35347.50000000,33277.50000000,34275.00000000,1075.42400000
2021-10-31,33727.50000000,35992.50000000,32752.50000000,33585.00000000,1419.22600000
2021-10-30,34597.50000000,36675.00000000,32932.50000000,33862.50000000,1924.62000000
2021-10-29,31425.00000000,34905.00000000,30405.00000000,34582.50000000,2413.29600000
2021-10-28,29392.50000000,34050.00000000,29325.00000000,31425.00000000,5714.87700000
2021-10-27,30855.00000000,32970.00000000,29392.50000000,29392.50000000,2629.90800000
2021-10-26,29415.00000000,31372.50000000,29100.00000000,30907.50000000,3075.27600000
2021-10-25,28282.50000000,30930.00000000,28275.00000000,29445.00000000,3213.76400000
2021-10-24,27765.00000000,28402.50000000,27150.00000000,28297.50000000,1014.81200000
2021-10-23,26745.00000000,27765.00000000,26527.50000000,27712.50000000,966.79600000
2021-10-22,27547.50000000,27922.50000000,26685.00000000,26745.00000000,764.62400000
2021-10-21,27322.50000000,28552.50000000,26685.00000000,27525.00000000,3423.32400000
2021-10-20,25470.00000000,27375.00000000,25372.50000000,27360.00000000,3685.87000000
2021-10-19,24562.50000000,26040.00000000,24502.50000000,25455.00000000,4075.21500000
2021-10-18,25162.50000000,25462.50000000,24277.50000000,24562.50000000,1367.32000000
2021-10-17,24540.00000000,25500.00000000,24360.00000000,25132.50000000,1972.98300000
2021-10-16,24712.50000000,25447.50000000,24465.00000000,24540.00000000,1940.02400000
2021-10-15,24240.00000000,25260.00000000,23925.00000000,24712.50000000,3470.20100000
2021-10-14,23197.50000000,24652.50000000,23175.00000000,24202.50000000,3833.84600000
2021-10-13,22672.50000000,23227.50000000,22560.00000000,23182.50000000,1572.11900000
2021-10-12,22665.00000000,23047.50000000,22072.50000000,22627.50000000,3052.25600000
2021-10-11,22185.00000000,23085.00000000,21825.00000000,22665.00000000,2213.39900000
2021-10-10,22717.50000000,22770.00000000,22095.00000000,22185.00000000,2981.42800000
2021-10-09,22372.50000000,24067.50000000,22230.00000000,22725.00000000,7979.99100000
2021-10-08,22267.50000000,23520.00000000,22020.00000000,22447.50000000,3100.86800000
2021-10-07,22357.50000000,22740.00000000,21885.00000000,22267.50000000,1995.28400000
2021-10-06,21705.00000000,24270.00000000,20895.00000000,22305.00000000,9268.16200000
2021-10-05,20745.00000000,21810.00000000,20362.50000000,21705.00000000,2178.48600000
2021-10-04,20812.50000000,20865.00000000,20092.50000000,20752.50000000,821.84200000
2021-10-03,20535.00000000,21142.50000000,20167.50000000,20827.50000000,1252.79700000
2021-10-02,19972.50000000,20700.00000000,19800.00000000,20535.00000000,1979.53000000
2021-10-01,18727.50000000,20100.00000000,18645.00000000,19987.50000000,2091.15700000
2021-09-30,17632.50000000,18742.50000000,17617.50000000,18735.00000000,2409.01500000
2021-09-29,17505.00000000,18592.50000000,17332.50000000,17632.50000000,2887.67700000
2021-09-28,18225.00000000,18720.00000000,17445.00000000,17475.00000000,3354.76800000
2021-09-27,18600.00000000,19635.00000000,18232.50000000,18255.00000000,1839.82800000
2021-09-26,18270.00000000,18885.00000000,17250.00000000,18682.50000000,2001.27400000
2021-09-25,18622.50000000,18675.00000000,18060.00000000,18270.00000000,1945.30000000
2021-09-24,20152.50000000,20227.50000000,17737.50000000,18585.00000000,1971.54100000
2021-09-23,19260.00000000,20430.00000000,19162.50000000,20115.00000000,2361.64000000
2021-09-22,17640.00000000,20167.50000000,17632.50000000,19267.50000000,5468.54500000
