Date,Open,High,Low,Close,Volume
2021-11-28,1532.85000000,1686.30000000,1432.50000000,1583.85000000,3643590.70000000
2021-11-27,1823.17500000,2178.22500000,1473.90000000,1532.55000000,19723186.25000000
2021-11-26,717.15000000,1864.27500000,699.97500000,1823.17500000,22462128.35000000
2021-11-25,672.15000000,783.75000000,660.75000000,717.30000000,1482385.00000000
2021-11-24,676.65000000,695.25000000,633.00000000,671.70000000,982757.70000000
2021-11-23,600.22500000,710.25000000,590.47500000,676.20000000,1958942.80000000
2021-11-22,582.37500000,635.85000000,562.50000000,600.45000000,876444.30000000
2021-11-21,590.40000000,625.35000000,572.62500000,582.67500000,692150.70000000
2021-11-20,590.62500000,618.07500000,567.97500000,589.87500000,743190.00000000
2021-11-19,545.92500000,592.65000000,533.70000000,590.17500000,500444.80000000
2021-11-18,622.50000000,628.12500000,534.67500000,546.52500000,769202.50000000
2021-11-17,601.20000000,624.82500000,577.42500000,621.82500000,377370.20000000
2021-11-16,669.00000000,669.52500000,571.35000000,600.82500000,726244.90000000
2021-11-15,700.35000000,737.25000000,662.55000000,669.67500000,457755.10000000
2021-11-14,689.25000000,735.37500000,682.65000000,699.97500000,730260.70000000
2021-11-13,690.60000000,734.92500000,678.97500000,689.17500000,399232.60000000
2021-11-12,708.00000000,735.37500000,661.65000000,690.52500000,456873.60000000
2021-11-11,678.30000000,713.55000000,659.92500000,708.90000000,716090.60000000
2021-11-10,748.57500000,793.57500000,630.82500000,678.07500000,1095865.70000000
2021-11-09,728.40000000,825.00000000,720.52500000,748.72500000,1393981.80000000
2021-11-08,704.02500000,728.70000000,681.97500000,728.25000000,454001.20000000
2021-11-07,664.05000000,705.00000000,662.17500000,704.77500000,520776.00000000
2021-11-06,647.77500000,705.75000000,639.00000000,663.90000000,849986.60000000
2021-11-05,686.70000000,687.45000000,640.87500000,647.92500000,678723.80000000
2021-11-04,734.70000000,773.70000000,682.05000000,687.15000000,721572.70000000
2021-11-03,736.12500000,737.70000000,675.22500000,733.87500000,596070.70000000
2021-11-02,692.77500000,765.07500000,683.92500000,736.35000000,778380.40000000
2021-11-01,639.67500000,750.00000000,622.80000000,693.22500000,1779182.30000000
2021-10-31,642.30000000,648.67500000,602.02500000,638.85000000,451731.70000000
2021-10-30,677.32500000,680.17500000,636.22500000,641.85000000,520076.20000000
2021-10-29,643.42500000,683.92500000,637.27500000,677.55000000,407291.70000000
2021-10-28,600.90000000,651.60000000,595.35000000,642.30000000,549861.80000000
2021-10-27,688.50000000,700.42500000,560.02500000,602.17500000,1395175.20000000
2021-10-26,751.57500000,780.00000000,663.82500000,688.05000000,851436.30000000
2021-10-25,712.80000000,772.87500000,706.80000000,751.12500000,735980.20000000
2021-10-24,751.95000000,761.92500000,698.25000000,712.27500000,420907.20000000
2021-10-23,766.35000000,770.85000000,738.30000000,753.15000000,411804.40000000
2021-10-22,768.97500000,821.40000000,759.45000000,766.20000000,609344.00000000
2021-10-21,810.30000000,810.60000000,737.02500000,768.97500000,1221790.20000000
2021-10-20,844.65000000,888.45000000,783.07500000,810.07500000,2339309.50000000
2021-10-19,716.40000000,900.00000000,701.17500000,844.27500000,4778932.90000000
2021-10-18,756.52500000,819.15000000,696.52500000,715.80000000,2739445.50000000
2021-10-17,613.50000000,919.80000000,599.10000000,757.72500000,9569419.90000000
2021-10-16,600.37500000,656.25000000,592.87500000,614.55000000,839346.80000000
2021-10-15,565.05000000,666.60000000,549.45000000,599.70000000,1741608.40000000
2021-10-14,554.02500000,597.52500000,551.85000000,564.82500000,686952.20000000
2021-10-13,531.30000000,564.00000000,517.65000000,553.72500000,642304.70000000
