Date,Open,High,Low,Close,Volume
2021-11-28,4.32675000,4.87200000,4.08750000,4.45950000,143372892.69999999
2021-11-27,4.06800000,4.95000000,4.01550000,4.33275000,243922054.19999999
2021-11-26,4.61025000,4.76325000,3.92475000,4.07175000,160612287.90000001
2021-11-25,4.77000000,4.98750000,4.52700000,4.60875000,253266938.80000001
2021-11-24,4.77150000,5.73825000,4.56750000,4.77000000,587658676.39999998
2021-11-23,4.64625000,5.43300000,4.42500000,4.76625000,339543668.30000001
2021-11-22,4.95150000,6.18000000,4.57500000,4.64925000,561675796.39999998
2021-11-21,5.48100000,10.38000000,4.92750000,4.96275000,3160974025.30000019
2021-11-20,3.68850000,6.82500000,3.66000000,5.47575000,2070143345.50000000
2021-11-19,3.42300000,3.77925000,3.40575000,3.68325000,83085284.40000001
2021-11-18,3.63300000,3.91425000,3.36075000,3.42075000,62412380.60000000
2021-11-17,3.65550000,3.72225000,3.50925000,3.62775000,37126304.10000000
2021-11-16,3.93075000,3.99525000,3.54000000,3.65625000,103294086.70000000
2021-11-15,3.81150000,4.12500000,3.73950000,3.92700000,123406001.80000000
2021-11-14,3.62775000,3.84900000,3.61575000,3.80475000,64513451.10000000
2021-11-13,3.71700000,3.74025000,3.57150000,3.62400000,37952126.60000000
2021-11-12,3.60750000,3.74025000,3.49950000,3.72675000,47383101.20000000
2021-11-11,3.58575000,3.74700000,3.53400000,3.61425000,53183098.00000000
2021-11-10,3.91125000,4.06650000,3.49950000,3.58500000,107446407.20000000
2021-11-09,3.76125000,4.33125000,3.72825000,3.91875000,162542504.40000001
2021-11-08,3.85050000,3.87375000,3.69525000,3.76125000,54108005.20000000
2021-11-07,3.67275000,3.93750000,3.63150000,3.84225000,71860015.80000000
2021-11-06,3.65625000,3.70725000,3.52950000,3.67425000,37290014.20000000
2021-11-05,3.75375000,3.82425000,3.62025000,3.66600000,48888743.00000000
2021-11-04,3.76350000,3.91350000,3.65325000,3.75375000,71509440.80000000
2021-11-03,3.91875000,3.93375000,3.66825000,3.76350000,85910801.70000000
2021-11-02,3.91875000,4.20000000,3.82500000,3.91800000,123132052.40000001
2021-11-01,4.01175000,4.31775000,3.85800000,3.92400000,118742261.00000000
2021-10-31,4.11750000,4.60500000,3.86175000,4.01100000,383881714.50000000
2021-10-30,3.70875000,5.62500000,3.55125000,4.11000000,846021701.60000002
2021-10-29,3.57900000,4.42500000,3.37500000,3.70800000,558008610.50000000
