Date,Open,High,Low,Close,Volume
2021-11-28,2.83950000,2.85300000,2.70450000,2.76225000,160150752.00000000
2021-11-27,2.79900000,2.89500000,2.78475000,2.84025000,217782162.00000000
2021-11-26,3.12975000,3.13125000,2.71275000,2.79975000,630855505.00000000
2021-11-25,3.07500000,3.19125000,3.02700000,3.13050000,456849319.00000000
2021-11-24,3.20625000,3.21975000,2.98125000,3.07500000,320946191.00000000
2021-11-23,3.20250000,3.28950000,3.08775000,3.20625000,244395237.00000000
2021-11-22,3.33525000,3.40725000,3.16500000,3.20250000,374440983.00000000
2021-11-21,3.32250000,3.46125000,3.25500000,3.33300000,405327094.00000000
2021-11-20,3.24750000,3.34125000,3.15825000,3.32550000,287094787.00000000
2021-11-19,3.09225000,3.37500000,3.02550000,3.24825000,409868540.00000000
2021-11-18,3.53775000,3.55275000,2.97150000,3.09450000,847893270.00000000
2021-11-17,3.39225000,3.59250000,3.28200000,3.53550000,475254443.00000000
2021-11-16,3.64725000,3.65025000,3.15000000,3.39075000,670497842.00000000
2021-11-15,3.60825000,3.77850000,3.55875000,3.64875000,492434331.00000000
2021-11-14,3.62175000,3.62175000,3.53250000,3.60825000,212510785.00000000
2021-11-13,3.57375000,3.64125000,3.53025000,3.62025000,199823969.00000000
2021-11-12,3.63075000,3.65925000,3.45375000,3.57600000,314974185.00000000
2021-11-11,3.59775000,3.69150000,3.54750000,3.63225000,335611156.00000000
2021-11-10,3.88800000,3.96300000,3.18750000,3.59700000,858060157.00000000
2021-11-09,3.87375000,4.05900000,3.81150000,3.88725000,625065429.00000000
2021-11-08,3.77850000,3.89100000,3.73050000,3.87375000,379489217.00000000
2021-11-07,3.76800000,3.84375000,3.73575000,3.77700000,240105060.00000000
2021-11-06,3.85575000,3.87000000,3.60375000,3.76800000,425511474.00000000
2021-11-05,4.05525000,4.09500000,3.79350000,3.85575000,473191892.00000000
2021-11-04,4.09350000,4.28775000,3.91800000,4.05525000,984013603.00000000
2021-11-03,3.86550000,4.32000000,3.82950000,4.09350000,2537465602.00000000
2021-11-02,3.67050000,3.90375000,3.58875000,3.86550000,703103462.00000000
2021-11-01,3.72750000,3.89025000,3.51825000,3.67275000,486538125.00000000
2021-10-31,3.62025000,3.75000000,3.46350000,3.72450000,549352368.00000000
2021-10-30,3.65250000,3.66975000,3.49275000,3.62025000,340843726.00000000
2021-10-29,3.54000000,3.69750000,3.53550000,3.65625000,348406028.00000000
2021-10-28,3.31950000,3.77850000,3.27000000,3.54150000,1076824543.00000000
2021-10-27,3.83250000,3.85200000,3.00975000,3.31950000,1212486052.00000000
2021-10-26,3.80850000,3.95925000,3.75000000,3.82950000,435484027.00000000
2021-10-25,3.73725000,3.83100000,3.72075000,3.80700000,237782522.00000000
2021-10-24,3.84075000,3.86175000,3.64875000,3.73800000,360592369.00000000
2021-10-23,3.82575000,3.88725000,3.76800000,3.84075000,247394765.00000000
2021-10-22,3.75750000,3.86550000,3.71550000,3.82575000,270329228.00000000
2021-10-21,3.90000000,3.95700000,3.69600000,3.75825000,403881381.00000000
2021-10-20,3.75825000,3.92250000,3.68700000,3.90000000,304291792.00000000
2021-10-19,3.74850000,3.82500000,3.68475000,3.75975000,214920883.00000000
2021-10-18,3.81075000,3.85350000,3.66000000,3.74850000,290050952.00000000
2021-10-17,3.92850000,3.92925000,3.62625000,3.81150000,350456658.00000000
2021-10-16,3.93600000,4.00125000,3.86850000,3.92550000,371057305.00000000
2021-10-15,4.11525000,4.11750000,3.78600000,3.93900000,745911752.00000000
2021-10-14,4.13025000,4.14450000,4.04175000,4.11600000,395341201.00000000
2021-10-13,4.06725000,4.13175000,3.90750000,4.12875000,399717087.00000000
2021-10-12,4.05300000,4.07475000,3.75450000,4.06800000,671066646.00000000
2021-10-11,4.06800000,4.17900000,3.92325000,4.05675000,455836076.00000000
2021-10-10,4.47600000,4.47975000,3.99975000,4.06725000,578944656.00000000
2021-10-09,4.24050000,4.75725000,4.16850000,4.47450000,1449090812.00000000
2021-10-08,4.07400000,4.37475000,4.04250000,4.23975000,969875635.00000000
2021-10-07,4.12125000,4.12500000,3.96075000,4.07325000,513028605.00000000
2021-10-06,4.20450000,4.21575000,3.85950000,4.12050000,792025151.00000000
2021-10-05,4.01100000,4.34550000,3.96000000,4.20450000,880028218.00000000
2021-10-04,4.15500000,4.15875000,3.86250000,4.01250000,764208288.00000000
