Date,Open,High,Low,Close,Volume
2021-11-28,11.71575000,11.73600000,10.91625000,11.37150000,65663248.00000000
2021-11-27,11.83725000,12.65475000,11.46450000,11.71575000,162494570.00000000
2021-11-26,13.60200000,13.63725000,11.25000000,11.83650000,352513251.00000000
2021-11-25,13.48725000,13.99800000,13.25100000,13.59750000,272568971.00000000
2021-11-24,14.12700000,14.40525000,12.97500000,13.49325000,369154737.00000000
2021-11-23,13.95525000,14.85000000,13.53150000,14.12700000,413634712.00000000
2021-11-22,16.36875000,17.54775000,13.81800000,13.94850000,966894218.00000000
2021-11-21,14.07450000,17.18625000,13.42875000,16.35750000,1010278744.00000000
2021-11-20,13.58400000,14.88750000,13.28400000,14.07525000,491710459.00000000
2021-11-19,12.98400000,15.27900000,12.74250000,13.58025000,560800139.00000000
2021-11-18,14.84025000,15.27750000,12.54000000,12.98850000,642007521.00000000
2021-11-17,15.93150000,16.50000000,14.45025000,14.84850000,695277042.00000000
2021-11-16,14.87475000,17.24250000,13.13250000,15.93150000,1192256787.00000000
2021-11-15,17.47500000,17.64900000,14.72025000,14.87850000,757465140.00000000
2021-11-14,16.60650000,18.72150000,15.15000000,17.47425000,1680987655.00000000
2021-11-13,15.74775000,19.72500000,14.20050000,16.61250000,2880434367.00000000
2021-11-12,13.70625000,16.35000000,11.63175000,15.74775000,1663167722.00000000
2021-11-11,17.76975000,19.30650000,13.23375000,13.71150000,2775810484.00000000
2021-11-10,8.03775000,18.66000000,8.03775000,17.75925000,8105803441.00000000
2021-11-09,7.68150000,8.21250000,7.44750000,8.03700000,400678054.00000000
2021-11-08,7.79400000,7.94925000,7.34550000,7.68150000,397558305.00000000
2021-11-07,8.12250000,8.61675000,7.71675000,7.78725000,264855975.00000000
2021-11-06,8.40375000,8.94750000,7.83750000,8.11275000,382320019.00000000
2021-11-05,9.20175000,9.89100000,8.18250000,8.40150000,889132457.00000000
2021-11-04,9.84525000,13.87500000,9.16650000,9.20625000,4340339200.00000000
2021-11-03,5.79225000,11.00925000,5.50500000,9.84825000,4440230755.00000000
2021-11-02,5.27175000,5.80500000,5.15175000,5.79300000,243081118.00000000
2021-11-01,5.40225000,5.58825000,5.01150000,5.27475000,172476592.00000000
2021-10-31,4.98675000,5.73975000,4.95450000,5.40150000,477906302.00000000
2021-10-30,5.01525000,5.24400000,4.72500000,4.98300000,264813399.00000000
2021-10-29,4.71675000,5.04225000,4.68975000,5.01075000,175328788.00000000
2021-10-28,4.37250000,5.12850000,4.35300000,4.71900000,453287602.00000000
2021-10-27,4.98975000,5.34750000,4.19550000,4.37400000,386790177.00000000
2021-10-26,5.03025000,5.16000000,4.92900000,4.99125000,159344935.00000000
2021-10-25,4.93725000,5.13825000,4.91025000,5.02950000,159340194.00000000
2021-10-24,5.05125000,5.08275000,4.77375000,4.93800000,125244887.00000000
2021-10-23,5.10075000,5.10900000,4.95075000,5.05125000,116942341.00000000
2021-10-22,5.02425000,5.18700000,4.97475000,5.09850000,144366748.00000000
2021-10-21,5.25675000,5.45400000,5.00325000,5.02500000,208795388.00000000
2021-10-20,5.08575000,5.29500000,4.99575000,5.25825000,130104986.00000000
2021-10-19,5.01300000,5.40000000,4.97775000,5.08575000,215389942.00000000
2021-10-18,4.94850000,5.30475000,4.88175000,5.01300000,299678989.00000000
2021-10-17,5.31975000,5.51250000,4.68900000,4.94625000,275968483.00000000
2021-10-16,5.16825000,5.54925000,5.07225000,5.32200000,346643393.00000000
2021-10-15,5.22675000,5.33475000,4.96275000,5.16825000,235526285.00000000
2021-10-14,5.08800000,5.30625000,5.04075000,5.22675000,187775390.00000000
2021-10-13,5.11350000,5.25975000,4.95975000,5.08875000,228970311.00000000
2021-10-12,5.36100000,5.53725000,4.90650000,5.11425000,232681419.00000000
2021-10-11,5.25300000,5.74275000,5.13600000,5.36250000,337327876.00000000
2021-10-10,5.45025000,5.82150000,5.22075000,5.25825000,451166499.00000000
2021-10-09,5.10375000,5.55000000,5.02050000,5.44950000,319056000.00000000
2021-10-08,5.17500000,5.34675000,5.05875000,5.10375000,263548484.00000000
2021-10-07,5.49300000,5.56050000,5.14800000,5.17500000,503976404.00000000
2021-10-06,4.88325000,6.36750000,4.88325000,5.48925000,1710309024.00000000
2021-10-05,4.65900000,4.97175000,4.59825000,4.88850000,221669251.00000000
2021-10-04,4.81350000,4.87800000,4.50375000,4.65675000,207739843.00000000
2021-10-03,4.72875000,4.87350000,4.60200000,4.80900000,172329311.00000000
2021-10-02,4.79250000,5.02500000,4.66050000,4.73025000,263081576.00000000
2021-10-01,4.52925000,4.91025000,4.45500000,4.79250000,304607021.00000000
2021-09-30,4.51950000,4.90275000,4.35000000,4.53075000,393354445.00000000
2021-09-29,4.22100000,4.64850000,4.18725000,4.52325000,202417895.00000000
2021-09-28,4.51500000,4.71900000,4.19625000,4.22325000,281292791.00000000
2021-09-27,4.91475000,5.00400000,4.50150000,4.51800000,405740187.00000000
2021-09-26,5.02650000,5.67375000,4.80975000,4.91625000,1697187561.00000000
2021-09-25,3.88800000,5.28150000,3.73575000,5.02500000,1345353831.00000000
2021-09-24,4.27350000,4.30125000,3.65700000,3.89025000,223733617.00000000
2021-09-23,4.15050000,4.32675000,4.00200000,4.27500000,166147187.00000000
