Date,Open,High,Low,Close,Volume
2021-11-28,101.02500000,101.70000000,93.60000000,100.35000000,3491859.30000000
2021-11-27,101.32500000,105.75000000,99.22500000,101.02500000,6624924.60000000
2021-11-26,111.52500000,114.45000000,96.00000000,101.40000000,13164951.00000000
2021-11-25,108.45000000,113.47500000,106.87500000,111.60000000,6875811.20000000
2021-11-24,110.47500000,113.62500000,106.35000000,108.45000000,9672674.20000000
2021-11-23,109.95000000,111.75000000,107.02500000,110.40000000,5408362.90000000
2021-11-22,114.60000000,114.97500000,108.45000000,110.02500000,7155328.90000000
2021-11-21,114.60000000,117.67500000,112.42500000,114.60000000,6037834.90000000
2021-11-20,115.35000000,116.17500000,111.07500000,114.60000000,4974335.40000000
2021-11-19,110.85000000,115.42500000,108.60000000,115.35000000,4533183.10000000
2021-11-18,115.42500000,120.60000000,108.97500000,110.85000000,11707193.50000000
2021-11-17,115.72500000,117.00000000,108.52500000,115.50000000,6799600.30000000
2021-11-16,112.80000000,118.42500000,105.75000000,115.72500000,16738296.60000000
2021-11-15,112.20000000,116.85000000,111.37500000,112.87500000,6207013.90000000
2021-11-14,114.75000000,116.32500000,110.62500000,112.27500000,4431246.70000000
2021-11-13,115.12500000,117.75000000,113.25000000,114.82500000,5761592.90000000
2021-11-12,116.77500000,117.97500000,111.30000000,115.27500000,5310753.10000000
2021-11-11,112.95000000,118.72500000,112.42500000,116.77500000,6576420.20000000
2021-11-10,118.42500000,122.10000000,106.50000000,113.02500000,10379348.30000000
2021-11-09,120.07500000,120.67500000,117.75000000,118.42500000,6985008.40000000
2021-11-08,121.35000000,122.32500000,117.97500000,120.07500000,7329788.30000000
2021-11-07,121.42500000,124.95000000,120.67500000,121.35000000,4281817.00000000
2021-11-06,119.25000000,121.95000000,116.25000000,121.27500000,5239481.30000000
2021-11-05,124.20000000,125.47500000,116.47500000,119.32500000,6378805.90000000
2021-11-04,126.97500000,130.20000000,121.80000000,124.12500000,6773535.00000000
2021-11-03,137.85000000,142.50000000,124.35000000,126.97500000,11823376.00000000
2021-11-02,122.25000000,140.47500000,120.00000000,137.77500000,20503355.90000000
2021-11-01,119.25000000,123.15000000,116.02500000,122.32500000,5832349.40000000
2021-10-31,120.07500000,121.80000000,114.67500000,119.25000000,4456580.80000000
2021-10-30,122.55000000,122.85000000,117.97500000,120.07500000,3537690.00000000
2021-10-29,117.67500000,122.92500000,116.92500000,122.47500000,4478696.10000000
2021-10-28,111.30000000,118.27500000,110.17500000,117.45000000,5722308.90000000
2021-10-27,120.60000000,123.22500000,102.60000000,111.30000000,6808903.00000000
2021-10-26,120.97500000,124.50000000,119.77500000,120.60000000,5332728.50000000
2021-10-25,117.90000000,122.17500000,117.15000000,120.97500000,3396321.80000000
2021-10-24,121.27500000,121.57500000,114.90000000,117.97500000,4451605.80000000
2021-10-23,121.12500000,122.55000000,119.85000000,121.27500000,2640971.80000000
2021-10-22,120.07500000,123.07500000,118.35000000,121.20000000,4468014.90000000
2021-10-21,124.35000000,129.90000000,119.25000000,120.15000000,8575310.10000000
2021-10-20,121.27500000,125.47500000,120.45000000,124.20000000,3989045.30000000
2021-10-19,120.82500000,125.25000000,119.10000000,121.27500000,4605505.10000000
2021-10-18,121.87500000,122.77500000,117.90000000,120.67500000,4286313.60000000
2021-10-17,119.10000000,126.07500000,115.65000000,122.10000000,9333301.90000000
2021-10-16,120.75000000,123.37500000,117.75000000,119.10000000,4946251.80000000
2021-10-15,122.77500000,124.50000000,112.87500000,120.75000000,11737791.80000000
2021-10-14,120.67500000,126.00000000,120.45000000,122.77500000,9654843.20000000
2021-10-13,121.95000000,125.17500000,116.85000000,120.67500000,11291496.10000000
2021-10-12,115.87500000,124.12500000,110.47500000,121.95000000,19216069.90000000
2021-10-11,125.85000000,134.40000000,114.90000000,115.87500000,17249679.70000000
2021-10-10,143.17500000,147.75000000,124.65000000,125.70000000,35671921.20000000
2021-10-09,118.35000000,330.00000000,117.90000000,143.47500000,84854763.59999999
2021-10-08,115.57500000,121.87500000,113.25000000,118.12500000,4454598.60000000
2021-10-07,110.92500000,117.60000000,107.40000000,115.57500000,4542508.80000000
2021-10-06,108.07500000,113.40000000,101.77500000,110.85000000,5423127.50000000
2021-10-05,97.57500000,108.75000000,97.12500000,108.07500000,8794970.30000000
2021-10-04,92.17500000,99.00000000,89.02500000,97.57500000,6369314.50000000
2021-10-03,89.92500000,93.90000000,88.87500000,91.95000000,3361990.10000000
2021-10-02,93.22500000,94.12500000,88.12500000,89.85000000,4263678.40000000
2021-10-01,81.37500000,93.37500000,81.07500000,93.22500000,5423194.50000000
2021-09-30,78.00000000,81.52500000,77.17500000,81.30000000,4391248.80000000
2021-09-29,77.17500000,80.55000000,76.57500000,78.00000000,2336502.90000000
2021-09-28,78.90000000,81.22500000,76.27500000,77.10000000,2066841.70000000
2021-09-27,79.20000000,82.87500000,78.45000000,78.90000000,1894395.50000000
2021-09-26,79.87500000,85.05000000,75.00000000,79.27500000,6615364.40000000
2021-09-25,82.57500000,84.67500000,78.15000000,80.02500000,1718344.00000000
2021-09-24,86.85000000,87.07500000,76.27500000,82.50000000,2813792.80000000
2021-09-23,86.55000000,87.37500000,83.40000000,86.77500000,1957790.80000000
2021-09-22,77.10000000,87.90000000,75.45000000,86.62500000,2138780.70000000
2021-09-21,79.27500000,82.80000000,74.32500000,77.10000000,2850261.90000000
2021-09-20,91.27500000,91.50000000,77.17500000,78.90000000,4029945.10000000
2021-09-19,95.92500000,96.37500000,91.05000000,91.27500000,1634927.20000000
2021-09-18,93.52500000,97.57500000,92.40000000,95.92500000,1674283.80000000
2021-09-17,99.00000000,99.52500000,92.32500000,93.22500000,2211027.60000000
2021-09-16,102.15000000,102.45000000,97.20000000,99.00000000,2600371.40000000
2021-09-15,102.15000000,102.67500000,99.97500000,102.15000000,2209447.00000000
2021-09-14,99.37500000,102.15000000,98.32500000,102.00000000,2830913.70000000
2021-09-13,103.35000000,104.47500000,95.70000000,99.15000000,2156974.60000000
2021-09-12,100.65000000,105.22500000,99.22500000,103.50000000,1968477.90000000
2021-09-11,100.65000000,103.12500000,98.70000000,100.50000000,1458415.80000000
2021-09-10,103.80000000,108.00000000,99.00000000,100.65000000,2053452.90000000
2021-09-09,103.72500000,110.17500000,102.30000000,103.72500000,2332016.90000000
2021-09-08,107.55000000,110.62500000,97.20000000,103.80000000,2804480.70000000
2021-09-07,122.17500000,122.62500000,96.22500000,107.47500000,3789835.60000000
2021-09-06,122.77500000,127.12500000,118.50000000,122.25000000,3360144.00000000
2021-09-05,119.32500000,123.75000000,117.52500000,122.77500000,2259749.70000000
2021-09-04,119.92500000,121.72500000,118.20000000,119.17500000,2827963.90000000
2021-09-03,120.30000000,123.75000000,116.40000000,119.70000000,3311611.90000000
2021-09-02,123.90000000,127.27500000,119.32500000,120.07500000,2257886.10000000
2021-09-01,117.07500000,126.00000000,114.82500000,123.90000000,2453356.10000000
2021-08-31,117.00000000,121.87500000,114.82500000,117.45000000,1808601.00000000
2021-08-30,122.17500000,123.30000000,115.50000000,117.07500000,3190790.30000000
2021-08-29,123.90000000,127.27500000,119.25000000,122.17500000,3063323.00000000
2021-08-28,130.80000000,131.85000000,120.82500000,123.90000000,4105229.00000000
2021-08-27,122.85000000,132.52500000,116.62500000,130.72500000,2861541.30000000
2021-08-26,131.02500000,134.19750000,118.27500000,122.92500000,6867435.80000000
2021-08-25,126.21000000,131.68500000,122.07000000,130.89000000,2518739.00000000
2021-08-24,137.19750000,138.06750000,125.05500000,126.07500000,2395075.00000000
2021-08-23,138.00000000,144.89250000,135.14250000,137.58000000,1799771.00000000
2021-08-22,138.75000000,141.35250000,131.84250000,138.00000000,1412496.00000000
2021-08-21,144.40500000,144.55500000,138.75000000,138.75000000,1734623.00000000
2021-08-20,140.34000000,148.12500000,139.40250000,144.03000000,2450092.00000000
2021-08-19,131.28750000,142.67250000,125.77500000,140.34000000,3407576.00000000
2021-08-18,125.41500000,138.24000000,116.25750000,130.93500000,3293095.00000000
2021-08-17,135.77250000,142.41750000,124.39500000,125.67750000,3808569.00000000
2021-08-16,143.97750000,148.49250000,135.00000000,135.86250000,3325715.00000000
2021-08-15,133.84500000,145.47750000,125.22750000,143.76750000,2265103.00000000
2021-08-14,126.06000000,144.36750000,123.85500000,133.38000000,5742374.00000000
2021-08-13,110.78250000,126.03000000,110.49750000,125.99250000,3203969.00000000
2021-08-12,107.29500000,120.15000000,105.00000000,110.87250000,4418124.00000000
2021-08-11,94.71750000,114.38250000,94.40250000,107.29500000,4585332.00000000
2021-08-10,92.40000000,97.86000000,90.42750000,94.36500000,2663766.00000000
2021-08-09,89.91750000,92.69250000,86.28750000,92.28000000,1549975.00000000
