Date,Open,High,Low,Close,Volume
2021-11-28,156.75000000,156.97500000,136.87500000,141.97500000,3024325.30000000
2021-11-27,151.87500000,176.17500000,148.57500000,156.75000000,20033007.60000000
2021-11-26,138.15000000,157.27500000,123.22500000,151.80000000,16709128.20000000
2021-11-25,128.70000000,139.87500000,126.97500000,138.07500000,3836320.00000000
2021-11-24,134.85000000,135.52500000,125.02500000,128.70000000,2304937.70000000
2021-11-23,125.10000000,136.12500000,123.90000000,134.85000000,3290343.10000000
2021-11-22,131.70000000,132.07500000,123.30000000,125.10000000,1672799.30000000
2021-11-21,133.20000000,134.55000000,129.07500000,131.70000000,1570808.40000000
2021-11-20,129.07500000,134.77500000,126.52500000,133.05000000,2078645.10000000
2021-11-19,121.35000000,129.75000000,118.57500000,129.07500000,1569752.90000000
2021-11-18,135.00000000,140.40000000,118.80000000,121.50000000,3581225.40000000
2021-11-17,128.25000000,135.52500000,123.00000000,135.15000000,2985409.50000000
2021-11-16,142.20000000,142.27500000,120.82500000,128.32500000,4484129.60000000
2021-11-15,141.22500000,147.52500000,139.35000000,142.12500000,2847055.90000000
2021-11-14,141.30000000,141.82500000,136.42500000,141.15000000,1614662.90000000
2021-11-13,138.82500000,144.60000000,136.27500000,141.45000000,1853695.20000000
2021-11-12,139.87500000,144.22500000,133.50000000,138.75000000,2878451.40000000
2021-11-11,138.60000000,142.35000000,135.52500000,140.02500000,2161425.90000000
2021-11-10,149.17500000,153.45000000,131.25000000,138.75000000,4166219.00000000
2021-11-09,154.57500000,155.32500000,147.22500000,149.17500000,3017363.70000000
2021-11-08,148.95000000,154.50000000,143.92500000,154.50000000,4233275.40000000
2021-11-07,143.25000000,149.77500000,141.60000000,148.95000000,2511917.50000000
2021-11-06,143.92500000,144.90000000,135.60000000,143.32500000,3638925.60000000
2021-11-05,149.70000000,149.70000000,142.05000000,144.07500000,2182507.10000000
2021-11-04,157.50000000,157.50000000,145.42500000,149.70000000,4397976.40000000
2021-11-03,171.52500000,171.75000000,149.10000000,157.50000000,4698501.30000000
2021-11-02,149.10000000,171.52500000,147.07500000,171.45000000,11232517.30000000
2021-11-01,149.25000000,184.12500000,137.10000000,148.95000000,15102490.59000000
2021-10-31,144.60000000,170.25000000,137.92500000,149.25000000,18988360.30000000
2021-10-30,131.32500000,148.50000000,125.17500000,144.52500000,11792879.20000000
2021-10-29,119.85000000,131.55000000,119.10000000,131.17500000,3554310.30000000
2021-10-28,110.62500000,121.87500000,109.80000000,119.62500000,2253215.90000000
2021-10-27,124.35000000,127.72500000,106.50000000,110.55000000,5279081.90000000
2021-10-26,123.82500000,129.75000000,122.25000000,124.42500000,3750142.00000000
2021-10-25,122.55000000,124.27500000,122.10000000,123.75000000,1397529.10000000
2021-10-24,125.25000000,125.77500000,119.32500000,122.62500000,1439773.90000000
2021-10-23,123.07500000,125.32500000,120.45000000,125.32500000,935106.60000000
2021-10-22,120.75000000,126.15000000,120.00000000,123.15000000,2044758.40000000
2021-10-21,125.62500000,129.37500000,120.37500000,120.75000000,2710950.60000000
2021-10-20,121.05000000,126.30000000,120.67500000,125.55000000,2591637.40000000
2021-10-19,121.72500000,123.00000000,118.57500000,121.05000000,1460534.40000000
2021-10-18,121.42500000,122.32500000,116.62500000,121.72500000,1554975.70000000
2021-10-17,126.60000000,128.10000000,116.92500000,121.27500000,2454455.10000000
2021-10-16,126.22500000,130.87500000,125.02500000,126.67500000,3384300.00000000
2021-10-15,129.75000000,129.82500000,119.32500000,126.07500000,3130186.60000000
2021-10-14,130.65000000,134.25000000,128.55000000,129.82500000,2547087.70000000
2021-10-13,122.32500000,135.75000000,121.35000000,130.57500000,3640795.50000000
2021-10-12,128.77500000,129.07500000,115.72500000,122.32500000,3813669.40000000
2021-10-11,135.30000000,137.40000000,125.32500000,128.92500000,3554905.90000000
2021-10-10,133.42500000,137.25000000,130.87500000,135.52500000,3230620.50000000
2021-10-09,134.77500000,137.77500000,129.75000000,133.27500000,2414561.60000000
2021-10-08,128.02500000,136.95000000,127.27500000,134.62500000,3371485.30000000
2021-10-07,128.32500000,130.35000000,123.90000000,127.95000000,2340778.20000000
2021-10-06,129.00000000,132.52500000,120.30000000,128.25000000,3577652.40000000
2021-10-05,124.95000000,129.67500000,122.70000000,128.92500000,2494941.40000000
2021-10-04,125.62500000,130.20000000,120.15000000,125.10000000,3954612.90000000
2021-10-03,122.40000000,126.82500000,119.70000000,125.47500000,2170566.60000000
2021-10-02,121.72500000,125.25000000,118.05000000,122.40000000,2144556.80000000
2021-10-01,111.97500000,121.80000000,111.60000000,121.65000000,3116792.80000000
2021-09-30,104.25000000,116.02500000,104.02500000,112.05000000,2967107.00000000
2021-09-29,100.42500000,110.47500000,100.27500000,104.40000000,2389154.00000000
2021-09-28,103.87500000,106.57500000,99.97500000,100.57500000,1904374.40000000
2021-09-27,109.20000000,113.32500000,103.72500000,103.95000000,2285949.80000000
2021-09-26,107.77500000,111.37500000,98.70000000,109.35000000,3116402.50000000
2021-09-25,109.12500000,110.55000000,104.02500000,107.70000000,1541456.10000000
2021-09-24,118.35000000,119.02500000,100.87500000,109.27500000,3613887.80000000
2021-09-23,116.32500000,119.25000000,112.27500000,118.42500000,2500614.00000000
2021-09-22,103.42500000,116.55000000,101.47500000,116.25000000,3256373.40000000
2021-09-21,111.52500000,116.10000000,100.65000000,103.42500000,3664450.05600000
2021-09-20,130.57500000,130.65000000,108.75000000,111.45000000,4561004.36600000
2021-09-19,135.60000000,135.75000000,128.17500000,130.57500000,2114947.90000000
2021-09-18,135.00000000,139.42500000,132.07500000,135.52500000,2391263.10000000
2021-09-17,140.10000000,148.95000000,133.05000000,135.00000000,8585754.30000000
2021-09-16,141.30000000,149.70000000,136.35000000,140.10000000,5385128.30000000
2021-09-15,137.62500000,141.97500000,134.47500000,141.30000000,2951495.50000000
2021-09-14,131.02500000,138.67500000,129.52500000,137.70000000,2335951.50000000
2021-09-13,141.37500000,142.65000000,122.40000000,131.02500000,4321442.60000000
2021-09-12,138.67500000,143.40000000,134.47500000,141.45000000,2165400.10000000
2021-09-11,137.92500000,143.25000000,135.45000000,138.82500000,2638240.10000000
2021-09-10,137.47500000,156.67500000,131.40000000,137.85000000,7720611.60000000
2021-09-09,132.82500000,142.20000000,129.60000000,137.40000000,4287411.40000000
2021-09-08,131.47500000,136.42500000,116.32500000,132.75000000,7362255.10000000
2021-09-07,168.37500000,174.75000000,111.75000000,131.55000000,11606512.37700000
2021-09-06,172.20000000,174.00000000,158.25000000,168.00000000,5772907.90000000
2021-09-05,162.30000000,176.25000000,159.82500000,171.97500000,7508530.60000000
2021-09-04,155.02500000,163.05000000,154.57500000,162.37500000,5015146.26600000
2021-09-03,150.75000000,156.97500000,146.25000000,155.02500000,4973128.65800000
2021-09-02,152.47500000,153.67500000,148.05000000,150.75000000,2867551.10000000
2021-09-01,144.67500000,154.27500000,140.32500000,152.47500000,4952596.05300000
2021-08-31,139.05000000,146.40000000,136.57500000,144.82500000,4198299.90000000
2021-08-30,146.17500000,147.00000000,138.00000000,138.97500000,2486237.60000000
2021-08-29,148.35000000,149.32500000,140.40000000,146.10000000,2660206.90000000
2021-08-28,150.37500000,150.90000000,144.15000000,148.35000000,2493674.07000000
2021-08-27,142.87500000,150.45000000,135.45000000,150.45000000,4174448.86500000
2021-08-26,160.72500000,162.97500000,139.80000000,142.87500000,6286315.79100000
2021-08-25,152.62500000,163.27500000,146.77500000,160.65000000,4935267.38100000
2021-08-24,165.82500000,174.15000000,150.75000000,152.70000000,8356009.60200000
2021-08-23,162.75000000,166.65000000,157.65000000,165.67500000,6191955.79100000
2021-08-22,149.40000000,163.72500000,148.12500000,162.67500000,9182724.48800000
2021-08-21,147.60000000,155.77500000,144.30000000,149.40000000,7439316.75700000
2021-08-20,141.60000000,153.22500000,139.87500000,147.52500000,5951844.44000000
2021-08-19,133.65000000,141.67500000,129.00000000,141.67500000,2994128.00000000
2021-08-18,135.67500000,137.92500000,127.65000000,133.50000000,2899865.10400000
2021-08-17,144.07500000,149.70000000,132.00000000,135.67500000,7162007.74000000
2021-08-16,147.97500000,151.35000000,141.07500000,144.00000000,5027497.22600000
2021-08-15,142.95000000,149.25000000,138.07500000,147.97500000,6303164.30000000
2021-08-14,141.97500000,144.37500000,134.40000000,143.02500000,3876953.98400000
2021-08-13,131.10000000,141.97500000,129.15000000,141.90000000,2590360.87800000
2021-08-12,137.77500000,142.65000000,126.30000000,131.02500000,5223414.29500000
2021-08-11,131.92500000,142.65000000,130.95000000,137.70000000,4906689.12300000
2021-08-10,130.95000000,134.62500000,124.72500000,131.92500000,5181856.66700000
2021-08-09,124.27500000,131.85000000,119.40000000,130.95000000,3521722.43500000
2021-08-08,134.10000000,136.57500000,121.42500000,124.27500000,3747256.00900000
2021-08-07,131.70000000,135.97500000,127.42500000,134.02500000,4309419.34900000
2021-08-06,126.45000000,132.07500000,122.62500000,131.70000000,4148965.65800000
2021-08-05,122.77500000,127.95000000,118.42500000,126.52500000,5150879.77900000
2021-08-04,119.10000000,125.85000000,114.15000000,122.77500000,2394882.43200000
2021-08-03,120.67500000,126.30000000,114.45000000,119.17500000,4106667.39800000
2021-08-02,116.62500000,122.92500000,113.32500000,120.67500000,3230261.84700000
2021-08-01,122.25000000,130.80000000,114.30000000,116.77500000,5110398.52800000
2021-07-31,118.20000000,123.75000000,114.22500000,122.25000000,5050703.74000000
2021-07-30,114.37500000,118.20000000,107.55000000,117.97500000,5921648.00200000
2021-07-29,107.17500000,116.47500000,103.72500000,114.30000000,6644815.75000000
2021-07-28,107.25000000,108.82500000,102.00000000,107.17500000,3727155.96000000
2021-07-27,103.20000000,108.67500000,98.10000000,107.25000000,3432632.07400000
2021-07-26,101.47500000,111.37500000,100.95000000,103.35000000,5596724.96500000
2021-07-25,101.47500000,102.07500000,97.57500000,101.40000000,2204713.76000000
2021-07-24,100.57500000,105.30000000,98.70000000,101.40000000,4119737.06800000
2021-07-23,96.97500000,101.62500000,94.12500000,100.65000000,2852624.39500000
2021-07-22,95.25000000,99.22500000,93.60000000,96.90000000,2982153.75400000
2021-07-21,87.52500000,97.80000000,84.75000000,95.17500000,2984436.82500000
2021-07-20,91.95000000,94.35000000,84.45000000,87.52500000,3047994.39100000
2021-07-19,98.32500000,98.62500000,91.12500000,92.02500000,1861967.44400000
2021-07-18,96.97500000,101.32500000,96.07500000,98.32500000,1806473.90000000
2021-07-17,95.85000000,99.60000000,94.42500000,96.97500000,1929149.81000000
2021-07-16,101.70000000,104.10000000,95.25000000,96.00000000,2010715.03400000
2021-07-15,107.02500000,108.75000000,99.82500000,101.55000000,2536258.19700000
2021-07-14,107.92500000,108.52500000,100.95000000,107.17500000,2200439.83300000
2021-07-13,112.80000000,112.87500000,106.05000000,107.92500000,2315432.08000000
2021-07-12,114.30000000,118.72500000,110.25000000,112.80000000,3135267.40800000
2021-07-11,112.20000000,115.80000000,109.72500000,114.37500000,2229996.05800000
2021-07-10,115.05000000,116.70000000,109.20000000,112.05000000,1641113.01300000
2021-07-09,114.67500000,116.32500000,107.92500000,115.12500000,3389098.10600000
2021-07-08,125.62500000,125.85000000,111.45000000,114.60000000,4337800.29900000
2021-07-07,122.02500000,132.97500000,119.40000000,125.02500000,7474931.11700000
2021-07-06,116.25000000,125.92500000,116.25000000,121.95000000,6528526.69200000
2021-07-05,121.57500000,122.40000000,113.10000000,116.40000000,3738312.21300000
2021-07-04,120.07500000,126.90000000,116.70000000,121.65000000,3329616.64000000
2021-07-03,117.90000000,122.77500000,113.55000000,120.07500000,2021401.64500000
2021-07-02,117.15000000,118.80000000,109.72500000,117.97500000,3264809.53400000
2021-07-01,126.07500000,126.30000000,112.50000000,117.30000000,5436897.90500000
2021-06-30,115.65000000,129.82500000,108.52500000,126.07500000,11712523.51000000
2021-06-29,105.15000000,117.67500000,104.85000000,115.65000000,4735199.77900000
2021-06-28,101.47500000,107.47500000,98.55000000,105.00000000,4620803.00300000
2021-06-27,100.72500000,101.92500000,92.77500000,101.25000000,3880335.52300000
2021-06-26,92.17500000,101.17500000,86.77500000,100.72500000,6025568.08100000
2021-06-25,105.60000000,108.60000000,91.50000000,92.10000000,5716367.78000000
2021-06-24,101.25000000,107.25000000,94.35000000,105.52500000,3360107.24500000
2021-06-23,92.02500000,108.00000000,87.97500000,101.17500000,4944530.79900000
2021-06-22,97.87500000,106.05000000,81.15000000,92.02500000,11111497.91800000
2021-06-21,128.70000000,129.45000000,97.72500000,97.87500000,6216363.89700000
2021-06-20,130.65000000,132.52500000,120.07500000,128.70000000,2782453.79000000
2021-06-19,133.95000000,137.62500000,129.60000000,130.72500000,2109470.79900000
2021-06-18,145.87500000,145.95000000,129.15000000,133.87500000,3592239.30400000
2021-06-17,156.07500000,156.37500000,142.95000000,145.87500000,5007241.08000000
2021-06-16,139.50000000,159.00000000,132.07500000,156.07500000,13774270.72800000
2021-06-15,142.72500000,146.70000000,138.00000000,139.50000000,3749962.33200000
2021-06-14,143.62500000,155.25000000,139.27500000,142.72500000,10115138.36900000
2021-06-13,125.17500000,146.92500000,119.92500000,143.62500000,6480658.02700000
2021-06-12,134.25000000,134.32500000,118.65000000,125.10000000,3898504.28700000
2021-06-11,142.35000000,144.00000000,126.67500000,134.02500000,4661870.37800000
2021-06-10,155.85000000,156.37500000,140.92500000,142.20000000,4465174.48600000
2021-06-09,148.87500000,161.17500000,138.97500000,155.70000000,5038545.18200000
2021-06-08,155.92500000,158.70000000,136.50000000,148.80000000,7790468.92300000
2021-06-07,180.75000000,181.12500000,153.30000000,155.92500000,7549435.34200000
2021-06-06,156.07500000,185.70000000,154.12500000,180.90000000,7354375.42000000
2021-06-05,163.57500000,176.77500000,151.05000000,156.07500000,4824244.02000000
2021-06-04,180.67500000,181.20000000,156.97500000,163.42500000,6892557.36900000
2021-06-03,184.87500000,200.32500000,176.70000000,180.60000000,12163366.17000000
2021-06-02,152.40000000,203.77500000,150.52500000,184.87500000,47200334.31500000
2021-06-01,126.82500000,157.42500000,118.05000000,152.55000000,15203299.15900000
2021-05-31,117.67500000,127.50000000,111.00000000,126.97500000,3764025.37600000
2021-05-30,115.35000000,123.67500000,106.50000000,117.67500000,2813838.36600000
2021-05-29,120.45000000,126.90000000,106.42500000,115.12500000,5269749.13400000
2021-05-28,140.70000000,142.20000000,115.42500000,120.45000000,5204847.67500000
2021-05-27,150.75000000,153.67500000,134.25000000,140.70000000,5452587.16100000
2021-05-26,129.75000000,151.42500000,126.00000000,150.75000000,7460823.83200000
2021-05-25,129.60000000,135.82500000,113.02500000,129.90000000,5792514.20900000
2021-05-24,108.07500000,132.30000000,104.55000000,129.60000000,6467486.35400000
2021-05-23,128.62500000,134.10000000,89.10000000,108.00000000,8662001.70000000
2021-05-22,143.47500000,145.35000000,123.15000000,128.62500000,6893734.84900000
2021-05-21,160.12500000,169.50000000,126.07500000,143.47500000,10116643.52800000
2021-05-20,141.97500000,170.92500000,130.42500000,160.12500000,7708537.58200000
2021-05-19,210.45000000,217.35000000,103.50000000,141.67500000,11658474.14800000
2021-05-18,186.97500000,219.90000000,184.87500000,210.45000000,4362374.35000000
2021-05-17,203.25000000,208.20000000,180.75000000,186.60000000,4533221.20600000
2021-05-16,212.17500000,227.70000000,191.70000000,203.25000000,3921344.00500000
2021-05-15,236.40000000,239.85000000,210.30000000,211.42500000,3369818.02100000
2021-05-14,224.25000000,243.75000000,222.37500000,236.55000000,3064819.66400000
2021-05-13,219.30000000,239.25000000,204.90000000,224.02500000,5892450.79100000
2021-05-12,254.10000000,277.57500000,213.30000000,219.45000000,7351745.63200000
2021-05-11,247.57500000,257.77500000,229.57500000,254.02500000,4987370.04900000
2021-05-10,252.75000000,299.55000000,223.50000000,247.57500000,10819157.00200000
2021-05-09,258.00000000,260.02500000,240.45000000,252.60000000,4291836.92300000
2021-05-08,265.27500000,276.75000000,252.67500000,258.07500000,5772965.00700000
