Date,Open,High,Low,Close,Volume
2021-11-28,25080.00000000,26602.50000000,23977.50000000,26295.00000000,37005.66400000
2021-11-27,23587.50000000,26175.00000000,23527.50000000,25080.00000000,49666.81600000
2021-11-26,25425.00000000,25485.00000000,22357.50000000,23595.00000000,86597.70100000
2021-11-25,24585.00000000,26250.00000000,24465.00000000,25432.50000000,42576.65000000
2021-11-24,25740.00000000,26032.50000000,24232.50000000,24585.00000000,52180.42700000
2021-11-23,25327.50000000,26467.50000000,24465.00000000,25732.50000000,67846.58400000
2021-11-22,27375.00000000,27465.00000000,25095.00000000,25327.50000000,55253.01100000
2021-11-21,27525.00000000,27870.00000000,26880.00000000,27352.50000000,33425.57900000
2021-11-20,26595.00000000,27600.00000000,25597.50000000,27510.00000000,45684.60500000
2021-11-19,25432.50000000,27427.50000000,24555.00000000,26610.00000000,65366.16400000
2021-11-18,27547.50000000,27945.00000000,24877.50000000,25447.50000000,68228.98700000
2021-11-17,27495.00000000,28230.00000000,26422.50000000,27540.00000000,57887.59600000
2021-11-16,30735.00000000,30742.50000000,26265.00000000,27502.50000000,99577.46800000
2021-11-15,32542.50000000,33150.00000000,30615.00000000,30735.00000000,49022.42600000
2021-11-14,32145.00000000,32677.50000000,31522.50000000,32542.50000000,25863.41100000
2021-11-13,31740.00000000,32647.50000000,30922.50000000,32137.50000000,40160.33700000
2021-11-12,33030.00000000,33330.00000000,30622.50000000,31725.00000000,53781.41000000
2021-11-11,32047.50000000,33922.50000000,31042.50000000,33037.50000000,63061.45500000
2021-11-10,33937.50000000,35317.50000000,28740.00000000,32062.50000000,94867.22200000
2021-11-09,36195.00000000,36337.50000000,33697.50000000,33930.00000000,62954.72700000
2021-11-08,38392.50000000,38932.50000000,35730.00000000,36202.50000000,75829.00100000
2021-11-07,33405.00000000,38572.50000000,33082.50000000,38407.50000000,99442.22850000
2021-11-06,33637.50000000,34590.00000000,32452.50000000,33427.50000000,55628.36600000
2021-11-05,33127.50000000,34027.50000000,32137.50000000,33637.50000000,53931.27800000
2021-11-04,34072.50000000,34875.00000000,32332.50000000,33105.00000000,52032.73500000
2021-11-03,33195.00000000,34500.00000000,31627.50000000,34125.00000000,84820.71710000
2021-11-02,30735.00000000,34125.00000000,29797.50000000,33165.00000000,173033.79500000
2021-11-01,27787.50000000,30900.00000000,26955.00000000,30720.00000000,115263.05500000
2021-10-31,27967.50000000,28425.00000000,26467.50000000,27787.50000000,51257.63400000
2021-10-30,27540.00000000,28500.00000000,27195.00000000,27952.50000000,46499.41100000
2021-10-29,27352.50000000,27967.50000000,27112.50000000,27540.00000000,51046.19200000
2021-10-28,26775.00000000,28477.50000000,26625.00000000,27345.00000000,65842.06100000
2021-10-27,29310.00000000,29700.00000000,26632.50000000,26760.00000000,95954.05900000
2021-10-26,30165.00000000,30840.00000000,28732.50000000,29302.50000000,62356.01500000
