Date,Open,High,Low,Close,Volume
2021-11-28,14625.00000000,14647.50000000,13762.50000000,14385.00000000,317059.65600000
2021-11-27,14677.50000000,15075.00000000,14295.00000000,14632.50000000,524367.98200000
2021-11-26,16725.00000000,16867.50000000,14250.00000000,14677.50000000,1536691.46100000
2021-11-25,15915.00000000,17235.00000000,15802.50000000,16717.50000000,892094.61000000
2021-11-24,16215.00000000,16327.50000000,15442.50000000,15915.00000000,586526.86000000
2021-11-23,15682.50000000,16410.00000000,15382.50000000,16215.00000000,709895.64900000
2021-11-22,16590.00000000,16627.50000000,15390.00000000,15682.50000000,865031.63400000
2021-11-21,17010.00000000,17310.00000000,16470.00000000,16582.50000000,698329.31300000
2021-11-20,16342.50000000,17085.00000000,15930.00000000,17010.00000000,841347.75400000
2021-11-19,15307.50000000,16597.50000000,14962.50000000,16342.50000000,1040819.80100000
2021-11-18,17220.00000000,17430.00000000,14955.00000000,15315.00000000,1689641.57400000
2021-11-17,17280.00000000,17655.00000000,16320.00000000,17220.00000000,1422751.18300000
2021-11-16,19725.00000000,19747.50000000,16687.50000000,17265.00000000,2396155.13000000
2021-11-15,20947.50000000,21112.50000000,19425.00000000,19725.00000000,1155933.60900000
2021-11-14,19327.50000000,20977.50000000,18630.00000000,20947.50000000,1358747.99700000
2021-11-13,18832.50000000,19815.00000000,18390.00000000,19327.50000000,1167201.21100000
2021-11-12,19665.00000000,21202.50000000,18277.50000000,18840.00000000,2414623.35200000
2021-11-11,19522.50000000,20565.00000000,18787.50000000,19672.50000000,1666490.10600000
2021-11-10,19650.00000000,22177.50000000,18870.00000000,19530.00000000,3733558.86070000
2021-11-09,17175.00000000,20595.00000000,16987.50000000,19650.00000000,3256268.81184000
2021-11-08,15157.50000000,17227.50000000,15150.00000000,17175.00000000,1380080.24700000
2021-11-07,14820.00000000,15157.50000000,14767.50000000,15150.00000000,351383.08000000
2021-11-06,14917.50000000,15082.50000000,14325.00000000,14820.00000000,420636.05100000
2021-11-05,15195.00000000,15247.50000000,14752.50000000,14917.50000000,454701.02800000
2021-11-04,15547.50000000,15547.50000000,14707.50000000,15195.00000000,592543.49400000
2021-11-03,15067.50000000,15697.50000000,14805.00000000,15547.50000000,839855.94100000
2021-11-02,14820.00000000,15367.50000000,14632.50000000,15067.50000000,589454.74200000
2021-11-01,14392.50000000,15090.00000000,14085.00000000,14820.00000000,656176.59200000
2021-10-31,14265.00000000,14640.00000000,14002.50000000,14392.50000000,514684.87500000
2021-10-30,14752.50000000,14797.50000000,13995.00000000,14265.00000000,415371.62000000
2021-10-29,14235.00000000,14902.50000000,14107.50000000,14752.50000000,581094.60000000
2021-10-28,13440.00000000,14587.50000000,13320.00000000,14235.00000000,722390.73500000
2021-10-27,14812.50000000,15375.00000000,12832.50000000,13447.50000000,1380721.92600000
2021-10-26,14662.50000000,14955.00000000,14272.50000000,14820.00000000,571152.65500000
2021-10-25,14280.00000000,14805.00000000,14220.00000000,14662.50000000,435121.82200000
2021-10-24,14722.50000000,14992.50000000,13890.00000000,14280.00000000,568204.06000000
2021-10-23,14325.00000000,14850.00000000,14152.50000000,14722.50000000,413109.66400000
2021-10-22,14760.00000000,15112.50000000,14092.50000000,14325.00000000,731846.10500000
2021-10-21,15555.00000000,16102.50000000,14640.00000000,14760.00000000,1129324.23500000
2021-10-20,14160.00000000,15705.00000000,13920.00000000,15547.50000000,1121684.82000000
2021-10-19,13912.50000000,14370.00000000,13732.50000000,14160.00000000,598824.68800000
2021-10-18,13785.00000000,14070.00000000,13387.50000000,13920.00000000,591931.08300000
2021-10-17,13950.00000000,14107.50000000,13230.00000000,13777.50000000,475002.96300000
2021-10-16,14227.50000000,14445.00000000,13875.00000000,13950.00000000,576811.60500000
2021-10-15,13597.50000000,14475.00000000,13230.00000000,14220.00000000,1143344.43800000
2021-10-14,13327.50000000,14002.50000000,13267.50000000,13597.50000000,746399.18100000
2021-10-13,12945.00000000,13477.50000000,12570.00000000,13320.00000000,657952.56200000
2021-10-12,13440.00000000,13440.00000000,12472.50000000,12945.00000000,708173.90000000
2021-10-11,13110.00000000,13905.00000000,12900.00000000,13432.50000000,679614.98700000
2021-10-10,13492.50000000,13800.00000000,13050.00000000,13110.00000000,559785.15300000
2021-10-09,13192.50000000,13717.50000000,13080.00000000,13492.50000000,445979.88800000
