Date,Open,High,Low,Close,Volume
2021-11-28,3290.25000000,3522.00000000,3159.75000000,3480.75000000,3887647.42000000
2021-11-27,3082.50000000,3330.00000000,3066.75000000,3290.25000000,3243848.23000000
2021-11-26,3267.00000000,3384.75000000,2841.00000000,3084.75000000,7705880.35000000
2021-11-25,2892.75000000,3291.75000000,2880.00000000,3267.00000000,3207131.25000000
2021-11-24,3202.50000000,3227.25000000,2836.50000000,2892.00000000,3711044.81000000
2021-11-23,3081.75000000,3258.00000000,2981.25000000,3203.25000000,2364527.72000000
2021-11-22,3263.25000000,3293.25000000,3028.50000000,3081.75000000,3089854.18000000
2021-11-21,3392.25000000,3402.75000000,3193.50000000,3263.25000000,2257891.63000000
2021-11-20,3177.75000000,3415.50000000,3102.75000000,3392.25000000,2702695.10000000
2021-11-19,3021.00000000,3261.00000000,2967.75000000,3176.25000000,3917019.52000000
2021-11-18,3240.75000000,3388.50000000,2906.25000000,3021.00000000,6530290.66000000
2021-11-17,3241.50000000,3293.25000000,3033.75000000,3240.00000000,5073954.47000000
2021-11-16,3610.50000000,3610.50000000,3076.50000000,3243.00000000,6173976.64000000
2021-11-15,3830.25000000,3870.00000000,3602.25000000,3609.75000000,1932632.40000000
2021-11-14,3905.25000000,3936.75000000,3680.25000000,3830.25000000,1588143.78000000
2021-11-13,3716.25000000,4007.25000000,3623.25000000,3905.25000000,2510678.95000000
2021-11-12,3783.75000000,3797.25000000,3525.00000000,3716.25000000,2993491.19000000
2021-11-11,3654.75000000,3896.25000000,3555.75000000,3783.75000000,3285986.49000000
2021-11-10,3767.25000000,4121.25000000,3314.25000000,3654.75000000,5992281.46000000
2021-11-09,4059.00000000,4065.75000000,3752.25000000,3768.00000000,3082760.88000000
2021-11-08,3790.50000000,4110.00000000,3672.75000000,4060.50000000,3794299.03600000
2021-11-07,3837.75000000,3948.00000000,3749.25000000,3789.75000000,1977815.81000000
2021-11-06,3742.50000000,3840.00000000,3558.00000000,3837.75000000,2628157.51000000
2021-11-05,3892.50000000,3988.50000000,3657.00000000,3743.25000000,3677699.17300000
2021-11-04,3599.25000000,3914.25000000,3452.25000000,3892.50000000,6170582.75500000
2021-11-03,3356.25000000,3729.75000000,3287.25000000,3599.25000000,6745823.99900000
2021-11-02,3304.50000000,3411.00000000,3206.25000000,3356.25000000,2745930.15000000
2021-11-01,3217.50000000,3326.25000000,3114.75000000,3303.00000000,2774941.84000000
2021-10-31,3247.50000000,3273.00000000,3088.50000000,3216.75000000,2552995.14000000
2021-10-30,3427.50000000,3431.25000000,3180.75000000,3248.25000000,2504175.13000000
2021-10-29,3222.00000000,3450.00000000,3164.25000000,3426.75000000,3675447.54000000
2021-10-28,2992.50000000,3276.75000000,2965.50000000,3220.50000000,4870457.93000000
2021-10-27,3292.50000000,3367.50000000,2850.00000000,2993.25000000,9008935.16000000
2021-10-26,3214.50000000,3525.00000000,3201.00000000,3290.25000000,6929436.68000000
2021-10-25,3104.25000000,3285.00000000,3090.75000000,3214.50000000,3607499.00000000
2021-10-24,3233.25000000,3267.00000000,2994.00000000,3104.25000000,3685849.75000000
2021-10-23,3277.50000000,3307.50000000,3109.50000000,3234.00000000,3972694.14000000
2021-10-22,3070.50000000,3415.50000000,3066.00000000,3276.75000000,9287487.93000000
2021-10-21,3197.25000000,3273.75000000,2924.25000000,3071.25000000,7773715.75000000
2021-10-20,2829.00000000,3300.00000000,2825.25000000,3197.25000000,7844276.66000000
2021-10-19,2685.75000000,2880.00000000,2667.75000000,2828.25000000,3425151.99000000
2021-10-18,2714.25000000,2801.25000000,2646.75000000,2687.25000000,2884626.06000000
2021-10-17,2746.50000000,2805.00000000,2623.50000000,2713.50000000,3006957.05000000
2021-10-16,2773.50000000,2882.25000000,2718.00000000,2747.25000000,2844496.36000000
2021-10-15,2786.25000000,2850.00000000,2675.25000000,2773.50000000,4660171.31000000
2021-10-14,2744.25000000,2981.25000000,2710.50000000,2786.25000000,5969678.97000000
2021-10-13,2818.50000000,2919.00000000,2614.50000000,2745.00000000,5889598.98000000
2021-10-12,2937.00000000,2937.75000000,2644.50000000,2819.25000000,6482099.45000000
2021-10-11,2942.25000000,3055.50000000,2812.50000000,2936.25000000,5036412.83000000
2021-10-10,3186.75000000,3245.25000000,2925.75000000,2942.25000000,3977798.20000000
