Date,Open,High,Low,Close,Volume
2021-11-28,120.90000000,120.97500000,115.35000000,119.47500000,28037653.70000000
2021-11-27,122.92500000,129.45000000,119.02500000,120.97500000,56978913.20000000
2021-11-26,144.45000000,147.52500000,119.17500000,123.00000000,179444731.59999999
2021-11-25,126.37500000,145.50000000,125.25000000,144.37500000,151610100.30000001
2021-11-24,131.25000000,137.85000000,123.60000000,126.45000000,128867765.00000000
2021-11-23,116.92500000,132.22500000,115.65000000,131.32500000,104048764.30000000
2021-11-22,119.85000000,121.57500000,114.37500000,116.92500000,59193702.90000000
2021-11-21,124.72500000,125.02500000,119.55000000,119.85000000,40091995.60000000
2021-11-20,121.65000000,125.92500000,116.92500000,124.80000000,57718268.70000000
2021-11-19,112.12500000,121.87500000,110.85000000,121.65000000,63171530.60000000
2021-11-18,122.70000000,127.65000000,108.22500000,112.05000000,99523642.40000001
2021-11-17,116.92500000,125.55000000,111.60000000,122.77500000,85437294.70000000
2021-11-16,127.05000000,127.05000000,109.72500000,116.92500000,133099353.40000001
2021-11-15,129.60000000,132.52500000,126.60000000,127.05000000,49314398.20000000
2021-11-14,131.32500000,133.12500000,126.45000000,129.60000000,43426724.10000000
2021-11-13,128.70000000,132.82500000,127.35000000,131.25000000,45150953.80000000
2021-11-12,131.55000000,133.27500000,122.70000000,128.62500000,75687048.30000000
2021-11-11,127.42500000,134.25000000,124.80000000,131.55000000,83483387.30000000
2021-11-10,133.12500000,141.97500000,114.52500000,127.50000000,187475989.50000000
2021-11-09,141.90000000,142.12500000,131.55000000,133.12500000,182663697.50000000
2021-11-08,141.37500000,145.65000000,139.57500000,141.97500000,105927582.70000000
2021-11-07,141.30000000,143.62500000,138.82500000,141.45000000,50189890.70000000
2021-11-06,142.20000000,144.45000000,135.67500000,141.22500000,52407084.30000000
2021-11-05,143.62500000,146.25000000,139.87500000,142.20000000,62769656.50000000
2021-11-04,152.85000000,153.00000000,139.65000000,143.70000000,100166794.90000001
2021-11-03,145.42500000,161.25000000,145.27500000,152.92500000,193807414.09999999
2021-11-02,142.72500000,147.75000000,139.65000000,145.42500000,115942949.80000000
2021-11-01,145.42500000,147.82500000,137.55000000,142.65000000,109597754.70000000
2021-10-31,140.17500000,148.80000000,134.40000000,145.42500000,142641786.09999999
2021-10-30,151.65000000,152.10000000,136.95000000,140.17500000,133509266.00000000
2021-10-29,160.05000000,166.50000000,143.92500000,151.65000000,266151399.59999999
2021-10-28,131.62500000,163.35000000,131.62500000,160.05000000,411270337.69999999
2021-10-27,130.05000000,145.42500000,120.00000000,131.77500000,404527907.50000000
2021-10-26,125.55000000,139.35000000,124.20000000,130.05000000,220852197.59999999
2021-10-25,117.82500000,126.15000000,117.15000000,125.47500000,108512793.80000000
2021-10-24,123.00000000,123.37500000,114.37500000,117.82500000,110034818.50000000
2021-10-23,113.85000000,125.77500000,112.27500000,123.07500000,167979804.59999999
2021-10-22,112.80000000,118.35000000,111.82500000,113.77500000,105142554.40000001
2021-10-21,115.05000000,122.32500000,110.92500000,112.87500000,136960924.80000001
2021-10-20,110.32500000,116.17500000,108.37500000,115.05000000,104789299.40000001
2021-10-19,111.00000000,114.37500000,107.62500000,110.40000000,82095015.50000000
2021-10-18,109.27500000,121.35000000,108.15000000,110.92500000,196488722.50000000
2021-10-17,113.02500000,116.17500000,105.52500000,109.27500000,97437722.59999999
2021-10-16,119.55000000,120.37500000,111.60000000,113.02500000,195439941.90000001
2021-10-15,94.80000000,122.55000000,92.55000000,119.55000000,726029359.10000002
2021-10-14,93.07500000,96.75000000,92.10000000,94.80000000,67744720.00000000
2021-10-13,91.72500000,94.72500000,89.10000000,93.07500000,70321411.80000000
