Date,Open,High,Low,Close,Volume
2020-10-23,211.95000000,212.32500000,201.15000000,205.80000000,43778.40700000
2020-10-22,239.32500000,241.05000000,203.92500000,211.95000000,231969.21000000
2020-10-21,258.45000000,258.82500000,221.85000000,239.70000000,129110.00000000
2020-10-20,246.67500000,272.62500000,244.50000000,258.82500000,39055.65700000
2020-10-19,263.17500000,264.52500000,245.77500000,246.67500000,43183.06200000
2020-10-18,282.07500000,283.95000000,262.05000000,262.35000000,37962.98500000
2020-10-17,285.00000000,288.07500000,281.85000000,283.20000000,3228.21200000
2020-10-16,312.22500000,312.82500000,281.40000000,285.75000000,18144.99000000
2020-10-15,306.52500000,313.95000000,304.27500000,312.67500000,5870.74500000
2020-10-14,318.45000000,320.55000000,306.52500000,306.52500000,4686.60500000
2020-10-13,325.20000000,327.37500000,313.95000000,319.27500000,6375.98700000
2020-10-12,316.57500000,327.45000000,310.12500000,324.82500000,8599.10200000
2020-10-11,318.15000000,324.15000000,300.07500000,316.95000000,4906.12000000
2020-10-10,317.77500000,327.30000000,312.82500000,318.15000000,5600.65500000
2020-10-09,308.17500000,318.37500000,305.85000000,318.37500000,6012.88800000
2020-10-08,303.22500000,310.72500000,297.00000000,309.30000000,4696.22400000
2020-10-07,303.82500000,305.32500000,299.70000000,302.92500000,2986.48600000
2020-10-06,310.35000000,310.42500000,301.12500000,305.17500000,4569.49500000
2020-10-05,312.37500000,314.02500000,308.77500000,310.35000000,2761.64200000
2020-10-04,307.05000000,312.37500000,301.12500000,312.30000000,4805.78200000
2020-10-03,307.35000000,310.95000000,306.97500000,308.32500000,3229.58500000
2020-10-02,311.32500000,311.32500000,301.12500000,307.42500000,5451.97800000
2020-10-01,314.77500000,320.55000000,304.42500000,311.32500000,6324.48900000
2020-09-30,319.72500000,322.20000000,311.77500000,314.77500000,6597.40600000
2020-09-29,313.05000000,322.57500000,312.52500000,319.72500000,6367.89000000
2020-09-28,321.37500000,324.97500000,314.25000000,315.90000000,5346.30900000
2020-09-27,317.70000000,321.97500000,312.52500000,318.60000000,5795.37900000
2020-09-26,325.35000000,326.70000000,313.20000000,317.70000000,8971.07900000
2020-09-25,321.37500000,326.55000000,315.22500000,323.77500000,8984.01800000
2020-09-24,305.02500000,321.30000000,305.02500000,321.30000000,6996.42500000
2020-09-23,322.12500000,322.12500000,303.30000000,305.02500000,9019.49800000
2020-09-22,321.00000000,326.10000000,319.42500000,322.12500000,6517.82600000
2020-09-21,336.82500000,340.80000000,308.92500000,321.45000000,17098.40800000
2020-09-20,345.07500000,345.07500000,329.40000000,336.60000000,16903.67800000
2020-09-19,339.60000000,348.67500000,338.25000000,345.00000000,10575.98300000
2020-09-18,342.97500000,350.25000000,339.07500000,340.95000000,21330.18900000
2020-09-17,348.75000000,352.35000000,336.82500000,342.75000000,8342.25800000
2020-09-16,347.85000000,354.15000000,343.27500000,348.75000000,10048.23000000
2020-09-15,349.20000000,360.00000000,342.00000000,347.92500000,23028.31300000
2020-09-14,330.97500000,351.00000000,327.37500000,349.20000000,53648.79500000
2020-09-13,338.17500000,341.32500000,326.02500000,330.97500000,15436.57000000
2020-09-12,331.72500000,338.77500000,328.35000000,338.25000000,35960.38700000
2020-09-11,313.87500000,343.87500000,306.67500000,332.92500000,97555.67600000
2020-09-10,312.37500000,318.07500000,309.07500000,312.22500000,29817.95500000
2020-09-09,307.20000000,316.72500000,303.37500000,312.30000000,11283.04700000
2020-09-08,314.02500000,314.47500000,296.10000000,307.20000000,19592.09700000
2020-09-07,319.20000000,321.67500000,296.32500000,312.52500000,22535.95300000
2020-09-06,309.97500000,322.50000000,304.50000000,320.17500000,39798.52100000
2020-09-05,320.47500000,326.32500000,302.17500000,310.72500000,36671.80900000
2020-09-04,309.45000000,332.25000000,306.07500000,320.17500000,137171.20700000
2020-09-03,427.87500000,427.87500000,306.82500000,308.17500000,422388.38300000
2020-09-02,455.02500000,461.02500000,421.35000000,427.87500000,45609.99900000
2020-09-01,441.22500000,459.22500000,433.65000000,453.75000000,96490.82100000
2020-08-31,440.17500000,450.75000000,437.32500000,441.22500000,89086.22400000
2020-08-30,429.82500000,441.82500000,427.95000000,440.17500000,57191.41500000
2020-08-29,427.05000000,431.55000000,423.75000000,429.52500000,34663.98100000
2020-08-28,417.67500000,428.92500000,416.10000000,427.05000000,34984.69000000
2020-08-27,418.72500000,427.42500000,411.60000000,417.07500000,35966.75700000
2020-08-26,416.55000000,423.45000000,413.70000000,419.62500000,24626.61200000
2020-08-25,432.30000000,439.12500000,409.72500000,416.55000000,47079.93000000
2020-08-24,420.97500000,441.75000000,418.20000000,432.30000000,43746.06600000
2020-08-23,419.25000000,437.02500000,413.25000000,420.97500000,61281.98600000
2020-08-22,418.35000000,422.32500000,410.10000000,419.10000000,38435.72800000
2020-08-21,414.00000000,442.35000000,408.52500000,416.55000000,147101.17800000
