Date,Open,High,Low,Close,Volume
2021-11-28,7.13850000,7.19625000,6.65625000,7.18725000,161378816.69999999
2021-11-27,6.41100000,8.91000000,6.30075000,7.13775000,728151972.89999998
2021-11-26,7.44975000,7.55400000,6.19575000,6.40575000,267368237.50000000
2021-11-25,8.14350000,8.92500000,7.03650000,7.44900000,761294037.70000005
2021-11-24,6.58650000,10.37100000,6.57000000,8.14950000,2008793741.70000005
2021-11-23,6.10050000,7.76925000,6.01650000,6.58575000,787037391.39999998
2021-11-22,6.87375000,7.99950000,6.04350000,6.10200000,744201945.10000002
2021-11-21,11.05575000,12.95250000,6.86100000,6.87750000,1999691231.29999995
2021-11-20,4.32825000,14.06250000,4.32825000,11.04300000,7976983614.10000038
2021-11-19,3.43125000,5.00550000,3.31125000,4.33500000,1468796313.20000005
2021-11-18,3.86700000,3.90900000,3.34725000,3.41700000,147621911.80000001
2021-11-17,4.17825000,4.24350000,3.81900000,3.87000000,261242538.50000000
2021-11-16,4.54575000,5.50875000,4.16325000,4.18650000,1085028754.20000005
2021-11-15,3.86775000,6.07275000,3.82050000,4.54125000,1269242769.59999990
2021-11-14,3.85500000,3.95250000,3.70650000,3.86400000,56350746.00000000
2021-11-13,3.68025000,3.92925000,3.60075000,3.85425000,64644271.60000000
2021-11-12,3.75825000,3.82425000,3.56250000,3.68025000,53319421.30000000
2021-11-11,3.69900000,3.94875000,3.61200000,3.75825000,48312086.70000000
2021-11-10,3.91200000,4.01175000,3.51000000,3.69900000,77565220.20000000
2021-11-09,3.96900000,4.05000000,3.87900000,3.90675000,47976696.90000000
2021-11-08,3.90900000,4.01175000,3.87150000,3.97275000,39085811.20000000
2021-11-07,3.79425000,4.04250000,3.76950000,3.90750000,56645914.40000000
2021-11-06,3.81900000,3.85275000,3.69750000,3.79275000,27073938.20000000
2021-11-05,3.97350000,4.03125000,3.78525000,3.82350000,35575108.00000000
2021-11-04,4.15725000,4.32075000,3.91950000,3.97425000,83599735.09999999
2021-11-03,3.96825000,4.35000000,3.86250000,4.15575000,110080602.00000000
2021-11-02,3.86250000,4.05000000,3.79575000,3.96825000,61582313.00000000
2021-11-01,3.74775000,4.03500000,3.68250000,3.86775000,84068132.30000000
2021-10-31,3.86100000,4.06125000,3.68625000,3.74550000,89417942.90000001
2021-10-30,3.59400000,4.03125000,3.48450000,3.86025000,187229469.90000001
2021-10-29,3.47775000,3.81225000,3.45000000,3.59325000,71946802.09999999
2021-10-28,3.34200000,3.81750000,3.28350000,3.47775000,80927416.40000001
2021-10-27,3.75450000,3.88125000,3.30000000,3.34425000,64797476.90000000
2021-10-26,3.77325000,3.88725000,3.69000000,3.74850000,47053637.40000000
2021-10-25,3.67425000,3.81750000,3.65550000,3.77325000,32463065.00000000
2021-10-24,3.81825000,3.84525000,3.60750000,3.67500000,38386466.40000000
2021-10-23,3.78600000,3.90000000,3.75375000,3.81675000,30578241.40000000
2021-10-22,3.84600000,3.93000000,3.70275000,3.78675000,40084784.60000000
2021-10-21,3.98625000,4.02300000,3.83400000,3.84600000,47345587.40000000
