Date,Open,High,Low,Close,Volume
2021-11-28,231900.00000000,232500.00000000,219150.00000000,225225.00000000,1094.25340000
2021-11-27,232200.00000000,240000.00000000,226200.00000000,231900.00000000,1720.06390000
2021-11-26,247875.00000000,256275.00000000,220650.00000000,232275.00000000,4204.70200000
2021-11-25,232125.00000000,258750.00000000,230400.00000000,247800.00000000,5646.16710000
2021-11-24,228300.00000000,237750.00000000,221550.00000000,232275.00000000,3680.60550000
2021-11-23,213900.00000000,232350.00000000,212325.00000000,228300.00000000,2735.06210000
2021-11-22,221175.00000000,224250.00000000,211950.00000000,214050.00000000,1447.34400000
2021-11-21,234450.00000000,235800.00000000,219825.00000000,221100.00000000,1788.01830000
2021-11-20,221250.00000000,234750.00000000,219750.00000000,234525.00000000,2053.98650000
2021-11-19,210375.00000000,225150.00000000,207975.00000000,221100.00000000,1932.40210000
2021-11-18,210375.00000000,245700.00000000,200250.00000000,210225.00000000,9018.14650000
2021-11-17,210825.00000000,212100.00000000,199650.00000000,210375.00000000,2854.85520000
2021-11-16,226650.00000000,226650.00000000,203325.00000000,210900.00000000,2680.75170000
2021-11-15,228750.00000000,236925.00000000,222750.00000000,226500.00000000,2936.17370000
2021-11-14,233850.00000000,239550.00000000,219675.00000000,228750.00000000,2358.61420000
2021-11-13,215850.00000000,239250.00000000,215850.00000000,234075.00000000,5384.72000000
2021-11-12,224325.00000000,225750.00000000,209175.00000000,215850.00000000,2803.84950000
2021-11-11,221775.00000000,230925.00000000,217500.00000000,224400.00000000,3064.29920000
2021-11-10,235125.00000000,240975.00000000,208275.00000000,221850.00000000,3962.45300000
2021-11-09,247500.00000000,247725.00000000,232200.00000000,235125.00000000,3138.27310000
2021-11-08,222900.00000000,258450.00000000,221475.00000000,247500.00000000,9534.00620000
2021-11-07,227025.00000000,229950.00000000,218325.00000000,222900.00000000,3016.13600000
2021-11-06,220950.00000000,232200.00000000,210225.00000000,227025.00000000,5435.55050000
2021-11-05,225825.00000000,227175.00000000,214350.00000000,221025.00000000,4584.17360000
2021-11-04,241350.00000000,243075.00000000,216000.00000000,225975.00000000,8659.26590000
2021-11-03,210000.00000000,271950.00000000,209550.00000000,241200.00000000,38712.72310000
2021-11-02,183900.00000000,219750.00000000,182175.00000000,210000.00000000,12116.11840000
2021-11-01,181650.00000000,190650.00000000,176100.00000000,183825.00000000,5480.06890000
2021-10-31,178500.00000000,181800.00000000,174375.00000000,181650.00000000,3518.18570000
