Date,Open,High,Low,Close,Volume
2021-11-28,7582.50000000,7590.00000000,7260.00000000,7447.50000000,3301.21000000
2021-11-27,7545.00000000,7950.00000000,7515.00000000,7582.50000000,8918.89800000
2021-11-26,8317.50000000,8452.50000000,7365.00000000,7530.00000000,13225.72500000
2021-11-25,7860.00000000,8325.00000000,7830.00000000,8317.50000000,7223.17400000
2021-11-24,8265.00000000,8272.50000000,7755.00000000,7852.50000000,7962.63000000
2021-11-23,8145.00000000,8355.00000000,8025.00000000,8250.00000000,4820.66700000
2021-11-22,8595.00000000,8602.50000000,8122.50000000,8145.00000000,6205.61000000
2021-11-21,8715.00000000,8827.50000000,8572.50000000,8610.00000000,7415.15800000
2021-11-20,8437.50000000,9750.00000000,8430.00000000,8715.00000000,20791.60100000
2021-11-19,7912.50000000,8917.50000000,7740.00000000,8430.00000000,18474.42500000
2021-11-18,8550.00000000,8895.00000000,7845.00000000,7897.50000000,10650.70800000
2021-11-17,8730.00000000,8955.00000000,8362.50000000,8550.00000000,9122.18000000
2021-11-16,9622.50000000,9622.50000000,8632.50000000,8737.50000000,10122.44400000
2021-11-15,9675.00000000,9900.00000000,9480.00000000,9630.00000000,8661.79500000
2021-11-14,9802.50000000,9847.50000000,9577.50000000,9675.00000000,2721.94500000
2021-11-13,9652.50000000,9930.00000000,9637.50000000,9817.50000000,5400.74300000
2021-11-12,9817.50000000,10012.50000000,9397.50000000,9652.50000000,12913.37300000
2021-11-11,9750.00000000,9930.00000000,9615.00000000,9825.00000000,7172.27100000
2021-11-10,10515.00000000,10590.00000000,9645.00000000,9750.00000000,13719.52500000
2021-11-09,10080.00000000,11100.00000000,10050.00000000,10515.00000000,14682.19000000
2021-11-08,10005.00000000,10402.50000000,9952.50000000,10095.00000000,8203.83500000
2021-11-07,10042.50000000,10110.00000000,9922.50000000,9982.50000000,4998.28700000
2021-11-06,10117.50000000,10147.50000000,9877.50000000,10042.50000000,4925.40100000
2021-11-05,10447.50000000,10500.00000000,9990.00000000,10147.50000000,8349.45100000
2021-11-04,9945.00000000,10702.50000000,9937.50000000,10440.00000000,20381.22200000
2021-11-03,10057.50000000,10237.50000000,9862.50000000,9945.00000000,10419.34300000
2021-11-02,9847.50000000,10575.00000000,9772.50000000,10050.00000000,15427.78500000
2021-11-01,9847.50000000,10095.00000000,9765.00000000,9847.50000000,6922.92500000
2021-10-31,9697.50000000,9975.00000000,9630.00000000,9840.00000000,10655.28500000
2021-10-30,10110.00000000,10132.50000000,9622.50000000,9690.00000000,10064.17900000
2021-10-29,9840.00000000,10350.00000000,9795.00000000,10095.00000000,9453.40300000
2021-10-28,9660.00000000,10050.00000000,9525.00000000,9840.00000000,10266.77800000
2021-10-27,10312.50000000,10725.00000000,9660.00000000,9667.50000000,19262.87800000
2021-10-26,10620.00000000,10800.00000000,10267.50000000,10312.50000000,9361.12700000
2021-10-25,10177.50000000,10755.00000000,10155.00000000,10620.00000000,12481.45600000
