Date,Open,High,Low,Close,Volume
2021-11-28,367.35000000,367.65000000,348.60000000,359.02500000,239841.90000000
2021-11-27,361.87500000,378.22500000,356.85000000,368.02500000,671546.40000000
2021-11-26,397.50000000,398.85000000,357.07500000,362.55000000,1139458.70000000
2021-11-25,383.10000000,406.05000000,377.25000000,397.42500000,907200.40000000
2021-11-24,407.77500000,410.47500000,378.75000000,382.95000000,846728.20000000
2021-11-23,391.80000000,412.87500000,385.12500000,407.47500000,896904.10000000
2021-11-22,404.77500000,404.92500000,384.22500000,391.35000000,909884.70000000
2021-11-21,416.62500000,422.17500000,399.22500000,404.32500000,951447.90000000
2021-11-20,420.07500000,426.00000000,403.35000000,416.62500000,805819.20000000
2021-11-19,405.60000000,432.60000000,390.07500000,420.45000000,960726.80000000
2021-11-18,446.40000000,458.92500000,395.32500000,405.45000000,1817375.10000000
2021-11-17,444.75000000,475.50000000,419.85000000,446.55000000,1985341.90000000
2021-11-16,462.00000000,495.00000000,401.32500000,444.75000000,4776055.40000000
2021-11-15,435.97500000,498.00000000,429.00000000,462.22500000,4161747.00000000
2021-11-14,434.55000000,438.07500000,422.55000000,435.07500000,735884.40000000
2021-11-13,443.47500000,454.50000000,427.65000000,434.17500000,1592547.30000000
2021-11-12,423.90000000,453.00000000,416.25000000,443.47500000,1358560.70000000
2021-11-11,429.52500000,437.77500000,413.47500000,424.27500000,916035.30000000
2021-11-10,439.95000000,457.50000000,404.85000000,430.20000000,1291313.30000000
2021-11-09,446.10000000,455.62500000,434.62500000,440.32500000,1044156.10000000
2021-11-08,426.15000000,448.20000000,424.65000000,444.60000000,1096622.80000000
2021-11-07,427.27500000,434.77500000,422.70000000,426.37500000,615813.30000000
2021-11-06,427.80000000,433.50000000,412.50000000,427.80000000,582814.00000000
2021-11-05,434.25000000,444.37500000,425.25000000,428.10000000,579454.50000000
2021-11-04,451.42500000,457.50000000,424.50000000,434.55000000,1252058.00000000
2021-11-03,459.30000000,480.00000000,441.30000000,451.80000000,1543587.60000000
2021-11-02,452.62500000,470.25000000,445.65000000,459.60000000,1171260.80000000
2021-11-01,467.40000000,469.12500000,437.47500000,452.62500000,1120408.90000000
2021-10-31,432.82500000,487.35000000,423.75000000,467.47500000,3087232.60000000
2021-10-30,441.45000000,562.50000000,407.32500000,433.05000000,11370209.00000000
2021-10-29,385.12500000,461.62500000,384.37500000,441.60000000,2834390.20000000
2021-10-28,377.55000000,405.00000000,371.55000000,385.65000000,751546.30000000
2021-10-27,409.57500000,422.92500000,375.00000000,377.25000000,1089388.00000000
2021-10-26,422.47500000,444.52500000,409.12500000,409.57500000,1371378.00000000
2021-10-25,399.97500000,426.00000000,399.90000000,422.47500000,637071.30000000
2021-10-24,410.10000000,418.57500000,390.60000000,400.27500000,540552.20000000
2021-10-23,404.25000000,411.00000000,397.65000000,410.02500000,347514.60000000
2021-10-22,398.02500000,428.25000000,396.22500000,404.25000000,701657.60000000
2021-10-21,414.22500000,427.50000000,394.12500000,398.47500000,942042.90000000
2021-10-20,390.22500000,415.50000000,385.87500000,414.15000000,784334.10000000
2021-10-19,394.12500000,402.52500000,382.50000000,390.30000000,839286.40000000
2021-10-18,404.92500000,406.72500000,384.15000000,393.97500000,991993.50000000
2021-10-17,403.80000000,415.95000000,378.45000000,404.32500000,805519.60000000
2021-10-16,404.62500000,427.50000000,399.90000000,403.87500000,1018504.00000000
2021-10-15,400.72500000,432.00000000,394.80000000,404.70000000,1247452.10000000
2021-10-14,393.60000000,410.10000000,391.12500000,400.80000000,550145.80000000
2021-10-13,382.72500000,400.12500000,369.30000000,393.60000000,557926.90000000
2021-10-12,390.67500000,390.90000000,365.17500000,382.05000000,1002990.90000000
2021-10-11,393.75000000,410.25000000,383.10000000,390.67500000,519271.80000000
2021-10-10,413.47500000,429.00000000,391.05000000,394.27500000,983880.90000000
2021-10-09,401.62500000,429.37500000,394.50000000,413.47500000,767707.50000000
2021-10-08,401.02500000,412.35000000,399.00000000,401.62500000,536395.90000000
2021-10-07,404.47500000,418.35000000,390.00000000,400.80000000,804015.30000000
2021-10-06,417.30000000,417.82500000,378.00000000,404.47500000,1408364.90000000
