Date,Open,High,Low,Close,Volume
2021-11-28,2814.00000000,2834.25000000,2702.25000000,2775.00000000,121052.98000000
2021-11-27,2787.00000000,2885.25000000,2773.50000000,2814.75000000,280070.17000000
2021-11-26,3087.00000000,3096.75000000,2711.25000000,2785.50000000,702754.17000000
2021-11-25,2936.25000000,3118.50000000,2911.50000000,3085.50000000,410870.80000000
2021-11-24,3023.25000000,3063.75000000,2869.50000000,2936.25000000,355840.80000000
2021-11-23,3017.25000000,3054.00000000,2944.50000000,3021.00000000,348857.15000000
2021-11-22,3117.75000000,3142.50000000,2966.25000000,3017.25000000,412060.64000000
2021-11-21,3156.00000000,3208.50000000,3096.00000000,3117.75000000,305851.24000000
2021-11-20,3114.00000000,3175.50000000,3021.00000000,3156.00000000,313557.90000000
2021-11-19,2986.50000000,3131.25000000,2945.25000000,3113.25000000,314662.71000000
2021-11-18,3243.75000000,3273.75000000,2877.75000000,2988.00000000,534548.74000000
2021-11-17,3210.75000000,3270.00000000,3087.00000000,3246.00000000,410910.53000000
2021-11-16,3531.00000000,3532.50000000,3027.00000000,3212.25000000,863435.88000000
2021-11-15,3638.25000000,3689.25000000,3510.00000000,3530.25000000,383132.69000000
2021-11-14,3681.75000000,3712.50000000,3535.50000000,3636.00000000,271460.41000000
2021-11-13,3548.25000000,3736.50000000,3500.25000000,3678.75000000,408224.26000000
2021-11-12,3640.50000000,3674.25000000,3422.25000000,3548.25000000,504107.79000000
2021-11-11,3613.50000000,3758.25000000,3540.75000000,3639.00000000,588882.98000000
2021-11-10,3942.75000000,3984.75000000,3397.50000000,3616.50000000,1157109.48000000
2021-11-09,3797.25000000,4012.50000000,3747.00000000,3940.50000000,1332611.60000000
2021-11-08,3475.50000000,3816.00000000,3433.50000000,3794.25000000,1079625.43000000
2021-11-07,3375.00000000,3476.25000000,3349.50000000,3474.75000000,335557.29000000
2021-11-06,3387.00000000,3423.75000000,3191.25000000,3375.00000000,382743.48000000
2021-11-05,3480.00000000,3483.75000000,3349.50000000,3387.75000000,318537.76000000
2021-11-04,3524.25000000,3598.50000000,3378.75000000,3480.00000000,498194.47000000
2021-11-03,3479.25000000,3566.25000000,3341.25000000,3524.25000000,665616.10000000
2021-11-02,3390.75000000,3498.00000000,3358.50000000,3479.25000000,468773.12000000
2021-11-01,3352.50000000,3600.00000000,3159.75000000,3388.50000000,914739.54000000
2021-10-31,3193.50000000,3495.00000000,3175.50000000,3350.25000000,912995.92000000
2021-10-30,3243.00000000,3252.00000000,3093.00000000,3192.75000000,349466.50000000
2021-10-29,3102.00000000,3246.00000000,3073.50000000,3246.00000000,328046.23000000
2021-10-28,2943.75000000,3173.25000000,2933.25000000,3099.75000000,476136.85000000
2021-10-27,3329.25000000,3393.00000000,2768.25000000,2942.25000000,953876.04000000
2021-10-26,3341.25000000,3404.25000000,3292.50000000,3327.75000000,416247.74000000
2021-10-25,3282.75000000,3375.00000000,3260.25000000,3341.25000000,300866.70000000
2021-10-24,3355.50000000,3386.25000000,3204.00000000,3284.25000000,299592.20000000
2021-10-23,3333.00000000,3389.25000000,3278.25000000,3355.50000000,244953.54000000
2021-10-22,3377.25000000,3463.50000000,3265.50000000,3330.00000000,375800.50000000
2021-10-21,3413.25000000,3551.25000000,3295.50000000,3375.75000000,551417.66000000
2021-10-20,3220.50000000,3448.50000000,3189.00000000,3413.25000000,541541.95000000
2021-10-19,3220.50000000,3280.50000000,3183.00000000,3218.25000000,259046.72000000
2021-10-18,3244.50000000,3271.50000000,3150.00000000,3220.50000000,277418.65000000
2021-10-17,3336.75000000,3359.25000000,3114.75000000,3244.50000000,320617.32000000
2021-10-16,3354.00000000,3419.25000000,3302.25000000,3336.75000000,281576.87000000
2021-10-15,3368.25000000,3426.75000000,3246.75000000,3354.75000000,467520.93000000
2021-10-14,3366.00000000,3447.75000000,3324.75000000,3368.25000000,334141.69000000
2021-10-13,3323.25000000,3372.00000000,3219.75000000,3362.25000000,373868.40000000
2021-10-12,3384.00000000,3384.75000000,3146.25000000,3321.00000000,432329.86000000
2021-10-11,3396.75000000,3528.00000000,3286.50000000,3384.00000000,381943.87000000
2021-10-10,3653.25000000,3654.75000000,3384.00000000,3398.25000000,385177.53000000
2021-10-09,3512.25000000,3750.00000000,3465.00000000,3655.50000000,694695.33000000
2021-10-08,3456.00000000,3608.25000000,3404.25000000,3511.50000000,498656.42000000
2021-10-07,3474.00000000,3555.00000000,3368.25000000,3456.00000000,554980.93000000
2021-10-06,3512.25000000,3609.00000000,3266.25000000,3474.00000000,874521.74000000
2021-10-05,3226.50000000,3600.75000000,3207.75000000,3510.75000000,1136199.06000000
2021-10-04,3335.25000000,3376.50000000,3106.50000000,3225.75000000,490461.03000000
2021-10-03,3175.50000000,3454.50000000,3098.25000000,3335.25000000,765653.41000000
2021-10-02,3177.00000000,3268.50000000,3122.25000000,3174.75000000,449701.53000000
2021-10-01,2942.25000000,3184.50000000,2916.00000000,3177.75000000,612956.66000000
2021-09-30,2781.75000000,2948.25000000,2766.00000000,2943.75000000,445317.00000000
2021-09-29,2694.00000000,2932.50000000,2667.75000000,2781.00000000,536794.19300000
2021-09-28,2808.75000000,2859.00000000,2680.50000000,2694.75000000,378222.26000000
