Date,Open,High,Low,Close,Volume
2021-04-05,0.53501250,0.55124250,0.52500000,0.52725750,2686146813.00000000
2021-04-04,0.53780250,0.59625000,0.52595250,0.53535000,21119807538.00000000
2021-04-03,0.52788750,0.64050000,0.49026000,0.53780250,37802666592.00000000
2021-04-02,0.55652250,0.58125000,0.50773500,0.52726500,10874294765.00000000
2021-04-01,0.59481750,0.60000000,0.53020500,0.55651500,13757250190.00000000
2021-03-31,0.56202750,0.68189250,0.54660000,0.59480250,31671791027.00000000
2021-03-30,0.55878000,0.60536250,0.53917500,0.56192250,16236872196.00000000
2021-03-29,0.56061750,0.60000000,0.51601500,0.55998000,14733299053.00000000
2021-03-28,0.59715000,0.60741750,0.54378750,0.56059500,10754469064.00000000
2021-03-27,0.61600500,0.62437500,0.58354500,0.59709000,11084740633.00000000
2021-03-26,0.59622750,0.63457500,0.57861000,0.61616250,15141371867.00000000
2021-03-25,0.56177250,0.63750000,0.53373000,0.59642250,32397882253.00000000
2021-03-24,0.46844250,0.65250000,0.46435500,0.56249250,44441873237.00000000
2021-03-23,0.50262000,0.52500000,0.43629000,0.46844250,13961612518.00000000
2021-03-22,0.55272750,0.56250000,0.48987750,0.50223750,18290271479.00000000
2021-03-21,0.45759000,0.59166000,0.45225000,0.55273500,24859045069.00000000
2021-03-20,0.42439500,0.59925000,0.42380250,0.45759000,54833338951.00000000
2021-03-19,0.28027500,0.44811750,0.27945000,0.42364500,51731850339.00000000
2021-03-18,0.25998000,0.29250000,0.24825000,0.28027500,10707245872.00000000
2021-03-17,0.26440500,0.26532000,0.23250000,0.26002500,8916342231.00000000
2021-03-16,0.25569000,0.26652750,0.23715000,0.26440500,10320404802.00000000
2021-03-15,0.28162500,0.29737500,0.24375000,0.25569750,15771444563.00000000
2021-03-14,0.25803750,0.33600000,0.23325000,0.28162500,43640525839.00000000
2021-03-13,0.16596000,0.31125000,0.16427250,0.25803750,71879022368.00000000
2021-03-12,0.17678250,0.17846250,0.15927750,0.16634250,7369768035.00000000
2021-03-11,0.17931000,0.17999250,0.16500000,0.17677500,8280151965.00000000
2021-03-10,0.16983000,0.19908750,0.16690500,0.17930250,17422057910.00000000
2021-03-09,0.15057000,0.19571250,0.14850000,0.16983000,17294258268.00000000
2021-03-08,0.15341250,0.15555000,0.14570250,0.15057000,6226789358.00000000
2021-03-07,0.15216000,0.15600000,0.14929500,0.15341250,4034982542.00000000
2021-03-06,0.14587500,0.15750000,0.14250000,0.15216000,6629883001.00000000
2021-03-05,0.14819250,0.14871750,0.13680000,0.14587500,4738058518.00000000
2021-03-04,0.15745500,0.16044000,0.14250000,0.14819250,5255898420.00000000
2021-03-03,0.15184500,0.15862500,0.14850000,0.15804000,5566921059.00000000
2021-03-02,0.15585750,0.16487250,0.13889250,0.15186000,8688349978.00000000
2021-03-01,0.13827000,0.15899250,0.13465500,0.15594000,11521696874.00000000
2021-02-28,0.15510000,0.15742500,0.12442500,0.13815000,10137766010.00000000
2021-02-27,0.16368000,0.16950000,0.15224250,0.15450000,6018473675.00000000
2021-02-26,0.16499250,0.18000750,0.14625000,0.16368000,10303799197.00000000
2021-02-25,0.18621000,0.19000500,0.16295250,0.16499250,9134277866.00000000
2021-02-24,0.19235250,0.21000000,0.17407500,0.18660000,16735927625.00000000
2021-02-23,0.23092500,0.23626500,0.13914000,0.19315500,34267642893.00000000
2021-02-22,0.18187500,0.25500000,0.15750000,0.23094750,50675383231.00000000
2021-02-21,0.13514250,0.22242750,0.12515250,0.18190500,61499074522.00000000
2021-02-20,0.10321500,0.15599250,0.10020000,0.13515000,40408170655.00000000
2021-02-19,0.09122250,0.13088250,0.08925000,0.10374000,23890721990.00000000
2021-02-18,0.08441250,0.09723750,0.08152500,0.09121500,12217441193.00000000
2021-02-17,0.07252500,0.10107000,0.06888000,0.08441250,29240773990.00000000
