Date,Open,High,Low,Close,Volume
2021-11-28,609.45000000,612.52500000,571.95000000,592.87500000,4004678.90000000
2021-11-27,599.47500000,620.25000000,596.32500000,609.45000000,5428275.90000000
2021-11-26,667.05000000,669.82500000,586.12500000,599.47500000,16366841.10000000
2021-11-25,648.37500000,682.87500000,640.27500000,666.75000000,8614577.80000000
2021-11-24,699.22500000,702.15000000,639.45000000,648.45000000,9683102.20000000
2021-11-23,681.75000000,707.92500000,674.55000000,699.45000000,9555377.90000000
2021-11-22,712.65000000,714.37500000,672.22500000,681.67500000,10542140.00000000
2021-11-21,742.65000000,743.40000000,709.72500000,712.42500000,10355749.70000000
2021-11-20,761.32500000,762.45000000,716.92500000,742.50000000,10130159.00000000
2021-11-19,679.42500000,796.42500000,666.22500000,761.32500000,26961583.90000000
2021-11-18,779.02500000,779.25000000,658.72500000,679.35000000,17777615.60000000
2021-11-17,772.57500000,820.50000000,756.75000000,779.02500000,24199738.10000000
2021-11-16,837.97500000,838.12500000,695.25000000,772.57500000,25660875.40000000
2021-11-15,887.85000000,889.20000000,833.32500000,838.05000000,10358733.20000000
2021-11-14,914.25000000,915.37500000,864.45000000,887.62500000,8723053.70000000
2021-11-13,978.07500000,995.55000000,879.07500000,914.25000000,16937145.80000000
2021-11-12,1305.22500000,1313.10000000,915.00000000,978.15000000,76354997.09999999
2021-11-11,1140.52500000,1477.50000000,1131.60000000,1305.22500000,44948939.70000000
2021-11-10,1230.07500000,1311.75000000,1104.30000000,1140.60000000,21988882.00000000
2021-11-09,1312.20000000,1351.72500000,1194.97500000,1230.00000000,28701093.60000000
2021-11-08,1234.57500000,1343.77500000,1167.00000000,1312.72500000,20327063.30000000
2021-11-07,1251.22500000,1324.95000000,1220.10000000,1234.65000000,13000539.80000000
2021-11-06,1286.92500000,1287.75000000,1181.25000000,1250.62500000,13153726.60000000
2021-11-05,1441.20000000,1509.30000000,1251.82500000,1286.92500000,32188545.43000000
2021-11-04,1150.87500000,1441.50000000,1138.50000000,1441.20000000,35062562.62000000
2021-11-03,1110.60000000,1155.82500000,1040.77500000,1151.02500000,15875637.80000000
2021-11-02,1101.00000000,1170.60000000,1081.42500000,1110.60000000,12688496.60000000
2021-11-01,1005.75000000,1138.27500000,1000.05000000,1100.92500000,17732425.80000000
2021-10-31,1015.65000000,1026.97500000,963.00000000,1005.82500000,5740710.90000000
2021-10-30,1018.12500000,1064.32500000,985.80000000,1015.50000000,6685810.80000000
2021-10-29,990.90000000,1027.27500000,969.45000000,1017.52500000,6994749.00000000
2021-10-28,953.85000000,1002.82500000,938.70000000,990.97500000,8895615.30000000
2021-10-27,1057.27500000,1069.12500000,892.65000000,953.85000000,11834189.30000000
2021-10-26,1084.80000000,1106.77500000,1050.30000000,1057.27500000,5662600.70000000
2021-10-25,1075.20000000,1148.55000000,1060.20000000,1084.80000000,8075405.50000000
2021-10-24,1067.25000000,1108.35000000,1038.82500000,1075.27500000,7058641.80000000
2021-10-23,1062.30000000,1090.65000000,1046.55000000,1067.25000000,4738176.10000000
2021-10-22,1108.50000000,1217.55000000,1046.10000000,1062.30000000,13512918.20000000
