Date,Open,High,Low,Close,Volume
2021-11-28,563.70000000,564.52500000,531.45000000,554.02500000,162933.90000000
2021-11-27,544.65000000,575.02500000,543.37500000,564.45000000,402392.10000000
2021-11-26,618.07500000,620.85000000,528.52500000,546.22500000,719952.60000000
2021-11-25,567.60000000,628.80000000,561.00000000,618.75000000,799202.50000000
2021-11-24,588.37500000,589.27500000,555.00000000,567.30000000,1070754.10000000
2021-11-23,576.15000000,608.02500000,557.02500000,588.52500000,822695.40000000
2021-11-22,583.27500000,620.70000000,546.90000000,575.85000000,1262267.50000000
2021-11-21,585.22500000,609.75000000,575.25000000,583.50000000,556160.20000000
2021-11-20,600.15000000,645.00000000,569.32500000,585.90000000,1022936.50000000
2021-11-19,522.82500000,631.27500000,517.50000000,600.60000000,1246950.80000000
2021-11-18,542.70000000,562.87500000,492.00000000,524.32500000,991192.39200000
2021-11-17,545.70000000,553.57500000,518.55000000,542.40000000,678781.10000000
2021-11-16,589.65000000,590.02500000,530.17500000,546.82500000,1064968.50000000
2021-11-15,623.77500000,629.10000000,584.62500000,589.35000000,546300.50000000
2021-11-14,610.42500000,630.00000000,596.92500000,622.95000000,682248.70000000
2021-11-13,613.12500000,640.50000000,594.60000000,610.42500000,559209.80000000
2021-11-12,631.35000000,641.25000000,584.10000000,613.72500000,748118.60000000
2021-11-11,630.90000000,648.90000000,619.50000000,632.25000000,602752.40000000
2021-11-10,683.92500000,693.15000000,591.15000000,631.80000000,979391.10000000
2021-11-09,658.72500000,719.25000000,655.05000000,683.25000000,1532551.20000000
2021-11-08,659.02500000,675.00000000,624.15000000,657.82500000,951510.20000000
2021-11-07,617.32500000,671.25000000,600.97500000,657.97500000,884388.20000000
2021-11-06,596.62500000,622.50000000,585.00000000,617.47500000,468035.80000000
2021-11-05,592.35000000,626.47500000,585.07500000,597.15000000,710624.70000000
2021-11-04,624.82500000,630.00000000,581.62500000,592.50000000,678162.50000000
2021-11-03,590.85000000,632.25000000,579.97500000,624.67500000,1193413.90000000
2021-11-02,575.02500000,595.35000000,552.67500000,590.55000000,717490.40000000
2021-11-01,584.92500000,598.87500000,554.17500000,575.02500000,730275.70000000
2021-10-31,552.75000000,614.92500000,542.25000000,584.55000000,693970.80000000
2021-10-30,568.50000000,568.87500000,543.75000000,552.75000000,396500.40000000
2021-10-29,559.57500000,579.30000000,550.20000000,568.35000000,514977.80000000
2021-10-28,560.70000000,580.80000000,542.85000000,559.27500000,551819.80000000
2021-10-27,592.65000000,600.00000000,540.75000000,559.95000000,1013321.50000000
2021-10-26,606.00000000,622.80000000,589.95000000,592.72500000,627760.00000000
2021-10-25,594.30000000,621.37500000,590.85000000,606.00000000,352314.50000000
2021-10-24,620.25000000,622.50000000,589.12500000,594.00000000,366234.70000000
2021-10-23,609.45000000,630.00000000,596.32500000,619.95000000,505814.30000000
2021-10-22,600.52500000,637.50000000,591.45000000,609.45000000,575258.70000000
2021-10-21,606.97500000,637.50000000,591.82500000,600.45000000,804243.60000000
2021-10-20,594.15000000,634.50000000,584.77500000,606.97500000,627532.20000000
2021-10-19,590.40000000,612.52500000,571.57500000,594.45000000,453147.80000000
2021-10-18,600.22500000,608.40000000,575.62500000,590.85000000,409605.70000000
2021-10-17,594.15000000,642.37500000,583.57500000,600.22500000,1240270.40000000
2021-10-16,606.22500000,619.27500000,585.45000000,594.30000000,441738.50000000
2021-10-15,639.37500000,658.50000000,580.42500000,606.97500000,976185.30000000
2021-10-14,584.92500000,683.25000000,577.87500000,638.40000000,2108547.70000000
2021-10-13,552.97500000,589.72500000,543.75000000,584.92500000,590431.60000000
2021-10-12,565.95000000,566.10000000,528.82500000,553.35000000,509005.30000000
2021-10-11,573.37500000,601.12500000,553.50000000,566.92500000,555050.90000000
2021-10-10,593.92500000,605.85000000,570.60000000,574.05000000,491151.70000000
2021-10-09,596.55000000,612.30000000,589.65000000,593.92500000,531317.40000000
2021-10-08,620.55000000,632.47500000,591.75000000,596.25000000,745544.50000000
2021-10-07,633.00000000,646.12500000,600.00000000,619.72500000,498651.30000000
2021-10-06,637.20000000,660.97500000,598.80000000,632.10000000,704610.30000000
2021-10-05,644.85000000,672.67500000,630.75000000,637.20000000,601714.10000000
2021-10-04,653.10000000,654.75000000,604.12500000,643.35000000,828718.30000000
2021-10-03,650.55000000,709.42500000,636.00000000,653.02500000,1074334.50000000
2021-10-02,664.50000000,673.95000000,633.75000000,650.17500000,594678.80000000
2021-10-01,605.70000000,680.17500000,585.15000000,665.40000000,1018882.90000000
2021-09-30,563.32500000,631.42500000,559.72500000,605.70000000,956054.60000000
2021-09-29,558.67500000,593.70000000,548.55000000,562.95000000,699354.80000000
2021-09-28,578.62500000,603.00000000,550.42500000,558.67500000,1017108.00000000
2021-09-27,612.45000000,644.70000000,577.50000000,577.80000000,881911.40000000
2021-09-26,632.17500000,657.15000000,573.75000000,613.20000000,1761062.30000000
2021-09-25,644.32500000,658.27500000,608.17500000,632.40000000,587463.10000000
2021-09-24,720.82500000,734.25000000,595.95000000,644.55000000,1232882.40000000
2021-09-23,664.12500000,725.32500000,650.02500000,720.82500000,942822.20000000
2021-09-22,582.75000000,674.40000000,577.50000000,664.12500000,1019178.20000000
2021-09-21,653.32500000,697.50000000,569.85000000,582.15000000,1634950.30000000
2021-09-20,771.97500000,786.37500000,613.50000000,652.12500000,2363705.40000000
2021-09-19,855.00000000,863.85000000,766.50000000,770.70000000,1201745.70000000
2021-09-18,867.75000000,989.02500000,846.67500000,855.00000000,2508581.30800000
2021-09-17,787.12500000,887.02500000,765.90000000,868.27500000,2518420.60000000
2021-09-16,865.42500000,894.00000000,750.00000000,786.15000000,2560459.70000000
2021-09-15,678.00000000,913.42500000,670.87500000,865.27500000,4098528.17200000
2021-09-14,665.62500000,688.57500000,648.75000000,679.20000000,1313371.50000000
2021-09-13,722.02500000,742.50000000,634.20000000,665.47500000,1254858.20000000
2021-09-12,646.27500000,765.00000000,638.47500000,722.47500000,1634878.90000000
2021-09-11,622.65000000,698.17500000,605.47500000,646.20000000,1289809.10000000
2021-09-10,587.17500000,682.50000000,558.30000000,621.37500000,1809706.80000000
2021-09-09,596.10000000,637.50000000,574.20000000,586.65000000,964090.80000000
2021-09-08,594.90000000,675.00000000,547.50000000,596.55000000,1009257.20000000
2021-09-07,725.47500000,810.00000000,502.50000000,596.25000000,2580550.97500000
2021-09-06,718.50000000,737.25000000,686.70000000,725.47500000,967043.10000000
2021-09-05,664.65000000,729.75000000,664.20000000,718.72500000,912993.10000000
2021-09-04,663.52500000,680.25000000,656.02500000,664.05000000,598370.50000000
2021-09-03,637.57500000,684.15000000,624.75000000,662.62500000,785484.70000000
2021-09-02,670.35000000,671.17500000,630.75000000,637.57500000,719605.70000000
2021-09-01,621.45000000,674.25000000,608.32500000,669.15000000,811255.10000000
2021-08-31,652.65000000,662.02500000,612.82500000,621.75000000,1078328.20000000
2021-08-30,627.97500000,741.00000000,615.00000000,653.77500000,2552815.62600000
2021-08-29,627.15000000,662.25000000,607.50000000,628.12500000,717576.43400000
2021-08-28,636.75000000,640.20000000,607.65000000,626.62500000,391850.20000000
2021-08-27,597.75000000,651.07500000,585.90000000,636.75000000,763609.50000000
2021-08-26,671.77500000,688.35000000,584.55000000,598.42500000,852749.03700000
2021-08-25,659.47500000,690.00000000,630.00000000,672.22500000,712407.13400000
2021-08-24,712.12500000,734.25000000,644.47500000,659.55000000,890245.25900000
2021-08-23,690.00000000,730.57500000,687.75000000,712.95000000,712359.75100000
2021-08-22,706.50000000,707.32500000,662.25000000,690.60000000,778351.44000000
2021-08-21,715.12500000,737.77500000,686.32500000,706.50000000,685120.96600000
2021-08-20,733.65000000,739.87500000,695.77500000,715.05000000,1091279.23400000
2021-08-19,644.77500000,786.52500000,632.92500000,735.45000000,2393022.45800000
2021-08-18,628.27500000,675.75000000,608.62500000,644.77500000,694422.34900000
2021-08-17,644.25000000,693.67500000,622.50000000,629.62500000,1102227.72100000
2021-08-16,639.00000000,696.00000000,635.10000000,645.22500000,811493.70000000
2021-08-15,671.02500000,671.02500000,609.82500000,639.00000000,654695.42700000
2021-08-14,677.25000000,714.07500000,642.97500000,671.02500000,1107152.81500000
2021-08-13,666.22500000,727.50000000,623.02500000,676.50000000,1801433.19900000
2021-08-12,733.05000000,754.05000000,636.15000000,666.30000000,1849278.58700000
2021-08-11,755.77500000,870.00000000,691.80000000,732.75000000,4172297.22900000
2021-08-10,650.17500000,795.52500000,648.75000000,753.97500000,4347373.36800000
2021-08-09,507.30000000,724.57500000,496.05000000,648.30000000,3314842.10000000
2021-08-08,528.37500000,533.25000000,497.17500000,507.90000000,1308177.62700000
2021-08-07,491.92500000,550.20000000,487.20000000,528.37500000,949690.86100000
2021-08-06,479.85000000,508.50000000,465.00000000,491.32500000,574079.20700000
2021-08-05,462.45000000,483.60000000,449.70000000,479.85000000,443711.81700000
2021-08-04,457.42500000,479.92500000,446.92500000,463.50000000,454312.16300000
2021-08-03,496.95000000,510.00000000,448.20000000,456.82500000,846509.37400000
2021-08-02,456.97500000,500.25000000,442.57500000,496.87500000,924100.15400000
2021-08-01,453.60000000,481.12500000,447.45000000,456.60000000,1452775.64800000
2021-07-31,453.67500000,476.02500000,437.92500000,452.77500000,446038.14100000
2021-07-30,457.27500000,470.25000000,420.82500000,454.05000000,543038.41000000
2021-07-29,434.10000000,472.35000000,421.42500000,456.97500000,1449970.72900000
2021-07-28,370.65000000,456.75000000,363.67500000,434.70000000,1828448.29800000
