Date,Open,High,Low,Close,Volume
2021-11-28,1084.57500000,1088.55000000,1025.17500000,1060.12500000,578513.30000000
2021-11-27,1072.57500000,1113.90000000,1059.30000000,1085.47500000,1365703.10000000
2021-11-26,1231.05000000,1244.85000000,1035.90000000,1074.00000000,4027171.60000000
2021-11-25,1082.25000000,1285.95000000,1067.77500000,1231.72500000,5916739.40000000
2021-11-24,1103.85000000,1109.62500000,1032.15000000,1082.17500000,1244626.50000000
2021-11-23,1089.30000000,1120.12500000,1058.62500000,1104.07500000,1111614.30000000
2021-11-22,1142.10000000,1149.22500000,1084.20000000,1089.30000000,1247850.40000000
2021-11-21,1141.05000000,1211.10000000,1123.72500000,1142.32500000,1458249.40000000
2021-11-20,1110.45000000,1162.50000000,1082.77500000,1140.90000000,1037482.00000000
2021-11-19,1026.15000000,1135.50000000,995.55000000,1110.45000000,1781845.50000000
2021-11-18,1134.30000000,1164.45000000,1003.50000000,1026.15000000,1820757.70000000
2021-11-17,1135.12500000,1161.82500000,1080.97500000,1134.37500000,1645135.00000000
2021-11-16,1242.90000000,1243.05000000,1060.42500000,1135.57500000,2503744.90000000
2021-11-15,1298.25000000,1337.85000000,1238.62500000,1242.60000000,2163689.80000000
2021-11-14,1244.02500000,1359.00000000,1226.02500000,1297.65000000,4188496.70000000
2021-11-13,1211.25000000,1262.17500000,1205.62500000,1244.10000000,1149677.90000000
2021-11-12,1221.22500000,1237.50000000,1152.15000000,1211.70000000,1558988.00000000
2021-11-11,1217.40000000,1242.00000000,1192.87500000,1221.90000000,1190248.60000000
2021-11-10,1338.67500000,1351.20000000,1140.07500000,1217.92500000,2913637.60000000
2021-11-09,1278.90000000,1382.55000000,1250.32500000,1338.30000000,3405085.30000000
2021-11-08,1236.30000000,1305.15000000,1197.90000000,1278.37500000,2043270.40000000
2021-11-07,1265.62500000,1266.15000000,1219.12500000,1236.37500000,1382549.40000000
2021-11-06,1187.47500000,1348.42500000,1178.55000000,1265.62500000,5625798.80000000
2021-11-05,1190.62500000,1221.67500000,1158.75000000,1186.87500000,1432351.20000000
2021-11-04,1221.52500000,1248.75000000,1151.17500000,1189.80000000,1710353.40000000
2021-11-03,1274.25000000,1276.05000000,1144.95000000,1222.20000000,3253582.40000000
2021-11-02,1264.12500000,1357.57500000,1246.35000000,1274.10000000,4310852.30000000
2021-11-01,1188.45000000,1447.50000000,1077.22500000,1264.12500000,17178820.62600000
2021-10-31,981.52500000,1231.80000000,968.55000000,1188.45000000,9992100.00000000
2021-10-30,998.02500000,1005.00000000,950.10000000,980.85000000,1423260.50000000
2021-10-29,977.62500000,1009.65000000,956.25000000,998.77500000,1667670.50000000
2021-10-28,876.67500000,1033.20000000,873.22500000,977.47500000,2814452.40000000
2021-10-27,983.10000000,990.45000000,803.25000000,876.67500000,2524978.40000000
2021-10-26,993.45000000,1025.77500000,969.60000000,982.80000000,1473835.30000000
2021-10-25,976.95000000,1006.65000000,968.55000000,993.45000000,645509.00000000
2021-10-24,994.35000000,1006.35000000,949.05000000,976.57500000,992614.40000000
2021-10-23,962.47500000,1007.25000000,945.00000000,993.82500000,985627.20000000
2021-10-22,988.12500000,1004.77500000,942.15000000,962.02500000,2693491.60000000
2021-10-21,983.62500000,1063.72500000,973.20000000,988.87500000,2826002.90000000
2021-10-20,931.65000000,984.82500000,912.22500000,984.45000000,1147755.30000000
2021-10-19,925.05000000,948.37500000,910.42500000,931.57500000,859460.00000000
2021-10-18,935.32500000,944.55000000,907.50000000,925.27500000,822886.00000000
2021-10-17,962.85000000,972.82500000,886.42500000,934.50000000,1131371.80000000
2021-10-16,945.22500000,982.50000000,938.47500000,963.22500000,1360273.30000000
2021-10-15,993.97500000,1001.85000000,934.05000000,945.07500000,1972233.60000000
