Date,Open,High,Low,Close,Volume
2021-11-28,23902.50000000,23902.50000000,22792.50000000,23475.00000000,1426.17400000
2021-11-27,23362.50000000,26250.00000000,23332.50000000,23932.50000000,4234.29500000
2021-11-26,26055.00000000,26122.50000000,22665.00000000,23362.50000000,3576.06200000
2021-11-25,24652.50000000,26557.50000000,24472.50000000,26085.00000000,5116.73900000
2021-11-24,26197.50000000,26460.00000000,24382.50000000,24652.50000000,4927.13600000
2021-11-23,25582.50000000,26625.00000000,25087.50000000,26190.00000000,2981.26600000
2021-11-22,26317.50000000,26625.00000000,25207.50000000,25500.00000000,3245.08500000
2021-11-21,27075.00000000,27120.00000000,26212.50000000,26325.00000000,3497.55500000
2021-11-20,28095.00000000,28192.50000000,26122.50000000,27052.50000000,4134.52300000
2021-11-19,25275.00000000,28230.00000000,25155.00000000,28087.50000000,2567.16700000
2021-11-18,28035.00000000,28792.50000000,25042.50000000,25260.00000000,3326.38900000
2021-11-17,27142.50000000,28267.50000000,26407.50000000,28027.50000000,2526.59700000
2021-11-16,28650.00000000,28650.00000000,26002.50000000,27150.00000000,4353.71600000
2021-11-15,29445.00000000,29917.50000000,28500.00000000,28605.00000000,2169.29000000
2021-11-14,29475.00000000,29812.50000000,28590.00000000,29445.00000000,2981.87000000
2021-11-13,30067.50000000,30375.00000000,29100.00000000,29490.00000000,4257.88600000
2021-11-12,30465.00000000,31867.50000000,29625.00000000,30090.00000000,3873.96400000
2021-11-11,29407.50000000,30892.50000000,29265.00000000,30487.50000000,3170.40800000
2021-11-10,31222.50000000,31687.50000000,28950.00000000,29415.00000000,4715.53200000
2021-11-09,31987.50000000,32902.50000000,31050.00000000,31177.50000000,3013.48300000
2021-11-08,31245.00000000,32902.50000000,30982.50000000,31995.00000000,5143.92100000
2021-11-07,30862.50000000,31987.50000000,30375.00000000,31207.50000000,3218.88000000
2021-11-06,31200.00000000,31365.00000000,30127.50000000,30862.50000000,2898.32200000
2021-11-05,32572.50000000,32700.00000000,31125.00000000,31245.00000000,3507.19600000
2021-11-04,34117.50000000,35070.00000000,31605.00000000,32520.00000000,5155.21100000
2021-11-03,31987.50000000,34875.00000000,31657.50000000,34110.00000000,7698.61400000
2021-11-02,31372.50000000,32685.00000000,30937.50000000,31980.00000000,6041.91400000
2021-11-01,30690.00000000,31980.00000000,29505.00000000,31350.00000000,5901.47000000
2021-10-31,31222.50000000,31867.50000000,29700.00000000,30652.50000000,4656.03100000
2021-10-30,33795.00000000,37012.50000000,30885.00000000,31087.50000000,5403.66400000
2021-10-29,33922.50000000,34387.50000000,33000.00000000,33817.50000000,5218.95700000
2021-10-28,31215.00000000,34395.00000000,31162.50000000,33922.50000000,7739.84700000
2021-10-27,31957.50000000,33735.00000000,31147.50000000,31200.00000000,10088.92600000
2021-10-26,30330.00000000,40185.00000000,30247.50000000,31965.00000000,37789.51100000
2021-10-25,29775.00000000,30960.00000000,29317.50000000,30247.50000000,3423.05100000
2021-10-24,31560.00000000,31875.00000000,29175.00000000,29835.00000000,2499.75800000
2021-10-23,30645.00000000,31755.00000000,30352.50000000,31560.00000000,1596.17700000
2021-10-22,31020.00000000,32017.50000000,30600.00000000,30637.50000000,2792.11500000
2021-10-21,31642.50000000,32625.00000000,30607.50000000,31080.00000000,3648.62900000
2021-10-20,30892.50000000,31860.00000000,30210.00000000,31642.50000000,2907.82000000
2021-10-19,30555.00000000,31440.00000000,30075.00000000,30840.00000000,2875.26400000
2021-10-18,29917.50000000,32977.50000000,29917.50000000,30622.50000000,5393.28000000
2021-10-17,30645.00000000,33750.00000000,29062.50000000,30000.00000000,4401.85500000
2021-10-16,31680.00000000,32055.00000000,30405.00000000,30615.00000000,2895.02100000
2021-10-15,29265.00000000,35437.50000000,28710.00000000,31672.50000000,12725.66000000
2021-10-14,30285.00000000,30945.00000000,28680.00000000,29272.50000000,5068.16300000
2021-10-13,28860.00000000,30637.50000000,28357.50000000,30300.00000000,3907.64100000
2021-10-12,29422.50000000,29595.00000000,27645.00000000,28747.50000000,3220.87100000
2021-10-11,29730.00000000,30517.50000000,28807.50000000,29272.50000000,2698.09300000
2021-10-10,31732.50000000,31837.50000000,29557.50000000,29730.00000000,2179.26800000
2021-10-09,31942.50000000,33000.00000000,31222.50000000,31837.50000000,2875.17700000
2021-10-08,30982.50000000,33322.50000000,30982.50000000,31942.50000000,4706.44500000
2021-10-07,31387.50000000,32610.00000000,30000.00000000,31042.50000000,5348.13100000
2021-10-06,32002.50000000,32430.00000000,30000.00000000,31380.00000000,3761.17800000
2021-10-05,30727.50000000,32167.50000000,30435.00000000,32002.50000000,3944.53300000
2021-10-04,31755.00000000,32025.00000000,30000.00000000,30787.50000000,4812.10300000
2021-10-03,32812.50000000,33315.00000000,31560.00000000,31710.00000000,4774.95800000
2021-10-02,32340.00000000,33495.00000000,31500.00000000,32767.50000000,9678.41500000
2021-10-01,27007.50000000,41917.50000000,26910.00000000,32475.00000000,63350.29100000
2021-09-30,25350.00000000,27495.00000000,25282.50000000,27037.50000000,3567.59800000
2021-09-29,25215.00000000,26737.50000000,24780.00000000,25357.50000000,2785.48500000
2021-09-28,26115.00000000,26482.50000000,24832.50000000,25237.50000000,2628.89700000
2021-09-27,26782.50000000,29782.50000000,26055.00000000,26115.00000000,9397.78100000
2021-09-26,26902.50000000,28987.50000000,24585.00000000,26910.00000000,8868.50700000
2021-09-25,27405.00000000,28110.00000000,26467.50000000,26895.00000000,3411.42800000
2021-09-24,30480.00000000,30675.00000000,25762.50000000,27450.00000000,5984.34400000
2021-09-23,29580.00000000,32475.00000000,28342.50000000,30465.00000000,9003.83300000
2021-09-22,26535.00000000,30105.00000000,26332.50000000,29580.00000000,5380.53000000
2021-09-21,29790.00000000,33060.00000000,26175.00000000,26580.00000000,10125.89800000
2021-09-20,33825.00000000,33877.50000000,29250.00000000,29790.00000000,9489.56700000
2021-09-19,35512.50000000,36930.00000000,33727.50000000,33727.50000000,5087.96200000
2021-09-18,34995.00000000,37125.00000000,34687.50000000,35535.00000000,7558.16600000
2021-09-17,36915.00000000,37117.50000000,34132.50000000,34965.00000000,7584.77800000
2021-09-16,38302.50000000,41085.00000000,36000.00000000,36915.00000000,7020.71000000
2021-09-15,32902.50000000,46005.00000000,32887.50000000,38235.00000000,29704.56500000
2021-09-14,30982.50000000,34200.00000000,30802.50000000,32895.00000000,4879.62000000
2021-09-13,33292.50000000,33592.50000000,30225.00000000,30937.50000000,3951.65700000
