Date,Open,High,Low,Close,Volume
2021-11-28,1614.75000000,1622.25000000,1556.25000000,1578.75000000,8856.21000000
2021-11-27,1593.75000000,1650.00000000,1590.00000000,1614.75000000,41311.78000000
2021-11-26,1707.00000000,1740.75000000,1557.75000000,1599.00000000,52934.61000000
2021-11-25,1658.25000000,1719.00000000,1641.00000000,1707.00000000,26577.26000000
2021-11-24,1734.00000000,1736.25000000,1628.25000000,1660.50000000,26079.89000000
2021-11-23,1780.50000000,1839.75000000,1677.00000000,1736.25000000,54375.13000000
2021-11-22,1703.25000000,1842.00000000,1696.50000000,1777.50000000,92175.79000000
2021-11-21,1724.25000000,1768.50000000,1683.00000000,1704.00000000,46798.07000000
2021-11-20,1692.00000000,1728.75000000,1669.50000000,1724.25000000,27272.44000000
2021-11-19,1639.50000000,1711.50000000,1570.50000000,1692.00000000,32389.45000000
2021-11-18,1801.50000000,1805.25000000,1608.00000000,1637.25000000,49259.69000000
2021-11-17,1697.25000000,1816.50000000,1680.75000000,1801.50000000,49201.26000000
2021-11-16,1817.25000000,1818.75000000,1634.25000000,1700.25000000,46485.08000000
2021-11-15,1793.25000000,1833.00000000,1780.50000000,1818.00000000,43067.62000000
2021-11-14,1785.75000000,1797.00000000,1742.25000000,1793.25000000,37390.77000000
2021-11-13,1771.50000000,1792.50000000,1741.50000000,1785.75000000,45020.45000000
2021-11-12,1811.25000000,1826.25000000,1713.75000000,1769.25000000,52106.67000000
2021-11-11,1818.00000000,1866.00000000,1787.25000000,1811.25000000,314197.89000000
2021-11-10,1967.25000000,2019.00000000,1743.75000000,1819.50000000,98193.30000000
2021-11-09,1941.75000000,1983.75000000,1897.50000000,1967.25000000,56390.91000000
2021-11-08,1847.25000000,1943.25000000,1823.25000000,1941.75000000,60244.92000000
2021-11-07,1830.75000000,1850.25000000,1809.75000000,1845.00000000,25070.77000000
2021-11-06,1854.75000000,1856.25000000,1774.50000000,1828.50000000,37267.48000000
2021-11-05,1882.50000000,1896.00000000,1824.75000000,1854.75000000,45636.53000000
2021-11-04,1916.25000000,1965.00000000,1824.75000000,1881.00000000,49638.48000000
2021-11-03,1920.75000000,1931.25000000,1815.00000000,1914.75000000,84080.96000000
2021-11-02,1852.50000000,1946.25000000,1810.50000000,1920.75000000,117777.92000000
2021-11-01,1878.00000000,1958.25000000,1755.75000000,1852.50000000,77709.06000000
2021-10-31,1800.00000000,2016.75000000,1773.75000000,1878.00000000,127746.55000000
2021-10-30,1758.75000000,1807.50000000,1716.00000000,1789.50000000,41575.77000000
2021-10-29,1702.50000000,1766.25000000,1692.75000000,1758.75000000,33911.21000000
2021-10-28,1610.25000000,1752.75000000,1587.00000000,1702.50000000,42884.54000000
2021-10-27,1788.00000000,1817.25000000,1605.75000000,1610.25000000,51468.97000000
2021-10-26,1811.25000000,1845.75000000,1773.75000000,1788.00000000,38698.72000000
2021-10-25,1796.25000000,1833.75000000,1781.25000000,1812.00000000,29163.14000000
2021-10-24,1851.00000000,1854.00000000,1758.75000000,1796.25000000,32295.53000000
2021-10-23,1785.00000000,1965.75000000,1780.50000000,1851.00000000,129784.41000000
2021-10-22,1742.25000000,1842.75000000,1731.00000000,1785.00000000,47767.83000000
2021-10-21,1808.25000000,1833.00000000,1725.75000000,1742.25000000,55400.44000000
2021-10-20,1742.25000000,1814.25000000,1684.50000000,1809.75000000,67572.30000000
2021-10-19,1725.75000000,1775.25000000,1701.00000000,1742.25000000,49541.88000000
2021-10-18,1784.25000000,1814.25000000,1701.75000000,1725.75000000,85397.33000000
2021-10-17,1790.25000000,1843.50000000,1725.00000000,1784.25000000,98320.15000000
2021-10-16,1804.50000000,1834.50000000,1784.25000000,1790.25000000,27465.59000000
2021-10-15,1899.00000000,1902.75000000,1767.00000000,1803.75000000,54864.35000000
2021-10-14,1878.75000000,1923.75000000,1867.50000000,1899.00000000,33590.28000000
2021-10-13,1797.00000000,1878.00000000,1753.50000000,1875.75000000,39208.84000000
2021-10-12,1870.50000000,1872.75000000,1708.50000000,1798.50000000,56059.30000000
2021-10-11,1896.75000000,1983.75000000,1825.50000000,1872.00000000,74906.17000000
2021-10-10,1947.00000000,2084.25000000,1874.25000000,1893.75000000,84411.68000000
2021-10-09,2048.25000000,2049.00000000,1902.00000000,1946.25000000,70550.84000000
2021-10-08,1926.75000000,2144.25000000,1926.75000000,2048.25000000,164392.04000000
2021-10-07,1911.75000000,1948.50000000,1838.25000000,1926.00000000,65794.95000000
2021-10-06,1893.75000000,1971.75000000,1769.25000000,1910.25000000,99328.62000000
2021-10-05,1818.75000000,1907.25000000,1761.75000000,1888.50000000,82324.87000000
2021-10-04,1782.00000000,1900.50000000,1716.75000000,1818.00000000,114596.50000000
2021-10-03,1791.00000000,1820.25000000,1706.25000000,1774.50000000,51950.33000000
2021-10-02,1733.25000000,1851.00000000,1731.75000000,1791.00000000,81418.80000000
2021-10-01,1523.25000000,1833.00000000,1512.75000000,1735.50000000,189133.13000000
2021-09-30,1391.25000000,1660.50000000,1390.50000000,1520.25000000,153965.18000000
2021-09-29,1385.25000000,1526.25000000,1350.00000000,1392.75000000,116382.29000000
2021-09-28,1490.25000000,1518.75000000,1378.50000000,1383.75000000,50039.81100000
2021-09-27,1569.00000000,1587.75000000,1491.00000000,1493.25000000,54068.74000000
2021-09-26,1649.25000000,1656.00000000,1444.50000000,1566.75000000,178437.98000000
2021-09-25,1528.50000000,1728.00000000,1471.50000000,1646.25000000,150045.60000000
2021-09-24,1668.75000000,1670.25000000,1417.50000000,1526.25000000,55533.58000000
2021-09-23,1634.25000000,1669.50000000,1555.50000000,1668.75000000,112925.32000000
2021-09-22,1449.75000000,1648.50000000,1410.00000000,1635.75000000,87194.28600000
2021-09-21,1600.50000000,1679.25000000,1434.00000000,1446.00000000,105553.18500000
2021-09-20,1882.50000000,1927.50000000,1542.75000000,1602.00000000,78642.71000000
2021-09-19,1986.75000000,1989.00000000,1873.50000000,1882.50000000,14812.01000000
2021-09-18,1968.00000000,1996.50000000,1924.50000000,1988.25000000,24911.47000000
2021-09-17,1977.75000000,2009.25000000,1912.50000000,1968.75000000,24362.90000000
2021-09-16,2008.50000000,2046.75000000,1935.00000000,1973.25000000,43117.50000000
2021-09-15,1954.50000000,2014.50000000,1921.50000000,2009.25000000,24905.25000000
2021-09-14,1877.25000000,1971.00000000,1854.75000000,1954.50000000,43954.79000000
2021-09-13,1992.00000000,1996.50000000,1754.25000000,1878.00000000,65834.98000000
2021-09-12,1916.25000000,2086.50000000,1908.00000000,1992.75000000,101583.43000000
2021-09-11,1894.50000000,1960.50000000,1830.75000000,1909.50000000,47539.95000000
2021-09-10,1994.25000000,2085.75000000,1828.50000000,1894.50000000,59631.45000000
2021-09-09,1908.75000000,2069.25000000,1884.00000000,1993.50000000,58928.67000000
2021-09-08,1942.50000000,1991.25000000,1707.00000000,1911.00000000,80647.97200000
2021-09-07,2455.50000000,2481.75000000,1760.10000000,1937.25000000,120206.16200000
2021-09-06,2519.25000000,2602.50000000,2366.25000000,2449.50000000,91184.75000000
2021-09-05,2502.00000000,2700.00000000,2374.50000000,2523.75000000,183441.77500000
2021-09-04,2231.25000000,2541.75000000,2211.75000000,2501.25000000,199000.77000000
