Date,Open,High,Low,Close,Volume
2021-11-28,300.67500000,302.47500000,288.60000000,295.65000000,816665.70000000
2021-11-27,277.50000000,340.95000000,276.30000000,300.67500000,7379570.00000000
2021-11-26,317.02500000,320.77500000,272.55000000,277.57500000,1663918.40000000
2021-11-25,294.45000000,319.87500000,292.35000000,316.65000000,1514196.80000000
2021-11-24,302.47500000,310.72500000,288.45000000,294.60000000,1359170.40000000
2021-11-23,294.60000000,305.25000000,286.65000000,302.47500000,1197178.20000000
2021-11-22,312.07500000,314.25000000,290.40000000,294.82500000,1323067.10000000
2021-11-21,316.12500000,328.35000000,310.72500000,312.00000000,1713319.60000000
2021-11-20,297.22500000,324.00000000,292.57500000,316.12500000,2013344.20000000
2021-11-19,288.30000000,302.55000000,279.90000000,297.15000000,1066087.50000000
2021-11-18,310.50000000,313.72500000,284.55000000,288.37500000,1366519.90000000
2021-11-17,306.00000000,317.25000000,294.30000000,310.20000000,1007375.30000000
2021-11-16,332.40000000,332.70000000,286.50000000,305.77500000,1997632.70000000
2021-11-15,332.32500000,365.17500000,330.82500000,332.70000000,3389187.10000000
2021-11-14,336.45000000,347.02500000,323.32500000,331.95000000,1185335.00000000
2021-11-13,326.92500000,343.50000000,323.77500000,336.37500000,838639.00000000
2021-11-12,341.17500000,347.62500000,315.90000000,327.22500000,1145567.10000000
2021-11-11,339.07500000,349.12500000,334.05000000,341.17500000,1176884.30000000
2021-11-10,366.67500000,373.20000000,308.85000000,339.22500000,2191557.70000000
2021-11-09,372.37500000,389.25000000,361.27500000,366.67500000,1799386.30000000
2021-11-08,358.50000000,385.80000000,350.25000000,372.15000000,1927137.60000000
2021-11-07,359.32500000,368.32500000,356.25000000,357.97500000,784890.20000000
2021-11-06,370.57500000,384.07500000,348.30000000,359.02500000,1152461.30000000
2021-11-05,368.25000000,397.42500000,359.02500000,370.42500000,2088576.60000000
2021-11-04,375.22500000,399.90000000,356.02500000,368.47500000,2549457.40000000
2021-11-03,396.67500000,418.50000000,349.35000000,375.15000000,7398155.10000000
2021-11-02,324.60000000,496.05000000,320.02500000,396.67500000,13296500.05000000
2021-11-01,329.77500000,340.80000000,312.75000000,324.60000000,1617864.60000000
2021-10-31,311.85000000,342.22500000,311.77500000,329.40000000,2805565.30000000
2021-10-30,308.70000000,323.02500000,297.60000000,311.77500000,1624414.90000000
2021-10-29,298.35000000,318.75000000,296.32500000,308.62500000,1159317.50000000
2021-10-28,284.85000000,306.30000000,282.90000000,298.35000000,969721.90000000
2021-10-27,317.10000000,329.17500000,270.00000000,284.92500000,2572039.50000000
2021-10-26,320.47500000,329.70000000,311.47500000,317.17500000,1329104.00000000
2021-10-25,303.67500000,324.67500000,301.27500000,320.17500000,1553992.50000000
2021-10-24,312.75000000,314.55000000,294.00000000,303.15000000,925047.60000000
2021-10-23,309.37500000,315.67500000,299.02500000,312.75000000,1375634.30000000
2021-10-22,312.82500000,320.85000000,304.12500000,309.22500000,1104560.20000000
2021-10-21,330.37500000,338.17500000,311.40000000,312.52500000,1457467.80000000
2021-10-20,323.47500000,337.12500000,304.27500000,330.52500000,1564277.30000000
2021-10-19,342.07500000,344.55000000,318.30000000,323.25000000,1410264.20000000
2021-10-18,356.55000000,357.82500000,329.85000000,342.15000000,1365320.60000000
2021-10-17,341.25000000,356.92500000,317.10000000,356.55000000,2012744.20000000
2021-10-16,342.37500000,362.32500000,337.72500000,341.10000000,1862867.50000000
2021-10-15,322.57500000,373.50000000,312.97500000,342.37500000,4280643.50000000
2021-10-14,330.52500000,341.25000000,317.62500000,322.35000000,2032871.40000000
2021-10-13,297.75000000,354.22500000,289.80000000,330.52500000,5720869.20000000
2021-10-12,280.80000000,301.12500000,271.95000000,297.52500000,2757424.90000000
2021-10-11,267.52500000,292.42500000,263.77500000,281.02500000,1739508.70000000
2021-10-10,287.77500000,287.77500000,265.87500000,267.37500000,737084.50000000
2021-10-09,284.92500000,295.72500000,281.77500000,287.92500000,1416059.90000000
2021-10-08,288.97500000,297.00000000,282.37500000,284.85000000,1075416.80000000
2021-10-07,300.45000000,302.32500000,286.27500000,288.60000000,1049801.40000000
2021-10-06,304.57500000,315.45000000,276.90000000,300.15000000,2410180.60000000
2021-10-05,281.92500000,308.25000000,279.15000000,304.72500000,2047965.00000000
2021-10-04,292.05000000,292.80000000,272.17500000,282.00000000,1194252.70000000
2021-10-03,288.82500000,307.27500000,281.40000000,292.12500000,1475968.60000000
2021-10-02,282.15000000,302.92500000,277.65000000,288.67500000,1509188.10000000
2021-10-01,260.62500000,286.35000000,259.20000000,282.30000000,2198732.90000000
2021-09-30,245.10000000,264.45000000,244.12500000,260.55000000,1057105.40000000
2021-09-29,239.32500000,260.70000000,237.45000000,245.17500000,846166.00000000
2021-09-28,248.92500000,251.02500000,235.87500000,239.62500000,2229248.90000000
2021-09-27,243.37500000,277.50000000,239.62500000,249.07500000,2760701.00000000
