Date,Open,High,Low,Close,Volume
2021-11-28,842.02500000,842.55000000,772.57500000,823.72500000,1206867.60000000
2021-11-27,826.50000000,910.95000000,815.70000000,842.32500000,2559093.50000000
2021-11-26,970.50000000,1014.37500000,811.27500000,826.57500000,6877744.30000000
2021-11-25,829.72500000,982.50000000,811.50000000,969.82500000,5242457.70000000
2021-11-24,791.85000000,900.00000000,785.92500000,830.55000000,6578887.80000000
2021-11-23,774.67500000,801.00000000,742.80000000,791.62500000,2873679.90000000
2021-11-22,814.50000000,855.15000000,760.05000000,774.60000000,3542929.10000000
2021-11-21,863.77500000,867.45000000,807.22500000,813.52500000,2144132.10000000
2021-11-20,833.92500000,875.92500000,797.25000000,863.77500000,3028184.30000000
2021-11-19,734.92500000,841.20000000,728.40000000,834.00000000,3364736.40000000
2021-11-18,815.85000000,853.80000000,692.62500000,734.62500000,6246795.80000000
2021-11-17,811.50000000,835.50000000,766.57500000,816.07500000,3572152.30000000
2021-11-16,906.67500000,907.72500000,763.05000000,812.25000000,5227362.80000000
2021-11-15,947.92500000,997.50000000,900.00000000,908.10000000,2580854.10000000
2021-11-14,972.30000000,1040.77500000,927.22500000,947.77500000,2926179.80000000
2021-11-13,896.25000000,990.00000000,885.15000000,971.92500000,2396780.70000000
2021-11-12,954.82500000,979.27500000,878.77500000,896.25000000,3268159.80000000
2021-11-11,921.22500000,1013.25000000,901.50000000,955.27500000,2927803.00000000
2021-11-10,965.17500000,1041.97500000,878.40000000,921.15000000,5531378.70000000
2021-11-09,1029.37500000,1029.90000000,949.27500000,965.62500000,4593477.30000000
2021-11-08,1052.70000000,1066.57500000,1006.20000000,1029.37500000,3231000.80000000
2021-11-07,1031.77500000,1102.20000000,1021.35000000,1052.70000000,2764265.00000000
2021-11-06,1036.80000000,1075.80000000,994.35000000,1032.30000000,2377099.90000000
2021-11-05,1065.00000000,1117.27500000,1006.12500000,1036.57500000,3352828.50000000
2021-11-04,1163.32500000,1163.32500000,1053.75000000,1065.00000000,3943440.20000000
2021-11-03,1243.05000000,1290.67500000,1157.77500000,1161.67500000,4252051.10000000
2021-11-02,1188.60000000,1295.25000000,1187.70000000,1243.12500000,3626537.21300000
2021-11-01,1112.92500000,1264.27500000,1065.90000000,1188.30000000,8816304.01400000
