Date,Open,High,Low,Close,Volume
2021-11-28,1.98075000,2.09250000,1.74375000,1.81575000,1384814607.00000000
2021-11-27,1.98075000,2.25000000,1.82550000,1.98075000,4555772246.00000000
2021-11-26,1.65525000,1.98675000,1.60200000,1.98675000,5906791393.00000000
2021-11-25,1.49850000,1.67775000,1.47525000,1.65750000,1090955990.00000000
2021-11-24,1.52025000,1.54950000,1.42725000,1.49775000,748987593.00000000
2021-11-23,1.54800000,1.57350000,1.46025000,1.52175000,665336374.00000000
2021-11-22,1.65825000,1.67100000,1.51275000,1.54875000,898553476.00000000
2021-11-21,1.62225000,1.72125000,1.54725000,1.65750000,1145095975.00000000
2021-11-20,1.54875000,1.63125000,1.50225000,1.62225000,818461132.00000000
2021-11-19,1.41000000,1.55100000,1.36200000,1.55025000,751660172.00000000
2021-11-18,1.48425000,1.64700000,1.38750000,1.40850000,2075767886.00000000
2021-11-17,1.38975000,1.50750000,1.37925000,1.48275000,735709651.00000000
2021-11-16,1.49250000,1.49325000,1.31700000,1.39125000,874217886.00000000
2021-11-15,1.48350000,1.51950000,1.47000000,1.49250000,638823244.00000000
2021-11-14,1.49250000,1.50900000,1.44000000,1.48425000,380786505.00000000
2021-11-13,1.47900000,1.51200000,1.45350000,1.49250000,547580415.00000000
2021-11-12,1.49025000,1.49625000,1.41975000,1.47900000,775549149.00000000
2021-11-11,1.47225000,1.53000000,1.45650000,1.49100000,574530286.00000000
2021-11-10,1.58475000,1.62975000,1.41000000,1.47300000,953775010.00000000
2021-11-09,1.58100000,1.61250000,1.53900000,1.58550000,787313674.00000000
2021-11-08,1.49400000,1.62000000,1.48575000,1.57950000,1222910630.00000000
2021-11-07,1.48050000,1.52400000,1.46775000,1.49325000,576569233.00000000
2021-11-06,1.47300000,1.50525000,1.39875000,1.47900000,396657170.00000000
2021-11-05,1.50675000,1.52775000,1.44525000,1.47300000,546456708.00000000
2021-11-04,1.56300000,1.58175000,1.45575000,1.50750000,688760183.00000000
2021-11-03,1.60950000,1.61100000,1.48650000,1.56375000,817491895.00000000
2021-11-02,1.50300000,1.67025000,1.48200000,1.61175000,1419675349.00000000
2021-11-01,1.53375000,1.53825000,1.41150000,1.50375000,1309144974.00000000
2021-10-31,1.40625000,1.79925000,1.38000000,1.53450000,5625651937.00000000
2021-10-30,1.38600000,1.41300000,1.32375000,1.40700000,744371524.00000000
2021-10-29,1.31400000,1.39950000,1.30425000,1.38525000,520411470.00000000
2021-10-28,1.23525000,1.32000000,1.21950000,1.31400000,490732776.00000000
