Date,Open,High,Low,Close,Volume
2021-11-28,0.00294000,0.00294000,0.00273450,0.00287775,6212979841125.00000000
2021-11-27,0.00289950,0.00312600,0.00286200,0.00294000,13650192851497.00000000
2021-11-26,0.00320250,0.00321600,0.00267000,0.00290025,24840878969548.00000000
2021-11-25,0.00283875,0.00359400,0.00282375,0.00320175,38170738924639.00000000
2021-11-24,0.00314250,0.00321375,0.00270150,0.00283875,23189495605733.00000000
2021-11-23,0.00324300,0.00333900,0.00307575,0.00314250,11307551259265.00000000
2021-11-22,0.00330900,0.00346950,0.00320250,0.00324375,10770820744731.00000000
2021-11-21,0.00357450,0.00358050,0.00325950,0.00330825,9714699482601.00000000
2021-11-20,0.00363750,0.00375000,0.00341550,0.00357450,14565274718156.00000000
2021-11-19,0.00318900,0.00391275,0.00313275,0.00363825,24145782947742.00000000
2021-11-18,0.00361125,0.00367500,0.00303825,0.00318825,20861636622974.00000000
2021-11-17,0.00362325,0.00374100,0.00349725,0.00361050,12075458758914.00000000
2021-11-16,0.00400725,0.00401550,0.00338250,0.00362325,21365363650600.00000000
2021-11-15,0.00398550,0.00419925,0.00392100,0.00400725,12771755191144.00000000
2021-11-14,0.00387600,0.00423000,0.00386475,0.00398550,12715968872848.00000000
2021-11-13,0.00392625,0.00396000,0.00379125,0.00387600,8134280391784.00000000
2021-11-12,0.00424050,0.00427350,0.00384975,0.00392625,14700043529290.00000000
2021-11-11,0.00376950,0.00434850,0.00362475,0.00424050,28850178484019.00000000
2021-11-10,0.00411375,0.00414375,0.00345000,0.00377025,23066467501868.00000000
2021-11-09,0.00413700,0.00438750,0.00399750,0.00411300,15798759852983.00000000
2021-11-08,0.00426750,0.00442500,0.00395400,0.00413775,24005429554564.00000000
2021-11-07,0.00439575,0.00447600,0.00418800,0.00426750,16270271381514.00000000
2021-11-06,0.00469275,0.00473550,0.00411750,0.00439650,34371921859656.00000000
2021-11-05,0.00370350,0.00491025,0.00340575,0.00469200,64343495731005.00000000
2021-11-04,0.00415950,0.00457275,0.00323400,0.00370275,69434105433938.00000000
2021-11-03,0.00518925,0.00519150,0.00396450,0.00416025,28257239394032.00000000
2021-11-02,0.00536250,0.00547200,0.00498750,0.00518850,18612476991846.00000000
2021-11-01,0.00502275,0.00562050,0.00492750,0.00536250,29336188952630.00000000
2021-10-31,0.00489825,0.00521925,0.00435600,0.00502275,31386990549782.00000000
2021-10-30,0.00561675,0.00585000,0.00461250,0.00489900,32594253338226.00000000
2021-10-29,0.00516450,0.00581025,0.00457500,0.00561750,57543502861683.00000000
2021-10-28,0.00592950,0.00664050,0.00427500,0.00516525,137183379558887.00000000
2021-10-27,0.00359775,0.00660000,0.00348750,0.00592950,159140214097788.00000000
2021-10-26,0.00317175,0.00372000,0.00303300,0.00359700,65185354432996.00000000
2021-10-25,0.00270375,0.00327375,0.00261975,0.00317250,55683030231723.00000000
2021-10-24,0.00253800,0.00334875,0.00246450,0.00270375,122382291462285.00000000
2021-10-23,0.00209550,0.00259500,0.00206925,0.00253800,41345879310820.00000000
2021-10-22,0.00206025,0.00213750,0.00202650,0.00209550,10640093014043.00000000
