Date,Open,High,Low,Close,Volume
2021-11-28,577.20000000,580.27500000,545.92500000,555.60000000,274831.20000000
2021-11-27,558.37500000,592.42500000,555.37500000,577.65000000,1293647.10000000
2021-11-26,605.32500000,617.25000000,532.72500000,558.60000000,2564127.67100000
2021-11-25,590.32500000,617.62500000,583.42500000,605.40000000,1877935.90000000
2021-11-24,620.32500000,624.97500000,581.55000000,590.40000000,2057440.80000000
2021-11-23,612.75000000,621.97500000,583.20000000,620.10000000,2440064.16600000
2021-11-22,643.05000000,644.70000000,601.05000000,612.90000000,1249283.00000000
2021-11-21,663.22500000,664.50000000,640.42500000,642.82500000,1111959.20000000
2021-11-20,648.52500000,678.75000000,636.30000000,663.15000000,1147401.10000000
2021-11-19,614.25000000,662.55000000,600.82500000,648.37500000,952525.60000000
2021-11-18,671.25000000,682.50000000,600.82500000,614.77500000,1400645.96900000
2021-11-17,660.82500000,676.57500000,633.60000000,671.62500000,1270527.90000000
2021-11-16,719.10000000,719.55000000,613.95000000,660.60000000,2306266.00300000
2021-11-15,750.82500000,763.20000000,712.50000000,719.62500000,2103772.00000000
2021-11-14,735.60000000,797.40000000,735.00000000,750.82500000,2617796.80000000
2021-11-13,716.85000000,753.90000000,706.72500000,735.37500000,1459877.80000000
2021-11-12,741.37500000,759.67500000,693.37500000,717.07500000,1725784.30000000
2021-11-11,718.95000000,765.00000000,709.35000000,741.67500000,1801737.30000000
2021-11-10,800.70000000,822.75000000,657.00000000,718.72500000,2555556.70000000
2021-11-09,786.30000000,821.92500000,780.00000000,800.47500000,1679394.70000000
2021-11-08,786.00000000,791.62500000,770.40000000,786.30000000,1384856.80000000
2021-11-07,760.12500000,802.57500000,755.02500000,785.77500000,1494319.90000000
2021-11-06,777.82500000,783.82500000,727.50000000,760.05000000,1267178.00000000
2021-11-05,798.15000000,802.12500000,762.60000000,778.05000000,1342887.20000000
2021-11-04,844.35000000,845.62500000,773.85000000,798.60000000,1885360.60000000
2021-11-03,783.22500000,885.00000000,773.17500000,843.75000000,4373791.30000000
2021-11-02,772.95000000,798.90000000,765.30000000,783.07500000,1408528.80000000
2021-11-01,760.42500000,811.12500000,723.07500000,773.40000000,2753088.10000000
2021-10-31,739.95000000,765.30000000,710.17500000,760.50000000,2447940.70000000
2021-10-30,776.25000000,782.40000000,727.05000000,740.17500000,1746997.60000000
2021-10-29,727.27500000,801.22500000,722.77500000,776.70000000,2057908.00000000
2021-10-28,695.02500000,745.05000000,688.65000000,727.42500000,1757836.10000000
2021-10-27,775.87500000,838.12500000,656.25000000,694.72500000,4496493.56400000
2021-10-26,739.95000000,823.50000000,735.22500000,775.87500000,3657491.90000000
2021-10-25,707.55000000,740.40000000,705.45000000,740.10000000,868751.90000000
2021-10-24,744.07500000,752.77500000,694.42500000,707.32500000,1313132.80000000
2021-10-23,723.37500000,762.67500000,720.37500000,744.37500000,1730699.30000000
2021-10-22,709.87500000,740.10000000,704.85000000,723.45000000,1203406.30000000
2021-10-21,746.25000000,759.45000000,705.00000000,709.65000000,1595802.10000000
2021-10-20,704.77500000,754.05000000,698.70000000,746.40000000,1357137.60000000
2021-10-19,705.30000000,715.20000000,690.07500000,704.85000000,942470.80000000
2021-10-18,717.07500000,725.77500000,692.47500000,705.52500000,898907.90000000
2021-10-17,733.65000000,745.87500000,690.67500000,717.07500000,896989.10000000
2021-10-16,731.25000000,758.55000000,725.25000000,733.20000000,1180090.70000000
2021-10-15,748.57500000,775.65000000,719.02500000,731.17500000,2012880.20000000
2021-10-14,705.07500000,751.50000000,701.32500000,748.50000000,1348508.20000000
2021-10-13,691.80000000,707.25000000,679.35000000,704.77500000,1208063.10000000
2021-10-12,718.50000000,718.95000000,665.70000000,691.27500000,1572195.23000000
2021-10-11,719.47500000,753.30000000,698.55000000,718.12500000,1356615.60000000
2021-10-10,765.00000000,774.75000000,716.77500000,719.62500000,1323615.60000000
2021-10-09,755.17500000,780.90000000,743.32500000,765.00000000,1571336.50000000
2021-10-08,771.67500000,785.40000000,747.90000000,755.17500000,1958022.60000000
2021-10-07,769.35000000,782.92500000,742.95000000,771.52500000,1751487.50000000
2021-10-06,787.95000000,788.92500000,721.72500000,768.67500000,1535609.40000000
2021-10-05,771.00000000,798.75000000,750.45000000,787.50000000,2301267.90000000
2021-10-04,802.05000000,804.75000000,755.40000000,770.77500000,1372777.30000000
2021-10-03,807.97500000,842.92500000,787.50000000,801.30000000,1236100.70000000
2021-10-02,786.82500000,860.55000000,771.07500000,807.52500000,1699816.70000000
2021-10-01,720.22500000,787.50000000,714.15000000,786.75000000,1515849.40000000
2021-09-30,696.15000000,731.92500000,693.97500000,720.00000000,1362529.40000000
2021-09-29,698.25000000,743.25000000,685.50000000,696.07500000,987975.20000000
2021-09-28,737.02500000,754.65000000,691.80000000,698.02500000,1188912.20000000
2021-09-27,783.90000000,836.17500000,734.25000000,737.40000000,1625957.50000000
2021-09-26,762.82500000,805.20000000,693.75000000,784.95000000,2084583.90000000
2021-09-25,787.87500000,801.82500000,747.75000000,763.27500000,1143979.40000000
2021-09-24,880.35000000,884.47500000,732.22500000,788.02500000,2184462.80000000
2021-09-23,819.00000000,907.95000000,797.47500000,880.27500000,1914599.10000000
2021-09-22,714.30000000,824.17500000,700.12500000,819.07500000,1856659.00000000
2021-09-21,797.92500000,829.42500000,693.07500000,713.85000000,2441863.30000000
2021-09-20,961.95000000,966.30000000,755.55000000,798.00000000,3816518.00000000
2021-09-19,943.35000000,1001.25000000,900.75000000,961.87500000,2395865.40000000
2021-09-18,958.80000000,1019.92500000,926.25000000,943.95000000,2459330.30000000
2021-09-17,1096.05000000,1122.00000000,932.92500000,958.65000000,4139611.50000000
2021-09-16,1126.12500000,1188.75000000,1038.75000000,1096.50000000,4245986.97300000
2021-09-15,1036.35000000,1151.55000000,978.75000000,1126.12500000,5000412.81100000
2021-09-14,964.65000000,1048.72500000,914.55000000,1036.42500000,5249648.40000000
2021-09-13,821.10000000,970.65000000,754.27500000,964.05000000,3311616.60000000
2021-09-12,811.95000000,858.22500000,793.12500000,821.02500000,877546.50000000
2021-09-11,792.00000000,830.62500000,785.55000000,811.95000000,794031.40000000
2021-09-10,850.12500000,888.97500000,765.60000000,792.07500000,1650074.40000000
2021-09-09,831.22500000,868.42500000,807.52500000,849.97500000,1509476.70000000
2021-09-08,806.25000000,851.02500000,739.87500000,830.47500000,3045676.70000000
2021-09-07,1017.75000000,1072.50000000,675.00000000,805.95000000,6242731.06700000
2021-09-06,970.20000000,1044.00000000,930.00000000,1018.05000000,3603304.91800000
2021-09-05,927.97500000,984.00000000,915.22500000,969.97500000,2204939.18300000
2021-09-04,933.97500000,968.10000000,918.00000000,927.67500000,1708582.40000000
2021-09-03,939.90000000,969.60000000,905.85000000,933.15000000,1843154.30000000
2021-09-02,938.10000000,975.00000000,908.55000000,939.75000000,2487195.28100000
2021-09-01,867.75000000,939.75000000,847.12500000,938.25000000,2291494.89400000
2021-08-31,832.65000000,890.92500000,817.87500000,867.97500000,1918390.59800000
2021-08-30,873.52500000,896.92500000,820.65000000,832.95000000,1983694.29200000
2021-08-29,899.10000000,912.67500000,845.32500000,873.52500000,2332868.30000000
2021-08-28,917.62500000,930.00000000,885.90000000,899.25000000,1222938.23700000
2021-08-27,857.02500000,924.30000000,828.97500000,917.85000000,1693264.08100000
2021-08-26,930.90000000,946.87500000,834.67500000,856.12500000,1784080.97900000
2021-08-25,915.60000000,957.97500000,881.25000000,931.57500000,1814986.19200000
2021-08-24,1022.25000000,1038.07500000,905.55000000,915.52500000,2308110.48300000
2021-08-23,1013.92500000,1076.25000000,997.50000000,1022.02500000,2091932.10500000
2021-08-22,979.65000000,1044.00000000,954.45000000,1013.55000000,2210868.64000000
2021-08-21,944.40000000,1089.97500000,921.90000000,979.80000000,3987068.01200000
2021-08-20,929.92500000,975.00000000,909.37500000,944.25000000,1950568.38800000
2021-08-19,850.27500000,937.80000000,827.40000000,929.92500000,2307342.57800000
2021-08-18,843.82500000,892.12500000,806.92500000,849.30000000,2066426.00000000
2021-08-17,909.52500000,983.17500000,833.77500000,843.97500000,2002172.10300000
2021-08-16,963.67500000,1002.22500000,898.65000000,909.37500000,2040397.38700000
2021-08-15,974.40000000,1011.75000000,898.57500000,963.60000000,1917780.86900000
2021-08-14,907.20000000,990.00000000,875.55000000,974.85000000,2971078.45200000
2021-08-13,781.20000000,913.42500000,771.45000000,907.20000000,2675439.95700000
2021-08-12,799.20000000,838.35000000,748.72500000,780.97500000,2401062.89300000
2021-08-11,770.17500000,862.72500000,761.62500000,799.12500000,3612706.14600000
2021-08-10,761.92500000,792.30000000,734.77500000,770.10000000,2137801.47400000
2021-08-09,726.37500000,775.12500000,697.65000000,761.55000000,1940189.27600000
2021-08-08,793.42500000,810.00000000,709.50000000,726.82500000,2934407.62600000
2021-08-07,763.80000000,832.50000000,753.30000000,793.05000000,3409604.23200000
2021-08-06,789.75000000,800.25000000,746.92500000,763.87500000,3435697.44300000
2021-08-05,723.97500000,816.00000000,701.17500000,789.15000000,4624843.35100000
2021-08-04,678.82500000,734.92500000,668.17500000,723.97500000,1543654.02700000
2021-08-03,711.97500000,718.72500000,661.80000000,678.82500000,1802110.35800000
