Date,Open,High,Low,Close,Volume
2021-11-28,14455.50000000,14486.25000000,13852.50000000,14193.75000000,554270.38000000
2021-11-27,14427.75000000,14954.25000000,14295.75000000,14455.50000000,1028955.27000000
2021-11-26,15745.50000000,15789.75000000,13702.50000000,14431.50000000,2776105.44000000
2021-11-25,15432.00000000,16226.25000000,15144.75000000,15747.75000000,1764837.19000000
2021-11-24,16632.00000000,16685.25000000,15010.50000000,15427.50000000,1878172.55000000
2021-11-23,16168.50000000,16956.00000000,15818.25000000,16631.25000000,1654017.24000000
2021-11-22,17292.00000000,17399.25000000,15870.00000000,16169.25000000,2456703.81000000
2021-11-21,16323.00000000,18000.00000000,15789.75000000,17288.25000000,1888280.05000000
2021-11-20,16143.75000000,16587.75000000,15438.00000000,16322.25000000,1560552.25000000
2021-11-19,14639.25000000,16469.25000000,14174.25000000,16143.75000000,2712585.78000000
2021-11-18,16417.50000000,16708.50000000,13987.50000000,14625.75000000,3077799.94000000
2021-11-17,16431.75000000,16683.00000000,15714.75000000,16420.50000000,2094790.54000000
2021-11-16,17863.50000000,17865.75000000,16035.75000000,16428.00000000,2557623.67000000
2021-11-15,17897.25000000,18477.00000000,17586.75000000,17865.00000000,1921128.24000000
2021-11-14,18118.50000000,18150.00000000,17280.00000000,17898.00000000,1075144.87000000
2021-11-13,17134.50000000,18147.75000000,16859.25000000,18119.25000000,1458387.39000000
2021-11-12,17500.50000000,17931.75000000,16562.25000000,17136.00000000,2114721.23000000
2021-11-11,17479.50000000,18487.50000000,17205.00000000,17502.75000000,1997993.90000000
2021-11-10,17929.50000000,18600.00000000,16312.50000000,17481.75000000,3092477.23000000
2021-11-09,18620.25000000,18991.50000000,17821.50000000,17928.00000000,2217088.06000000
2021-11-08,18721.50000000,18997.50000000,18051.00000000,18619.50000000,2301351.76000000
2021-11-07,19380.75000000,19399.50000000,18423.75000000,18726.00000000,1923092.87000000
2021-11-06,17703.00000000,19492.50000000,17609.25000000,19383.00000000,3046062.46000000
2021-11-05,18529.50000000,18663.00000000,17275.50000000,17704.50000000,2233800.23000000
2021-11-04,18252.75000000,18787.50000000,17550.00000000,18530.25000000,3552648.58000000
2021-11-03,16560.75000000,18525.00000000,16176.75000000,18252.75000000,5253716.35200000
2021-11-02,15293.25000000,16666.50000000,15072.75000000,16561.50000000,2876704.54200000
2021-11-01,15189.75000000,15874.50000000,14827.50000000,15292.50000000,3150076.28000000
2021-10-31,14676.75000000,15375.00000000,13898.25000000,15186.75000000,2375757.35000000
2021-10-30,15027.00000000,15046.50000000,14047.50000000,14677.50000000,1609573.37000000
2021-10-29,14652.75000000,15391.50000000,14583.75000000,15030.75000000,2484214.02000000
2021-10-28,13833.75000000,15103.50000000,13623.00000000,14656.50000000,3503774.60000000
2021-10-27,14990.25000000,15411.75000000,13270.50000000,13836.75000000,5003626.21000000
2021-10-26,15729.75000000,16065.00000000,14727.00000000,14988.75000000,3168707.16000000
2021-10-25,15161.25000000,16419.75000000,14850.00000000,15727.50000000,4914479.29000000
2021-10-24,14831.25000000,15364.50000000,13891.50000000,15160.50000000,3573960.26000000
2021-10-23,14721.75000000,15433.50000000,14389.50000000,14831.25000000,3274703.05000000
2021-10-22,14284.50000000,16132.50000000,14097.00000000,14721.75000000,8364239.42000000
2021-10-21,13254.00000000,14565.75000000,13252.50000000,14287.50000000,7853710.77000000
2021-10-20,11682.75000000,13265.25000000,11625.00000000,13254.00000000,3884374.70000000
2021-10-19,11784.00000000,11958.75000000,11479.50000000,11683.50000000,1821550.17000000
2021-10-18,12008.25000000,12223.50000000,11618.25000000,11784.00000000,2240606.17000000
2021-10-17,11815.50000000,12573.75000000,11484.75000000,12009.00000000,3070422.13000000
2021-10-16,12236.25000000,12360.00000000,11727.00000000,11815.50000000,1985241.59000000
2021-10-15,11250.75000000,12431.25000000,11001.00000000,12238.50000000,5388612.07000000
2021-10-14,11103.75000000,11673.75000000,11045.25000000,11251.50000000,2654600.61000000
2021-10-13,11426.25000000,11667.00000000,10821.00000000,11103.00000000,2760546.00000000
2021-10-12,10859.25000000,11512.50000000,10320.75000000,11424.00000000,3377483.32000000
2021-10-11,11067.00000000,11550.00000000,10518.00000000,10857.75000000,2211323.14000000
2021-10-10,11760.00000000,11887.50000000,10916.25000000,11066.25000000,2037895.69000000
2021-10-09,11916.00000000,12115.50000000,11563.50000000,11763.00000000,1833309.02000000
2021-10-08,11569.50000000,12672.75000000,11429.25000000,11914.50000000,3735085.38000000
2021-10-07,11542.50000000,12106.50000000,11275.50000000,11569.50000000,3251376.58000000
2021-10-06,12348.00000000,12406.50000000,11257.50000000,11540.25000000,4499161.76000000
2021-10-05,12534.75000000,12763.50000000,11976.00000000,12346.50000000,3378441.71000000
2021-10-04,12974.25000000,13000.50000000,12150.00000000,12534.75000000,4312499.92000000
2021-10-03,12675.00000000,13334.25000000,12418.50000000,12973.50000000,4233767.25000000
2021-10-02,12121.50000000,13125.00000000,11704.50000000,12673.50000000,5059987.02000000
2021-10-01,10603.50000000,12371.25000000,10368.75000000,12117.00000000,6742166.88000000
2021-09-30,10143.00000000,10721.25000000,10051.50000000,10602.75000000,3361454.58000000
2021-09-29,9916.50000000,10512.75000000,9834.00000000,10143.75000000,3685498.28000000
2021-09-28,10225.50000000,10455.00000000,9612.75000000,9915.00000000,3899945.58000000
2021-09-27,10177.50000000,11169.00000000,10029.00000000,10226.25000000,5195624.27000000
2021-09-26,10203.75000000,10560.75000000,9360.00000000,10173.00000000,4342156.13000000
2021-09-25,10433.25000000,10813.50000000,10015.50000000,10204.50000000,3212733.31000000
2021-09-24,11242.50000000,11340.00000000,9611.25000000,10434.75000000,6710404.45000000
2021-09-23,11101.50000000,11437.50000000,10719.00000000,11243.25000000,5188932.77000000
2021-09-22,9322.50000000,11352.00000000,9157.50000000,11101.50000000,7460596.34000000
2021-09-21,9957.75000000,10848.00000000,8700.00000000,9321.75000000,9608867.72000000
2021-09-20,11458.50000000,11507.25000000,9769.50000000,9957.75000000,10153368.71000000
2021-09-19,12691.50000000,12822.00000000,11295.00000000,11457.00000000,4945800.10000000
2021-09-18,11069.25000000,12860.25000000,10807.50000000,12691.50000000,8229799.94000000
2021-09-17,11422.50000000,11516.25000000,10050.00000000,11068.50000000,7629925.55000000
2021-09-16,11907.75000000,12262.50000000,11051.25000000,11421.75000000,4739595.73000000
2021-09-15,11904.00000000,12487.50000000,11526.75000000,11909.25000000,6107319.60000000
2021-09-14,12715.50000000,12887.25000000,10695.00000000,11916.00000000,7981396.52000000
2021-09-13,13073.25000000,13125.00000000,11272.50000000,12714.75000000,8423839.46000000
2021-09-12,13428.75000000,13631.25000000,12761.25000000,13071.75000000,3661211.64000000
2021-09-11,13470.00000000,14513.25000000,13135.50000000,13428.00000000,6794663.25000000
2021-09-10,14091.75000000,14805.75000000,12586.50000000,13470.00000000,9055410.70000000
2021-09-09,14326.50000000,16200.00000000,13552.50000000,14092.50000000,16349677.82000000
2021-09-08,13011.75000000,14850.00000000,10987.50000000,14326.50000000,16666845.80000000
2021-09-07,12314.25000000,14661.00000000,9600.75000000,13009.50000000,24376489.01100000
2021-09-06,10648.50000000,12459.75000000,10269.00000000,12316.50000000,8435542.35300000
2021-09-05,10416.00000000,10874.25000000,10105.50000000,10650.00000000,4619885.42000000
2021-09-04,10977.00000000,11295.00000000,10179.75000000,10416.00000000,6134062.52600000
2021-09-03,9615.00000000,11174.25000000,9609.00000000,10980.00000000,11927061.37000000
2021-09-02,8303.25000000,9897.00000000,8188.50000000,9617.25000000,9206853.47200000
2021-09-01,8120.25000000,8979.00000000,7941.75000000,8303.25000000,8028303.79000000
2021-08-31,8269.50000000,9758.25000000,7729.50000000,8120.25000000,16509565.59200000
2021-08-30,7067.25000000,8763.00000000,7018.50000000,8268.75000000,11109542.61500000
