Date,Open,High,Low,Close,Volume
2021-11-28,212.77500000,223.62000000,190.02000000,198.88500000,12013464.00000000
2021-11-27,205.53750000,263.75250000,202.56750000,212.58750000,52919586.46000000
2021-11-26,165.30750000,247.48500000,162.07500000,205.56750000,112381604.19000000
2021-11-25,166.87500000,177.09000000,154.59000000,165.31500000,15423033.00000000
2021-11-24,152.09250000,167.94750000,150.11250000,167.02500000,21337530.00000000
2021-11-23,147.12750000,155.04750000,141.75750000,152.09250000,10285337.00000000
2021-11-22,147.32250000,165.29250000,136.05750000,147.20250000,21093867.00000000
2021-11-21,161.97750000,162.22500000,146.43000000,147.12000000,10262501.00000000
2021-11-20,155.87250000,178.29000000,151.98000000,161.97000000,34850945.00000000
2021-11-19,129.55500000,166.83000000,125.71500000,155.62500000,51244955.00000000
2021-11-18,128.16000000,181.44750000,124.64250000,129.66750000,75123879.00000000
2021-11-17,119.91750000,138.15750000,118.82250000,128.24250000,17797641.00000000
2021-11-16,132.67500000,132.86250000,108.12750000,119.85750000,10114992.00000000
2021-11-15,130.17000000,140.83500000,127.75500000,132.56250000,14009761.00000000
2021-11-14,124.26000000,136.14750000,122.83500000,130.18500000,17064634.00000000
2021-11-13,121.73250000,141.50250000,120.79500000,124.33500000,34380684.00000000
2021-11-12,113.81250000,133.54500000,111.27000000,121.75500000,31065789.00000000
2021-11-11,111.68250000,115.47750000,109.72500000,113.85000000,4985887.00000000
2021-11-10,120.54000000,128.25000000,102.12750000,111.72750000,12096143.00000000
2021-11-09,121.19250000,123.58500000,118.78500000,120.63750000,5634853.00000000
2021-11-08,123.95250000,124.27500000,116.54250000,121.17000000,7712714.00000000
2021-11-07,125.22000000,129.62250000,122.66250000,123.82500000,6623416.00000000
2021-11-06,121.24500000,126.98250000,117.77250000,125.39250000,10117508.00000000
2021-11-05,121.44000000,130.45500000,118.67250000,121.32750000,14734773.00000000
2021-11-04,128.09250000,128.09250000,117.31500000,121.41000000,10114242.00000000
2021-11-03,139.56000000,139.56000000,124.10250000,127.98750000,14681765.00000000
2021-11-02,138.79500000,165.00000000,134.94000000,139.19250000,40314045.00000000
2021-11-01,152.08500000,153.43500000,125.02500000,138.96000000,99618726.00000000
2021-10-31,99.36000000,223.98000000,97.20000000,152.24250000,336556486.86000001
2021-10-30,93.80250000,101.04750000,90.15750000,99.18750000,6881430.00000000
2021-10-29,89.75250000,93.80250000,88.71000000,93.80250000,3371159.00000000
2021-10-28,85.25250000,89.88750000,83.03250000,89.82000000,3785981.00000000
2021-10-27,97.70250000,101.40750000,81.75000000,85.21500000,8792809.00000000
2021-10-26,99.47250000,102.33000000,96.24750000,97.70250000,3202853.00000000
2021-10-25,95.80500000,99.51000000,94.05000000,99.45750000,2561985.00000000
2021-10-24,95.76750000,96.45750000,91.87500000,95.82000000,1644440.00000000
2021-10-23,95.19000000,98.99250000,92.45250000,95.67750000,2759444.00000000
2021-10-22,93.11250000,96.48750000,92.77500000,95.14500000,2019367.00000000
2021-10-21,97.40250000,98.73000000,91.50000000,93.21750000,2600757.00000000
2021-10-20,95.19750000,100.50000000,92.39250000,97.40250000,3827541.00000000
2021-10-19,95.68500000,95.99250000,91.38000000,95.15250000,1891181.00000000
2021-10-18,96.21750000,99.26250000,91.74750000,95.78250000,3138132.00000000
2021-10-17,100.29000000,100.42500000,91.91250000,96.21000000,2796326.00000000
2021-10-16,98.63250000,105.60000000,97.68750000,100.29000000,8924830.00000000
2021-10-15,101.70750000,101.91750000,93.39750000,98.64750000,2699032.00000000
2021-10-14,100.92000000,102.19500000,99.24000000,101.80500000,2090695.00000000
