Date,Open,High,Low,Close,Volume
2020-06-08,0.24990000,0.25687500,0.24412500,0.25477500,76619584.00000000
2020-06-07,0.23835000,0.28612500,0.23640000,0.24990000,1324291565.00000000
2020-06-06,0.22912500,0.25492500,0.21232500,0.23730000,764154967.00000000
2020-06-05,0.24562500,0.26842500,0.22770000,0.22912500,964047196.00000000
2020-06-04,0.26850000,0.31500000,0.24225000,0.24457500,1753856912.00000000
2020-06-03,0.18675000,0.29250000,0.17677500,0.26850000,1995983565.00000000
2020-06-02,0.18832500,0.21570000,0.17835000,0.18675000,813194542.00000000
2020-06-01,0.14737500,0.20280000,0.14557500,0.18832500,984389220.00000000
2020-05-31,0.13837500,0.16740000,0.13837500,0.14745000,547145551.00000000
2020-05-30,0.14850000,0.15720000,0.13725000,0.13942500,457753046.00000000
2020-05-29,0.13425000,0.17250000,0.12757500,0.14985000,913563011.00000000
2020-05-28,0.13020000,0.15630000,0.11760000,0.13417500,563812303.00000000
2020-05-27,0.12765000,0.13807500,0.11955000,0.12900000,438419017.00000000
2020-05-26,0.12442500,0.14827500,0.11692500,0.12802500,471766829.00000000
2020-05-25,0.10417500,0.13117500,0.10087500,0.12330000,446683151.00000000
2020-05-24,0.10965000,0.11227500,0.10155000,0.10417500,245987404.00000000
2020-05-23,0.10402500,0.13140000,0.10402500,0.11025000,360895225.00000000
2020-05-22,0.09705000,0.10882500,0.09637500,0.10365000,165880284.00000000
2020-05-21,0.09225000,0.10237500,0.09000000,0.09667500,158922212.00000000
2020-05-20,0.09150000,0.09577500,0.08932500,0.09210000,38476113.00000000
2020-05-19,0.09202500,0.09300000,0.08857500,0.09090000,23425930.00000000
2020-05-18,0.08715000,0.09367500,0.08707500,0.09270000,34800782.00000000
2020-05-17,0.08767500,0.08887500,0.08677500,0.08737500,20350426.00000000
2020-05-16,0.08617500,0.08760000,0.08617500,0.08752500,13093617.00000000
2020-05-15,0.08925000,0.08932500,0.08445000,0.08625000,35554516.00000000
2020-05-14,0.08602500,0.08925000,0.08445000,0.08842500,37609814.00000000
2020-05-13,0.08445000,0.08797500,0.08287500,0.08595000,23021907.00000000
2020-05-12,0.08250000,0.08520000,0.08220000,0.08415000,25756166.00000000
2020-05-11,0.08370000,0.08767500,0.07830000,0.08205000,40530417.00000000
2020-05-10,0.09300000,0.09300000,0.07935000,0.08377500,59352405.00000000
2020-05-09,0.09435000,0.09802500,0.09232500,0.09240000,36853418.00000000
2020-05-08,0.09405000,0.09787500,0.08932500,0.09442500,76439963.00000000
2020-05-07,0.08722500,0.09772500,0.08707500,0.09405000,101408419.00000000
2020-05-06,0.08760000,0.09120000,0.08632500,0.08707500,73623820.00000000
2020-05-05,0.08617500,0.09375000,0.08580000,0.08760000,112266512.00000000
2020-05-04,0.08752500,0.08880000,0.08107500,0.08595000,82344595.00000000
2020-05-03,0.08872500,0.09165000,0.08340000,0.08737500,156384876.00000000
2020-05-02,0.08947500,0.09075000,0.06705000,0.08955000,147909607.00000000
2020-05-01,0.08272500,0.09607500,0.08272500,0.08947500,219911699.00000000
2020-04-30,0.08632500,0.09000000,0.08257500,0.08340000,88807550.00000000
2020-04-29,0.08115000,0.08775000,0.08100000,0.08572500,67723649.00000000
2020-04-28,0.08220000,0.08295000,0.07935000,0.08107500,84300555.00000000
2020-04-27,0.08370000,0.08505000,0.07965000,0.08220000,61051392.00000000
2020-04-26,0.07972500,0.08430000,0.07972500,0.08287500,39942611.00000000
2020-04-25,0.07987500,0.08145000,0.07920000,0.07995000,17593217.00000000
2020-04-24,0.07860000,0.08175000,0.07777500,0.08070000,29191947.00000000
2020-04-23,0.07845000,0.08160000,0.07687500,0.07860000,33370239.00000000
2020-04-22,0.07642500,0.07995000,0.07627500,0.07845000,20521762.00000000
2020-04-21,0.07785000,0.07875000,0.07447500,0.07620000,9497304.00000000
2020-04-20,0.08115000,0.08295000,0.07612500,0.07785000,20936339.00000000
2020-04-19,0.08257500,0.08640000,0.07890000,0.08190000,23945424.00000000
2020-04-18,0.08085000,0.08340000,0.07957500,0.08257500,18757631.00000000
2020-04-17,0.08190000,0.08197500,0.07837500,0.08055000,47438716.00000000
2020-04-16,0.07732500,0.08377500,0.07635000,0.08167500,28254129.00000000
2020-04-15,0.08152500,0.08280000,0.07732500,0.07732500,19754175.00000000
2020-04-14,0.07912500,0.08400000,0.07815000,0.08265000,27740819.00000000
2020-04-13,0.08010000,0.08017500,0.07582500,0.07950000,16397557.00000000
2020-04-12,0.08025000,0.08317500,0.07890000,0.08010000,30315930.00000000
2020-04-11,0.08115000,0.08452500,0.07792500,0.07920000,45785135.00000000
2020-04-10,0.08835000,0.08872500,0.07875000,0.08047500,24110679.00000000
2020-04-09,0.08850000,0.08940000,0.08625000,0.08857500,15949704.00000000
2020-04-08,0.08700000,0.09172500,0.08670000,0.08872500,44723108.00000000
2020-04-07,0.09112500,0.09457500,0.08632500,0.08797500,124464121.00000000
2020-04-06,0.08647500,0.09577500,0.08497500,0.09015000,162106280.00000000
2020-04-05,0.08872500,0.08887500,0.08407500,0.08625000,22992616.00000000
2020-04-04,0.08655000,0.09315000,0.08512500,0.08850000,63949131.00000000
2020-04-03,0.08677500,0.08805000,0.08085000,0.08655000,61571354.00000000
2020-04-02,0.08460000,0.08925000,0.08190000,0.08647500,39218331.00000000
