Date,Open,High,Low,Close,Volume
2021-11-28,140.55000000,144.37500000,134.32500000,136.87500000,1757297.10000000
2021-11-27,137.47500000,144.52500000,136.50000000,140.70000000,2973065.20000000
2021-11-26,154.35000000,154.65000000,133.27500000,137.62500000,5429054.80000000
2021-11-25,147.75000000,157.65000000,144.75000000,154.35000000,4728636.80000000
2021-11-24,154.80000000,156.30000000,142.95000000,147.67500000,3531105.70000000
2021-11-23,158.55000000,159.52500000,149.47500000,154.50000000,4182333.40000000
2021-11-22,161.70000000,169.50000000,157.95000000,158.62500000,4375240.90000000
2021-11-21,158.77500000,166.57500000,150.75000000,161.92500000,4001082.60000000
2021-11-20,153.60000000,159.67500000,149.47500000,158.77500000,2396427.90000000
2021-11-19,144.30000000,156.00000000,141.00000000,153.52500000,3320224.80000000
2021-11-18,160.50000000,161.47500000,138.82500000,144.37500000,5188683.20000000
2021-11-17,162.07500000,164.47500000,151.20000000,160.80000000,4365913.30000000
2021-11-16,181.50000000,182.10000000,152.62500000,162.00000000,6857316.30000000
2021-11-15,174.90000000,186.75000000,170.25000000,181.57500000,6822895.70000000
2021-11-14,172.87500000,175.27500000,164.70000000,175.12500000,5826498.70000000
2021-11-13,168.82500000,182.92500000,168.82500000,172.87500000,6487669.80000000
2021-11-12,165.82500000,183.22500000,162.67500000,168.82500000,11351556.60000000
2021-11-11,157.20000000,170.62500000,157.20000000,165.90000000,8495305.40000000
2021-11-10,166.27500000,174.45000000,151.12500000,157.35000000,8172838.00000000
2021-11-09,173.17500000,178.27500000,164.02500000,166.12500000,6556389.20000000
2021-11-08,165.52500000,183.37500000,161.10000000,172.87500000,18165059.00000000
2021-11-07,149.77500000,165.75000000,147.82500000,165.45000000,10290277.30000000
2021-11-06,149.47500000,151.65000000,142.42500000,149.77500000,4543611.60000000
2021-11-05,145.20000000,151.72500000,141.75000000,149.47500000,5768001.30000000
2021-11-04,146.92500000,147.07500000,140.77500000,145.20000000,3937528.50000000
2021-11-03,148.05000000,158.25000000,139.80000000,146.62500000,9160414.30000000
2021-11-02,146.10000000,150.15000000,142.80000000,148.20000000,7589522.70000000
2021-11-01,138.22500000,157.12500000,134.10000000,146.10000000,18711683.90000000
2021-10-31,143.47500000,143.47500000,132.82500000,138.22500000,6343713.00000000
2021-10-30,148.80000000,148.95000000,140.10000000,143.47500000,3047134.00000000
2021-10-29,145.27500000,149.85000000,141.60000000,148.95000000,4288300.20000000
2021-10-28,139.72500000,145.80000000,135.75000000,145.27500000,7714137.80000000
2021-10-27,161.62500000,163.05000000,137.92500000,139.50000000,10656186.20000000
2021-10-26,166.42500000,166.95000000,160.20000000,161.40000000,4198335.80000000
2021-10-25,165.22500000,167.62500000,161.47500000,166.42500000,4243998.00000000
2021-10-24,166.20000000,179.10000000,159.67500000,165.22500000,7997190.20000000
2021-10-23,164.55000000,168.37500000,159.00000000,166.27500000,3739686.60000000
2021-10-22,172.05000000,174.00000000,162.00000000,164.40000000,4446129.40000000
2021-10-21,180.30000000,184.42500000,166.87500000,171.67500000,7341200.70000000
2021-10-20,175.12500000,182.25000000,165.22500000,180.75000000,10631828.70000000
2021-10-19,192.75000000,198.75000000,171.75000000,174.90000000,10931758.20000000
2021-10-18,164.77500000,211.12500000,164.62500000,192.52500000,48006862.71000000
2021-10-17,147.15000000,168.00000000,145.57500000,164.77500000,13969281.10000000
2021-10-16,149.10000000,154.05000000,144.07500000,147.22500000,4967680.60000000
2021-10-15,166.05000000,168.45000000,148.42500000,148.95000000,7259329.60000000
2021-10-14,166.72500000,173.92500000,157.50000000,166.05000000,8516662.10000000
2021-10-13,153.52500000,183.00000000,152.47500000,166.72500000,19729119.40000000
2021-10-12,143.47500000,165.00000000,137.47500000,153.90000000,14607754.20000000
2021-10-11,152.17500000,168.75000000,139.50000000,143.77500000,19699953.70000000
2021-10-10,140.10000000,196.35000000,129.22500000,152.17500000,78650464.45999999
2021-10-09,107.32500000,162.37500000,105.90000000,140.25000000,37210632.38000000
2021-10-08,104.17500000,111.67500000,103.50000000,107.25000000,3968961.90000000
2021-10-07,103.05000000,108.37500000,101.10000000,104.02500000,3648506.20000000
2021-10-06,105.37500000,108.60000000,100.12500000,103.05000000,5391691.40000000
2021-10-05,106.12500000,106.80000000,100.35000000,105.37500000,3447568.50000000
2021-10-04,99.82500000,107.55000000,95.77500000,106.12500000,5046102.30000000
2021-10-03,99.15000000,102.45000000,97.12500000,99.67500000,1971614.80000000
2021-10-02,99.15000000,103.27500000,98.02500000,99.15000000,2330159.40000000
2021-10-01,90.00000000,99.07500000,88.05000000,98.92500000,3045470.20000000
2021-09-30,85.50000000,90.97500000,84.97500000,90.00000000,2401612.20000000
2021-09-29,84.90000000,89.10000000,82.95000000,85.42500000,4371256.80000000
2021-09-28,89.70000000,91.50000000,84.30000000,84.97500000,5022726.60000000
2021-09-27,92.70000000,97.65000000,89.55000000,89.55000000,1995119.10000000
2021-09-26,93.52500000,97.12500000,87.00000000,92.77500000,2693766.70000000
2021-09-25,95.47500000,97.42500000,90.45000000,93.45000000,1899175.60000000
2021-09-24,104.92500000,106.35000000,88.87500000,95.40000000,4677869.30000000
2021-09-23,102.45000000,108.00000000,97.57500000,104.92500000,5034624.60000000
2021-09-22,90.52500000,103.80000000,86.77500000,102.60000000,4830493.50000000
2021-09-21,89.77500000,101.77500000,82.80000000,90.75000000,9634742.95000000
2021-09-20,105.22500000,105.45000000,85.95000000,89.70000000,4948324.40000000
2021-09-19,109.72500000,109.72500000,103.65000000,105.30000000,1649413.50000000
