Date,Open,High,Low,Close,Volume
2021-11-28,490.57500000,491.62500000,466.27500000,479.17500000,4155265.60000000
2021-11-27,490.05000000,516.52500000,484.95000000,490.65000000,9543504.50000000
2021-11-26,554.40000000,559.87500000,470.85000000,490.42500000,22331152.60000000
2021-11-25,496.05000000,567.75000000,488.92500000,554.47500000,19155971.20000000
2021-11-24,515.10000000,523.12500000,484.35000000,496.12500000,13536942.00000000
2021-11-23,488.10000000,524.70000000,469.27500000,515.10000000,11020735.60000000
2021-11-22,532.87500000,545.62500000,479.47500000,488.17500000,15788319.20000000
2021-11-21,503.47500000,540.75000000,495.37500000,532.95000000,13017999.00000000
2021-11-20,475.65000000,504.75000000,469.72500000,503.32500000,8386517.90000000
2021-11-19,448.20000000,479.40000000,437.25000000,475.65000000,10455357.80000000
2021-11-18,494.17500000,498.60000000,438.52500000,448.20000000,16065125.80000000
2021-11-17,469.12500000,496.20000000,452.10000000,494.17500000,12802109.20000000
2021-11-16,509.85000000,510.15000000,444.30000000,468.90000000,18445026.10000000
2021-11-15,528.52500000,536.10000000,508.42500000,509.85000000,6567287.90000000
2021-11-14,538.87500000,543.52500000,514.80000000,528.52500000,6236939.50000000
2021-11-13,538.20000000,548.77500000,528.00000000,538.95000000,7006160.50000000
2021-11-12,552.00000000,558.30000000,513.67500000,538.20000000,13021822.40000000
2021-11-11,549.30000000,559.57500000,533.02500000,552.00000000,13861012.40000000
2021-11-10,593.40000000,616.12500000,477.15000000,549.30000000,24156474.00000000
2021-11-09,590.17500000,636.75000000,578.92500000,593.32500000,22141596.00000000
2021-11-08,558.90000000,592.42500000,551.17500000,590.17500000,10963032.10000000
2021-11-07,560.40000000,563.25000000,550.72500000,558.97500000,6144704.60000000
2021-11-06,567.07500000,575.32500000,535.12500000,560.40000000,10250241.70000000
2021-11-05,578.55000000,610.35000000,564.22500000,567.15000000,16061118.90000000
2021-11-04,555.60000000,584.25000000,547.50000000,578.62500000,16519028.70000000
2021-11-03,571.50000000,573.75000000,529.95000000,555.60000000,14412028.40000000
2021-11-02,548.47500000,594.60000000,545.47500000,571.50000000,15372242.20000000
